round_k,1,4,13,46,148,468,1422,4296,12909,39251,118659,356500
round_shots,73,79,367,111,80,69,61,52,45,37,6
round_queries,73,237,3303,5883,14640,38985,103639,267124,694305,1727271,2535018
round_k,1,4,26,91,282,849,2568,7714,23341,70069,211251
round_shots,73,69,313,86,85,76,62,54,46,39,15
round_queries,73,207,2817,4042,12155,33364,82770,218106,558762,1423071,5016525
round_k,1,4,23,71,219,667,2019,6073,18244,55086,167217
round_shots,62,103,235,109,82,71,64,54,46,39,13
round_queries,62,309,2115,4469,11398,29749,80448,206226,527390,1341795,4054791
round_k,1,4,20,69,209,628,1909,5732,17202,51763,155953
round_shots,73,95,131,124,79,77,62,56,48,41,33,1
