round_k,1,4,13,40,121,364,1142,3458,10384,31514
round_shots,135,125,195,129,151,686,109,67,28
round_queries,135,375,1755,3483,12231,169442,222469,484209,1950900
round_k,1,4,13,40,123,1020,3613,11604,34837
round_shots,143,168,145,109,333,272,231,72,62,22
round_queries,143,504,1305,2943,26973,66640,169785,207576,549382,1825670
round_k,1,4,13,40,122,367,1441,4430,13675,41492
round_shots,179,165,115,294,323,123,79,69,58,14
round_queries,179,495,1035,7938,26163,40467,88717,237291,618802,1386238
round_k,1,4,13,40,164,561,1719,5334,16165,49508
round_shots,154,163,115,106,169,429,164,63,42
round_queries,154,489,1035,2862,13689,105105,244196,351981,2237046
round_k,1,4,13,40,122,744,2793,8499,26631
round_shots,154,259,112,126,634,173,96,80,62,41
round_queries,154,777,1008,3402,51354,42039,69984,190800,485646,2917027
round_k,1,4,13,40,121,364,1192,3916,11848,35573
round_shots,137,141,134,104,172,388,111,229,83,4
round_queries,137,423,1206,2808,13932,95060,152847,950121,1140503,623420
round_k,1,4,13,40,122,688,2074,6870,25647,77927
round_shots,168,149,147,148,225,305,124,104,66,4
round_queries,168,447,1323,3996,18225,74725,134044,395928,784806,435500
round_k,1,4,13,40,122,540,1903,5945,18066,54437
round_shots,133,132,120,233,527,82,88,64,53,6
round_queries,133,396,1080,6291,42687,43378,142296,333888,834379,883998
round_k,1,4,13,40,264,808,2608,7871,23652,73666
round_shots,156,120,115,315,385,134,93,67,71,5
round_queries,156,360,1035,8505,31185,55610,135129,311751,1018069,649305
round_k,1,4,13,40,207,726,2326,7169,21623,64930
round_shots,130,161,330,586,177,98,81,75,103,34
round_queries,130,483,2970,15822,14337,23814,62775,178125,733875,2252602
round_k,1,4,13,40,121,387,1187,3562,10984,33126
round_shots,191,195,114,104,541,80,84,64,73,3
round_queries,191,585,1026,2808,43821,43120,135996,343488,1182381,447447
round_k,1,4,13,40,269,809,2683,8098,24708,74574
round_shots,205,120,208,134,357,287,151,86,169,19
round_queries,205,360,1872,3618,28917,69741,132427,275630,1731405,1806995
round_k,1,4,13,40,121,438,1602,5122,15841,47552
round_shots,148,150,119,241,794,115,123,77,57,34
round_queries,148,450,1071,6507,64314,27945,89667,199507,475095,2579750
round_k,1,4,13,40,121,364,1295,4167,12509,37937
round_shots,138,135,117,306,580,123,101,62,32
round_queries,138,405,1053,8262,46980,69495,209575,403186,1936672
round_k,1,4,13,40,282,1037,3251,10006,30260
round_shots,140,128,150,123,580,113,90,68,69
round_queries,140,384,1350,3321,46980,63845,172170,416500,3863241
round_k,1,4,13,40,282,956,3062,9280,27994
round_shots,137,124,131,160,167,353,268,107,72,23
round_queries,137,372,1179,4320,13527,85779,196444,259047,608040,1882573
round_k,1,4,13,40,121,366,1210,4222,13618,40925
round_shots,188,127,145,107,166,119,335,164,70,3
round_queries,188,381,1305,2889,13446,29155,247565,661412,1080450,454449
round_k,1,4,13,40,122,369,2016,7717,24703,75741
round_shots,135,135,145,180,189,293,333,85,89,4
round_queries,135,405,1305,4860,15309,71785,278055,294865,1030175,433940
round_k,1,4,13,40,122,417,1734,5787,17671,54242
round_shots,130,208,221,353,371,129,87,111,62,3
round_queries,130,624,1989,9531,30051,51729,131979,521367,881578,408555
round_k,1,4,13,40,200,758,2348,7109,21591,68092
round_shots,165,195,112,220,320,126,107,73,60,8
round_queries,165,585,1008,5940,25920,40446,118021,254259,633180,766520
round_k,1,4,13,40,160,551,1741,5276,15959,47907
round_shots,162,128,167,123,781,97,89,129,40
round_queries,162,384,1503,3321,63261,65863,198381,921963,2656920
round_k,1,4,13,40,339,1114,3573,11003,33211
round_shots,165,205,125,157,373,315,83,77,56,13
round_queries,165,615,1125,4239,30213,76545,93043,272503,647528,1359891
round_k,1,4,13,40,121,560,1769,5781,17415,52303
round_shots,194,124,205,245,644,168,107,126,53
round_queries,194,372,1845,6615,52164,101304,238931,881874,3517663
round_k,1,4,13,40,301,1116,3499,10955,33185
round_shots,145,224,136,340,316,229,104,106,56,5
round_queries,145,672,1224,9180,25596,69845,122408,394850,639128,522965
round_k,1,4,13,40,152,588,1862,5706,17302,52296
round_shots,179,175,167,115,121,534,111,81,42
round_queries,179,525,1503,3105,9801,129762,190587,528363,2585394
round_k,1,4,13,40,121,858,3261,9785,30778
round_shots,130,136,144,291,735,81,83,64,52
round_queries,130,408,1296,7857,59535,53055,163095,410304,3030820
round_k,1,4,13,40,327,982,3205,9695,29142
round_shots,171,147,128,143,213,515,73,73,54,3
round_queries,171,441,1152,3861,17253,126175,123151,378943,917838,461811
round_k,1,4,13,40,122,843,2595,8498,25640,76968
round_shots,133,125,128,215,604,79,75,71,54,4
round_queries,133,375,1152,5805,48924,45899,131325,379921,889434,608836
round_k,1,4,13,40,290,875,2675,8235,25049,76104
round_shots,177,133,173,151,349,315,123,84,81,3
round_queries,177,399,1557,4077,28269,76545,137883,331044,1019061,358605
round_k,1,4,13,40,121,560,1970,6290,19232,59767
