round_shots,474,359,294,175,93,83,89,98,86
round_queries,474,1077,3234,9275,14973,40753,133411,446782,3659558
round_k,1,5,26,80,245,749,2279,6901,21276
round_queries,527,1014,2068,6622,13340,80776,120575,291528,749507,336507
round_k,1,5,21,72,219,662,2024,6143,18628,56084
round_shots,474,358,118,132,114,96,79,71,56,7
round_queries,474,1074,1298,4356,12654,32544,83345,227271,539896,618415
round_k,1,5,16,55,169,527,1600,4820,14481,44172
round_shots,814,299,113,149,101,90,74,64,61,4
round_queries,814,897,1243,4917,11615,32670,81622,214848,617259,369628
round_k,1,5,16,57,181,551,1678,5059,15273,46203
round_shots,363,293,201,238,107,85,102,111,55,3
round_queries,363,879,2211,10234,14873,36295,132090,437895,659285,330723
round_k,1,5,21,69,213,647,1972,5993,18102,55120
round_shots,585,325,129,161,114,95,74,66,60,17
round_queries,585,975,1419,5313,11514,29355,69190,185130,505980,1322889
round_k,1,5,16,50,154,467,1402,4216,12804,38908
round_shots,436,264,191,243,126,93,90,92,56,7
round_queries,436,792,2101,8019,13986,32085,94050,290260,530152,597639
round_k,1,5,16,55,172,522,1577,4733,14229,42688
round_shots,363,632,108,140,163,104,76,103,57,10
round_queries,363,1896,1188,4620,18093,36296,81092,336089,563559,902430
round_k,1,5,16,55,174,533,1631,4943,14872,45121
round_shots,457,268,146,131,108,124,241,165,61,12
round_queries,457,804,1606,4323,11556,42036,245579,532455,613233,1093596
round_k,1,5,16,53,169,509,1613,5026,15119,45566
round_shots,517,253,209,132,153,99,88,67,113,3
round_queries,517,759,2299,5940,20961,41283,110616,253997,1314077,314637
round_k,1,5,22,68,208,628,1895,5814,17443,52439
round_shots,232,245,206,125,111,198,83,118,74,3
round_queries,232,735,2266,5375,15207,81774,103667,448518,848706,323481
round_k,1,5,21,68,206,624,1900,5734,17535,53913
round_shots,559,298,205,117,122,83,88,67,79,9
round_queries,559,894,2255,4797,15982,32785,104984,244885,867341,900747
round_k,1,5,20,65,197,596,1827,5489,16521,50041
round_shots,232,287,186,128,271,160,128,76,60,5
round_queries,232,861,2046,4224,28997,52000,126080,225796,543420,412875
round_k,1,5,16,53,162,492,1485,4528,13762,41287
round_shots,430,313,120,102,109,86,78,81,57,15
round_queries,430,939,1320,3366,10791,26574,73710,230769,488319,1179465
round_k,1,5,16,49,154,472,1424,4283,12973,39315
round_shots,397,265,150,116,111,96,75,67,82,8
round_queries,397,795,1650,4292,12321,34080,81075,217817,818606,737688
round_k,1,5,18,55,177,540,1625,4991,15325,46105
round_shots,430,257,169,108,106,105,73,64,69,10
round_queries,430,771,1859,4428,13462,41685,89279,235328,761691,1011710
round_k,1,5,20,63,198,611,1838,5519,16776,50585
round_shots,688,244,108,137,101,89,95,64,67,11
round_queries,688,732,1188,4521,9999,26789,87115,176192,553353,851191
round_k,1,5,16,49,150,458,1376,4129,12550,38690
round_shots,548,419,229,130,90,92,74,72,122,3
round_queries,548,1257,2519,5850,14130,43332,107522,314424,1631750,367353
round_k,1,5,22,78,235,726,2183,6687,20350,61225
round_shots,522,510,136,109,110,105,78,68,60,8
round_queries,522,1530,1496,4033,12650,38115,86502,227188,602100,739944
round_k,1,5,18,57,181,554,1670,5017,15376,46246
round_shots,611,449,229,168,218,82,88,97,59,3
round_queries,611,1347,2519,7560,34662,40098,130152,436015,804583,371745
round_k,1,5,22,79,244,739,2247,6818,20652,61957
round_shots,506,299,112,116,116,91,80,67,58,19
round_queries,506,897,1232,3828,11484,28119,77680,195841,514170,1537803
round_k,1,5,16,49,154,485,1461,4432,13459,40468
round_shots,430,574,251,221,98,93,71,77,43
round_queries,430,1722,2761,10829,15974,47151,110689,362131,1872951
round_k,1,5,24,81,253,779,2351,7055,21778
round_shots,414,394,275,107,167,116,105,87,56,12
round_queries,414,1182,3025,3745,17535,36540,101745,259521,508312,988332
round_k,1,5,17,52,157,484,1491,4538,13689,41180
round_shots,590,523,110,169,123,92,88,72,58,15
round_queries,590,1569,1210,5577,12423,28060,81224,202680,490390,1189905
round_k,1,5,16,50,152,461,1407,4227,12861,39663
round_shots,501,372,135,168,119,180,140,83,56,6
round_queries,501,1116,1485,5544,14161,64620,152740,272987,555352,553302
round_k,1,5,16,59,179,545,1644,4958,15012,46108
round_shots,543,532,290,127,89,86,91,61,61
round_queries,543,1596,3190,6731,15041,43946,141505,290421,2693699
round_k,1,5,26,84,255,777,2380,7218,22079
round_shots,397,296,216,189,146,86,73,71,138,7
round_queries,397,888,2376,8505,22630,42398,110887,325677,1911990,904701
round_k,1,5,22,77,246,759,2293,6927,21540,64621
round_shots,352,317,135,118,104,92,98,76,63,7
round_queries,352,951,1485,3894,10296,28980,93394,221844,553455,596757
round_k,1,5,16,49,157,476,1459,4392,14031,42625
round_shots,414,430,168,125,104,84,88,108,120,5
round_queries,414,1290,1848,5125,14040,35196,110968,411156,1386840,522105
round_k,1,5,20,67,209,630,1903,5778,17344,52210
round_shots,585,676,142,116,100,98,80,157,57,11
round_queries,585,2028,1562,4292,11900,36162,89040,530817,610869,1076295
round_k,1,5,18,59,184,556,1690,5358,16282,48922
round_shots,374,339,170,167,136,120,144,102,79,13
round_queries,374,1017,1870,6513,16184,44760,161424,347514,814727,1234857
round_k,1,5,19,59,186,560,1703,5156,15831,47494
round_shots,245,264,163,130,142,103,94,65,61,4
round_queries,245,792,1793,4290,15478,37595,108194,224445,635925,377804
round_k,1,5,16,54,182,575,1726,5212,15693,47225
round_shots,673,303,134,105,106,90,82,68,57,11
round_queries,673,909,1474,3465,10494,27450,76506,191012,488319,870837
round_k,1,5,16,49,152,466,1404,4283,12953,39583
round_shots,402,286,148,103,107,105,77,141,54,12
round_queries,402,858,1628,3811,11877,36435,81697,450495,540594,1083396
round_k,1,5,18,55,173,530,1597,5005,15018,45141
round_shots,673,377,202,132,98,99,97,76,55,5
round_queries,673,1131,2222,5412,13426,42471,126779,299820,650925,552665
round_k,1,5,20,68,214,653,1972,5917,17769,55266
round_shots,632,254,191,115,110,83,79,193,54,11
round_queries,632,762,2101,4715,14410,33449,96143,707731,594054,1095039
round_k,1,5,20,65,201,608,1833,5500,16591,49774
round_shots,463,316,129,100,118,112,103,71,56,14
round_queries,463,948,1419,3300,11682,33936,95687,199297,474488,1085154
round_k,1,5,16,49,151,464,1403,4236,12815,38755
round_shots,621,306,131,186,113,96,99,74,96,13
round_queries,621,918,1441,6138,11865,32352,101673,230362,912480,1121081
round_k,1,5,16,52,168,513,1556,4752,14257,43118
round_shots,585,501,199,169,211,195,106,66,106,8
round_queries,585,1503,2189,5577,21311,61035,100382,187638,906406,641528
round_k,1,5,16,50,156,473,1421,4275,13235,40095
round_shots,590,530,213,112,109,181,83,67,55,5
round_queries,590,1590,2343,5040,14715,76925,106821,260027,651145,540555
round_k,1,5,22,67,212,643,1940,5919,17953,54055
round_shots,580,719,202,212,111,87,70,65,93,5
round_queries,580,2157,2222,8692,15207,36279,89670,249795,1073685,538325
round_k,1,5,20,68,208,640,1921,5772,17907,53832
round_shots,479,245,209,143,125,87,175,73,68,14
round_queries,479,735,2299,4719,12625,27753,170625,215861,606356,1146754
round_k,1,5,16,50,159,487,1478,4458,13646,40955
round_shots,447,352,108,139,180,128,72,67,57,13
round_queries,447,1056,1188,4587,20340,44672,76824,214467,549879,1155453
round_k,1,5,16,56,174,533,1600,4823,14677,44440
round_shots,522,267,226,129,117,163,138,168,56,5
round_queries,522,801,2486,4257,11583,49389,135378,496440,499688,409325
round_k,1,5,16,49,151,490,1477,4461,13501,40932
round_shots,474,342,183,151,128,85,82,66,56,5
round_queries,474,1026,2013,6191,16000,33575,98974,241098,614152,506805
round_k,1,5,20,62,197,603,1826,5483,16732,50680
round_shots,352,299,207,165,201,120,102,71,53,3
round_queries,352,897,2277,7425,27537,51000,138210,290319,655345,341331
round_k,1,5,22,68,212,677,2044,6182,18573,56888
round_shots,779,419,145,145,107,86,113,74,57,11
round_queries,779,1257,1595,5365,13161,33282,133227,262182,612351,1090023
round_k,1,5,18,61,193,589,1771,5371,16255,49546
round_shots,346,278,131,138,92,125,114,71,91,4
round_queries,346,834,1441,4554,10212,41625,119130,223011,862771,356724
round_k,1,5,16,55,166,522,1570,4740,14503,44590
round_shots,474,475,339,153,102,87,75,121,36
round_queries,474,1425,3729,8721,17646,46719,121875,598103,1697004
round_k,1,5,28,86,268,812,2471,7665,23569
round_shots,352,286,139,108,118,96,86,76,126,11
round_queries,352,858,1529,3996,13098,32928,89870,238716,1206198,969133
round_k,1,5,18,55,171,522,1570,4786,14617,44051
round_shots,522,280,145,106,113,110,89,86,73,14
round_queries,522,840,1595,3922,12543,39050,96921,282682,723503,1281322
round_k,1,5,18,55,177,544,1643,4955,15117,45761
round_shots,468,249,203,127,92,81,73,69,75,3
round_queries,468,747,2233,5715,14076,37503,101981,290007,945675,345321
round_k,1,5,22,76,231,698,2101,6304,19184,57553
round_shots,784,411,162,169,143,98,91,81,60,3
round_queries,784,1233,1782,6253,18733,40866,118027,315333,705540,319203
round_k,1,5,18,65,208,648,1946,5879,17656,53200
round_shots,548,370,134,155,176,222,78,64,55,12
round_queries,548,1110,1474,5115,19536,77478,84786,212672,552145,1088772
round_k,1,5,16,55,174,543,1661,5019,15115,45365
round_shots,538,270,203,165,307,98,81,67,110,4
round_queries,538,810,2233,7425,50041,47922,120771,300361,1491930,511012
round_k,1,5,22,81,244,745,2241,6781,21150,63876
round_shots,463,378,215,147,178,131,95,70,96,6
round_queries,463,1134,2365,4851,19402,46505,102695,232750,964704,542946
round_k,1,5,16,54,177,540,1662,5024,15073,45245
round_shots,463,371,163,116,108,88,218,88,67,13
round_queries,463,1113,1793,3828,10692,27368,209934,254232,582297,1048021
round_k,1,5,16,49,155,481,1444,4345,13191,40308
round_shots,380,391,151,141,99,85,76,94,55,3
round_queries,380,1173,1661,5217,12375,32555,88388,330786,588445,297003
round_k,1,5,18,62,191,581,1759,5349,16197,49500
round_shots,425,310,220,137,234,133,87,95,65,13
round_queries,425,930,2420,4521,25506,45353,90741,300865,625755,1150149
round_k,1,5,16,54,170,521,1583,4813,14481,44236
round_shots,595,244,135,141,281,133,96,78,57,10
round_queries,595,732,1485,4653,29505,46683,102624,251706,557973,897010
round_k,1,5,16,52,175,534,1613,4894,14884,44850
round_shots,824,439,118,364,148,92,88,81,79,5
round_queries,824,1317,1298,12012,17908,35972,104984,292167,857387,501225
round_k,1,5,16,60,195,596,1803,5426,16363,50122
round_shots,703,493,142,171,102,87,80,69,56,7
round_queries,703,1479,1562,6327,13770,36453,102640,266685,651560,739907
round_k,1,5,18,67,209,641,1932,5817,17559,52850
round_shots,522,376,136,136,114,103,73,65,72,9
round_queries,522,1128,1496,5032,12654,35535,77891,208325,697896,793899
round_k,1,5,18,55,172,533,1602,4846,14614,44105
round_shots,397,370,144,106,254,86,79,69,55,9
round_queries,397,1110,1584,3922,28194,30186,84925,225561,544885,805293
round_k,1,5,18,55,175,537,1634,4953,14871,44738
round_shots,590,351,163,132,119,90,84,69,57,9
round_queries,590,1053,1793,4356,13209,30150,85932,214383,534489,783711
round_k,1,5,16,55,167,511,1553,4688,14201,43539
round_shots,380,391,115,134,102,89,88,76,57,12
round_queries,380,1173,1265,4422,10914,29281,88440,232332,525825,1001244
round_k,1,5,16,53,164,502,1528,4612,13857,41718
round_shots,374,342,233,155,102,86,75,64,56,5
round_queries,374,1026,2563,6975,13974,36034,97575,250304,658056,529975
round_k,1,5,22,68,209,650,1955,5875,17632,52997
round_shots,754,250,173,100,106,94,86,67,71,5
round_queries,754,750,1903,4100,13038,36754,102254,240329,764883,498215
round_k,1,5,20,61,195,594,1793,5386,16516,49821
round_shots,501,825,120,203,112,85,137,70,94,7
round_queries,501,2475,1320,6699,12208,28985,140151,215530,892906,624883
round_k,1,5,16,54,170,511,1539,4749,14588,44634
round_shots,511,287,168,116,139,155,77,65,62,13
round_queries,511,861,1848,4292,16541,55645,84161,215605,622542,1187927
round_k,1,5,18,59,179,546,1658,5020,15163,45689
round_shots,580,344,137,119,126,94,90,77,61,16
round_queries,580,1032,1507,3927,12474,29798,86490,225225,547109,1299024
round_k,1,5,16,49,158,480,1462,4484,13469,40594
round_shots,397,472,150,132,94,105,76,65,55,11
round_queries,397,1416,1650,4884,11374,38535,85196,224315,574695,1086921
round_k,1,5,18,60,183,560,1725,5224,15866,49405
round_shots,363,423,189,158,93,105,91,66,55,3
round_queries,363,1269,2079,6478,11625,39795,107289,236478,602415,299889
round_k,1,5,20,62,189,589,1791,5476,16660,49981
round_shots,425,819,203,130,100,162,90,71,57,3
round_queries,425,2457,2233,5850,14900,75330,129150,305797,743223,358227
round_k,1,5,22,74,232,717,2153,6519,19877,59704
round_shots,611,487,250,125,101,141,144,64,52,4
round_queries,611,1461,2750,6125,15857,69513,214416,285888,703300,500500
round_k,1,5,24,78,246,744,2233,6762,20356,62562
round_shots,784,281,137,129,118,87,95,117,80,3
round_queries,784,843,1507,4773,13806,31581,107255,409383,840560,303027
round_k,1,5,18,58,181,564,1749,5253,16127,50504
round_shots,769,452,136,128,106,115,162,185,66,3
round_queries,769,1356,1496,4736,13038,44505,188406,652495,733722,305319
round_k,1,5,18,61,193,581,1763,5558,16786,50886
round_shots,606,589,167,118,101,187,75,63,78,5
round_queries,606,1767,1837,4838,13231,76857,93825,237573,887406,518395
round_k,1,5,20,65,205,625,1885,5688,17195,51839
round_shots,532,381,160,115,110,135,93,72,56,7
round_queries,532,1143,1760,3795,11330,43065,91605,212904,506296,586467
round_k,1,5,16,51,159,492,1478,4520,13776,41890
round_shots,386,417,113,100,145,114,104,65,61,7
round_queries,386,1251,1243,3300,14355,36138,103688,197405,556015,600649
round_k,1,5,16,49,158,498,1518,4557,13905,42903
round_shots,495,312,196,358,107,88,74,71,100,6
round_queries,495,936,2156,15394,15301,39336,103822,306365,1296100,706014
round_k,1,5,21,71,223,701,2157,6480,19610,58834
round_shots,506,352,163,138,113,184,101,68,58,13
round_queries,506,1056,1793,4554,12769,65688,111403,226372,581102,1200485
round_k,1,5,16,56,178,551,1664,5009,15324,46172
round_shots,425,633,113,145,108,97,81,68,57,18
round_queries,425,1899,1243,4785,10908,30943,78327,198764,510321,1471338
round_k,1,5,16,50,159,483,1461,4476,13545,40870
round_shots,698,362,192,146,151,135,78,61,138,5
round_queries,698,1086,2112,5986,21593,57915,104754,245769,1668006,552495
round_k,1,5,20,71,214,671,2014,6043,18416,55249
round_shots,317,482,182,144,96,93,73,79,54,5
round_queries,317,1446,2002,5904,13344,38781,97017,316711,654210,555165
round_k,1,5,20,69,208,664,2004,6057,18260,55516
round_shots,495,470,220,100,92,91,72,74,61,7
round_queries,495,1410,2420,4500,12420,36855,88776,274022,680089,702387
round_k,1,5,22,67,202,616,1851,5574,16723,50170
round_shots,408,263,108,148,208,196,104,122,82,16
round_queries,408,789,1188,4884,21008,61740,99736,353922,735786,1336592
round_k,1,5,16,50,157,479,1450,4486,13679,41768
round_shots,340,293,226,130,132,91,98,63,55,3
round_queries,340,879,2486,5850,18084,37583,125146,244755,644325,323127
round_k,1,5,22,68,206,638,1942,5857,17617,53854
round_shots,564,552,168,134,155,86,111,70,60,14
round_queries,564,1656,1848,4422,17205,30358,119547,231210,595140,1254470
round_k,1,5,16,55,176,538,1651,4959,14919,44802
round_shots,293,283,154,138,156,122,77,71,55,11
round_queries,293,849,1694,5106,19188,47458,92015,257375,601535,1091057
round_k,1,5,18,61,194,597,1812,5468,16511,49593
round_shots,626,598,200,103,101,83,93,68,56,6
round_queries,626,1794,2200,4223,12423,32121,108345,237796,597128,582930
round_k,1,5,20,61,193,582,1748,5331,16083,48577
round_shots,611,279,212,127,131,125,88,63,112,3
round_queries,611,837,2332,5715,18471,53125,116600,255213,1369872,347511
round_k,1,5,22,70,212,662,2025,6115,18811,57918
round_shots,739,276,108,141,105,88,98,217,134,13
round_queries,739,828,1188,4653,11865,31416,105938,708071,1404454,1233505
round_k,1,5,16,56,178,540,1631,5240,15728,47442
round_shots,611,259,233,137,88,89,77,104,56,8
round_queries,611,777,2563,6165,13464,40851,107415,435240,704648,908472
round_k,1,5,22,76,229,697,2092,6291,18926,56779
round_shots,784,286,169,118,110,86,86,67,104,9
round_queries,784,858,1859,3894,11330,28122,85914,201201,946920,786465
round_k,1,5,16,51,163,499,1501,4552,14289,43692
round_shots,729,419,192,108,110,108,140,199,107,3
round_queries,729,1257,2112,4428,13970,43524,169540,730927,1188235,308391
round_k,1,5,20,63,201,605,1836,5552,17061,51398
round_shots,323,244,108,139,95,103,83,67,55,14
round_queries,323,732,1188,4587,10355,34093,83747,204685,506715,1162826
round_k,1,5,16,54,165,504,1527,4606,13828,41529
round_shots,538,244,123,212,135,102,72,68,59,4
round_queries,538,732,1353,6996,15525,35394,75096,212772,554423,356412
round_k,1,5,16,57,173,521,1564,4698,14274,44551
round_shots,391,487,216,134,113,85,75,69,55,5
round_queries,391,1461,2376,6030,15255,34935,93075,262269,629695,516615
round_k,1,5,22,67,205,620,1900,5724,17182,51661
round_shots,668,254,132,140,112,87,74,72,57,5
round_queries,668,762,1452,4620,11984,29319,75850,223272,532437,426015
round_k,1,5,16,53,168,512,1550,4670,14200,42601
round_shots,441,336,120,168,115,94,75,75,55,4
round_queries,441,1008,1320,5544,13225,33370,80775,248175,546315,359676
round_k,1,5,16,57,177,538,1654,4966,14986,44959
round_shots,517,303,116,109,97,122,78,67,75,6
round_queries,517,909,1276,3597,9991,37698,73866,192357,646575,475614
round_k,1,5,16,51,154,473,1435,4310,13211,39634
round_shots,673,285,129,185,170,150,85,78,77,10
round_queries,673,855,1419,6105,17170,48450,82875,228930,681527,824990
round_k,1,5,16,50,161,487,1467,4425,13355,41249
round_shots,559,460,136,106,131,91,77,66,58,13
round_queries,559,1380,1496,3922,14541,32123,82313,213906,564166,1152697
round_k,1,5,18,55,176,534,1620,4863,14766,44334
round_shots,402,288,166,111,166,91,80,149,62,5
round_queries,402,864,1826,3663,17098,29575,78960,449235,573438,419535
round_k,1,5,16,51,162,493,1507,4624,13951,41953
round_shots,447,288,162,138,92,94,74,63,65,11
round_queries,447,864,1782,5106,11868,36378,87098,225729,699855,1093279
round_k,1,5,18,64,193,588,1791,5383,16350,49694
round_shots,380,245,131,153,214,91,74,64,59,11
round_queries,380,735,1441,5049,24610,32487,84138,218560,608349,1032801
round_k,1,5,16,57,178,568,1707,5155,15553,46945
round_shots,522,293,213,100,105,99,72,62,53,8
