round_queries,62,225,442,740,1800,2975,5904,12835,17149,48915,105456,213872,433648,893136,1598394,3752080,4327119
round_k,0,1,6,18,37,87,184,377,779,1630,3295,6683,13551,27910,57085,117252,240395
round_shots,36,79,23,24,18,17,20,17,17,15,16,16,16,16,16,16,16,3
round_queries,36,237,253,600,1026,2057,4900,9163,18751,33885,72400,147472,300688,614576,1261264,2582704,5304144,2041353
round_k,0,1,5,12,28,60,122,269,551,1129,2262,4608,9396,19205,39414,80709,165754,340225
round_shots,131,75,26,25,21,18,17,17,17,17,16,16,16,16,16,16,16,1
round_queries,131,225,338,675,1323,2574,5083,10217,20859,43469,83664,168848,342064,698992,1431216,2931952,6019984,771557
round_k,0,1,6,13,31,71,149,300,613,1278,2614,5276,10689,21843,44725,91623,188124,385778
round_shots,181,88,27,27,16,12,16,17,11,16,16,16,16,15,16,16,16,2
round_queries,181,264,351,729,1008,1596,4560,9707,12815,38000,77936,158352,322448,616425,1333552,2729776,5598832,1436606
round_k,0,1,6,13,31,66,142,285,582,1187,2435,4948,10076,20547,41673,85305,174963,359151
round_shots,115,70,23,28,21,21,18,17,16,16,10,15,16,16,16,16,16,2
round_queries,115,210,253,700,1281,2583,4878,9605,18704,38288,48750,146895,315632,643728,1318448,2701008,5540816,1426690
round_k,0,1,5,12,30,61,135,282,584,1196,2437,4896,9863,20116,41201,84406,173150,356672
round_shots,62,75,18,24,19,19,18,18,16,17,16,16,16,16,16,14,16,2
round_queries,62,225,234,648,1235,2603,5166,10494,19248,41157,79408,161072,326256,667376,1365104,2456118,5772336,1485062
round_k,0,1,6,13,32,68,143,291,601,1210,2481,5033,10195,20855,42659,87718,180385,371265
round_shots,77,60,22,20,19,20,16,15,17,17,17,16,16,16,16,16,16,8
round_queries,77,180,242,460,931,2020,3376,6345,14705,30209,61319,118608,240464,490160,1003952,2063152,4230704,4338904
round_k,0,1,5,11,24,50,105,211,432,888,1803,3706,7514,15317,31373,64473,132209,271181
round_shots,307,75,24,23,21,16,19,17,16,16,16,16,16,16,16,16,15,4
round_queries,307,225,312,621,1281,1968,4693,8415,16016,32048,64432,130672,265072,539024,1101584,2253008,4342935,2322540
round_k,0,1,6,13,30,61,123,247,500,1001,2013,4083,8283,16844,34424,70406,144764,290317
round_shots,36,104,35,23,17,18,18,17,16,16,17,16,17,11,16,16,15,4
round_queries,36,312,455,621,1037,2214,4482,8619,16240,32720,69785,134128,290683,384637,1161904,2378768,4559865,2441484
round_k,0,1,6,13,30,61,124,253,507,1022,2052,4191,8549,17483,36309,74336,151995,305185
round_shots,46,56,20,24,19,17,17,16,11,11,16,16,16,15,15,16,16,7
round_queries,46,168,220,552,969,1819,3757,7216,10021,21109,63152,129360,261776,497235,1006725,2149808,4404304,3952893
round_k,0,1,5,11,25,53,110,225,455,959,1973,4042,8180,16574,33557,67181,137634,282349
round_shots,86,59,23,19,18,17,17,18,17,17,16,16,16,16,16,16,15,6
round_queries,86,177,207,399,810,1581,3179,6966,14127,28305,55472,111280,226800,462160,941200,1921392,3696525,2963586
round_k,0,1,4,10,22,46,93,193,415,832,1733,3477,7087,14442,29412,60043,123217,246965
round_shots,53,55,19,25,24,12,17,18,16,16,17,16,16,16,16,16,10,6
round_queries,53,165,209,575,1224,1308,3825,8190,15152,30640,66215,130544,262480,528848,1071696,2188400,2797790,3406338
round_k,0,1,5,11,25,54,112,227,473,957,1947,4079,8202,16526,33490,68387,139889,283861
round_shots,74,83,35,22,21,21,12,17,17,18,16,16,16,14,16,16,16
round_queries,74,249,455,770,1575,3255,3852,11033,22287,47430,86352,174832,355312,638834,1498768,3065424,6283952
round_k,0,1,6,17,37,77,160,324,655,1317,2698,5463,11103,22815,46836,95794,196373
round_shots,93,74,19,21,18,18,12,17,16,16,16,16,16,16,16,16,16,8
round_queries,93,222,209,483,846,1782,2460,7293,14000,28272,56880,115792,233136,476912,977136,2004496,4096528,4207688
round_k,0,1,5,11,23,49,102,214,437,883,1777,3618,7285,14903,30535,62640,128016,262980
round_shots,200,142,27,14,12,18,16,17,17,16,16,16,16,16,16,16,10
round_queries,200,426,459,574,1044,3258,5968,12835,25925,51312,104016,211696,433776,884400,1811696,3706064,4754390
round_k,0,1,8,20,43,90,186,377,762,1603,3250,6615,13555,27637,56615,115814,237719
round_shots,105,100,28,19,18,16,16,16,16,16,16,15,16,10,16,16,15
round_queries,105,300,420,741,1458,2736,5488,10992,22224,44496,89776,170145,365424,469390,1523536,3129808,6022995
round_k,0,1,7,19,40,85,171,343,694,1390,2805,5671,11419,23469,47610,97806,200766
round_shots,68,74,33,26,21,16,18,17,17,17,16,10,10,16,16,16,14,3
round_queries,68,222,363,702,1407,2288,5166,9979,20247,41293,79152,101110,203330,655984,1355696,2782032,4991014,2197689
round_k,0,1,5,13,33,71,143,293,595,1214,2473,5055,10166,20499,42365,86938,178250,366281
round_shots,61,132,26,26,17,16,17,17,16,17,16,16,16,16,15,16,12
round_queries,61,396,442,1014,1479,2864,6239,12529,23984,51765,100112,203632,414384,843024,1619325,3501552,5378268
round_k,0,1,8,19,43,89,183,368,749,1522,3128,6363,12949,26344,53977,109423,224094
round_shots,136,55,26,21,13,17,18,16,16,16,16,16,16,16,16,15,16,6
round_queries,136,165,286,525,741,2057,4446,8272,16560,33456,67248,137584,278384,563312,1143504,2192745,4752656,3657894
round_k,0,1,5,12,28,60,123,258,517,1045,2101,4299,8699,17603,35734,73091,148520,304824
round_shots,138,75,35,21,20,17,17,16,17,17,16,16,16,15,16,16,15
round_queries,138,225,455,777,1500,2703,5491,10512,22593,46869,90416,182576,370544,714645,1538768,3151856,6087555
round_k,0,1,6,18,37,79,161,328,664,1378,2825,5705,11579,23821,48086,98495,202918
round_shots,109,65,23,26,19,21,19,16,17,16,16,16,16,16,16,16,10,2
round_queries,109,195,253,650,1159,2793,5301,9584,20587,39920,81072,165712,336112,684144,1399248,2858416,3663090,1485814
round_k,0,1,5,12,30,66,139,299,605,1247,2533,5178,10503,21379,43726,89325,183154,371453
round_shots,250,59,27,26,19,17,18,17,16,16,16,16,16,16,16,16,16,2
round_queries,250,177,297,702,1159,2261,4878,9843,18704,38288,78352,159312,324560,662288,1354384,2774672,5679248,1458522
round_k,0,1,5,13,30,66,135,289,584,1196,2448,4978,10142,20696,42324,86708,177476,364630
round_shots,36,74,20,17,21,19,21,18,17,16,16,10,16,16,16,16,16,5
round_queries,36,222,220,391,987,1919,4389,7650,15589,29584,59952,76750,246480,503728,1031312,2116112,4339312,2780525
round_k,0,1,5,11,23,50,104,212,458,924,1873,3837,7702,15741,32228,66128,135603,278052
round_shots,225,75,40,21,20,21,17,20,16,17,16,16,16,15,15,15,8
round_queries,225,225,520,735,1460,3255,6035,14260,22896,49997,97168,199248,409616,783225,1567995,3182685,3446632
round_k,0,1,6,17,36,77,177,356,715,1470,3036,6226,12800,26107,52266,106089,215414
round_shots,36,75,35,21,21,17,18,17,16,16,17,16,16,16,16,16,14
round_queries,36,225,455,735,1575,2737,5814,11407,21808,43856,93211,184976,378288,770608,1573424,3220720,5780782
round_k,0,1,6,17,37,80,161,335,681,1370,2741,5780,11821,24081,49169,100647,206456
round_shots,194,65,23,23,21,13,17,19,19,16,16,16,14,16,16,16,16,2
round_queries,194,195,253,575,1239,1677,4709,10811,21793,39632,80560,161712,287210,669904,1369584,2805840,5758256,1475130
round_k,0,1,5,12,29,64,138,284,573,1238,2517,5053,10257,20934,42799,87682,179945,368782
round_shots,109,53,32,28,20,18,17,15,11,15,16,16,16,16,16,16,10,5
round_queries,109,159,288,700,1220,2250,4403,7815,11539,31755,67856,137296,279920,567568,1162224,2372080,3026150,3072855
round_k,0,1,4,12,30,62,129,260,524,1058,2120,4290,8747,17736,36319,74127,151307,307285
round_shots,338,24,19,17,19,16,18,17,17,16,16,16,15,16,16,15,5
round_queries,338,168,399,833,1881,3472,7938,15759,31705,61264,123728,251088,477735,1033072,2109168,4062015,2711555
round_k,0,3,10,24,49,108,220,463,932,1914,3866,7846,15924,32283,65911,135400,271155
round_shots,86,92,26,27,17,18,18,18,16,11,16,10,10,10,10,15,16,3
round_queries,86,276,338,729,1071,2322,4842,9918,18160,25531,76784,96870,194810,394470,800970,2427375,5195600,2002053
round_k,0,1,6,13,31,64,134,275,567,1160,2399,4843,9740,19723,40048,80912,162362,333675
round_shots,68,24,23,20,14,21,17,21,18,16,16,16,16,16,16,15,16,9
round_queries,68,72,207,420,602,1953,3281,8127,14094,27024,55248,111696,228016,469616,959760,1842465,3932592,4535379
round_k,0,1,4,10,21,46,96,193,391,844,1726,3490,7125,14675,29992,61415,122893,251965
round_shots,160,65,19,21,20,20,18,16,17,16,14,16,16,16,16,16,14,7
round_queries,160,195,209,483,980,1980,3834,7088,15215,29456,51674,120432,243472,496656,1016048,2076848,3721662,3822665
round_k,0,1,5,11,24,49,106,221,447,920,1845,3763,7608,15520,31751,64901,132916,273047
round_shots,191,79,27,28,19,18,16,17,17,16,16,10,16,16,16,16,16,2
round_queries,191,237,297,756,1235,2502,4528,9741,19737,37744,77264,97090,314864,645360,1333232,2743344,5623184,1441630
round_k,0,1,5,13,32,69,141,286,580,1179,2414,4854,9839,20167,41663,85729,175724,360407
round_shots,164,79,34,17,20,18,17,11,16,16,16,16,16,16,16,16,12
round_queries,164,237,442,629,1540,3078,6035,7909,23536,47536,96816,197872,409136,836176,1709168,3510160,5421780
round_k,0,1,6,18,38,85,177,359,735,1485,3025,6183,12785,26130,53411,109692,225907
round_shots,157,76,27,25,21,16,16,17,17,16,16,15,16,16,16,16,16,2
round_queries,157,228,351,675,1323,2160,4336,9503,19363,37968,76528,145845,314608,640240,1313904,2683760,5511440,1412490
round_k,0,1,6,13,31,67,135,279,569,1186,2391,4861,9831,20007,41059,83867,172232,353122
round_shots,216,76,28,18,22,18,19,17,19,17,15,16,16,16,16,16,11
