round_k,1,4,13,54,179,541,1642,4927,14782
round_shots,221,146,161,111,187,83,95,74,41
round_queries,221,438,1449,2997,15147,24983,88635,212306,1093757
round_k,1,4,13,40,150,466,1434,4371,13338
round_shots,289,183,106,180,111,85,87,68,55,3
round_queries,289,549,954,4860,9213,21505,68121,159868,389345,193791
round_k,1,4,13,41,126,391,1175,3539,10646,32298
round_shots,234,124,196,224,104,80,75,84,62,10
round_queries,234,372,1764,6048,8632,19920,56025,191436,423894,629730
round_k,1,4,13,41,124,373,1139,3418,10495,31486
round_shots,139,197,201,180,106,94,78,87,55,3
round_queries,139,591,1809,4860,9010,24346,60762,205929,394515,195063
round_k,1,4,13,42,129,389,1183,3586,10819,32510
round_shots,182,118,136,174,178,109,76,62,74,8
round_queries,182,354,1224,4698,15130,28013,62092,153574,549894,537960
round_k,1,4,13,42,128,408,1238,3715,11146,33622
round_shots,234,169,163,146,154,218,118,99,65,6
round_queries,234,507,1467,3942,12782,55154,93338,235323,474175,399090
round_k,1,4,13,41,126,395,1188,3647,10962,33257
round_shots,234,130,215,154,116,80,72,63,63,9
round_queries,234,390,1935,4158,9628,22480,61128,160461,484155,636273
round_k,1,4,13,41,140,424,1273,3842,11779,35348
round_shots,259,119,151,112,150,176,162,84,56,3
round_queries,259,357,1359,3248,13050,49808,139806,225876,457240,224373
round_k,1,4,14,43,141,431,1344,4082,12409,37395
round_shots,228,177,189,150,108,94,77,68,59,3
round_queries,228,531,1701,4050,8964,23782,61831,170068,447987,212439
round_k,1,4,13,41,126,401,1250,3796,11448,35406
round_shots,208,174,125,174,177,96,78,104,109,3
round_queries,208,522,1125,4698,14691,25248,65442,271960,855323,221877
round_k,1,4,13,41,131,419,1307,3923,12266,36979
round_shots,234,116,178,116,123,94,74,69,52,4
round_queries,234,348,1602,3132,10209,25474,65638,189129,427804,302844
round_k,1,4,13,41,135,443,1370,4113,12404,37855
round_shots,208,127,136,139,92,147,129,136,58,5
round_queries,208,381,1224,3753,7452,36603,98427,320008,410582,330375
round_k,1,4,13,40,124,381,1176,3539,10963,33037
round_shots,215,123,164,142,108,95,93,69,56
round_queries,215,369,1476,4118,10476,30115,92349,207069,1551368
round_k,1,4,14,48,158,496,1500,4569,13851
round_shots,215,186,114,116,167,169,73,66,55,3
round_queries,215,558,1026,3132,13861,42419,55699,153450,386045,196815
round_k,1,4,13,41,125,381,1162,3509,10704,32802
round_shots,202,177,207,214,126,80,77,63,54,3
round_queries,202,531,1863,6206,11970,22960,66759,166887,431190,216243
round_k,1,4,14,47,143,433,1324,3992,11996,36040
round_shots,195,145,119,156,155,122,80,64,52,9
round_queries,195,435,1071,4212,12555,30134,64880,156608,385164,609363
round_k,1,4,13,40,123,405,1223,3703,11110,33853
round_shots,175,221,169,151,104,95,126,184,74,9
round_queries,175,663,1521,4077,8632,23655,103446,453560,555370,627075
round_k,1,4,13,41,124,410,1232,3752,11326,34837
round_shots,182,119,212,192,102,94,73,68,64,3
round_queries,182,357,1908,5184,8670,24722,59787,167892,474560,208809
round_k,1,4,13,42,131,409,1234,3707,11136,34801
round_shots,221,186,169,131,116,109,93,66,54,7
round_queries,221,558,1521,3799,10556,30193,80445,173118,431946,512743
round_k,1,4,14,45,138,432,1311,3999,12085,36624
round_shots,246,211,106,213,126,94,80,67,40
round_queries,246,633,954,5751,12978,29422,75120,189543,1062520
round_k,1,4,13,51,156,469,1414,4316,13281
round_shots,228,209,114,133,216,109,160,102,147,3
round_queries,228,627,1026,3591,17928,27359,140000,280602,1213779,230127
round_k,1,4,13,41,125,437,1375,4128,12385,38354
round_shots,182,135,153,109,142,314,183,77,57,3
round_queries,182,405,1377,2943,11502,77558,135603,171787,420489,212733
round_k,1,4,13,40,123,370,1115,3688,11505,35455
round_shots,175,202,189,125,100,83,84,75,30
round_queries,175,606,2079,4625,12300,30793,94668,255375,942450
round_k,1,5,18,61,185,563,1702,5169,15707
round_shots,228,137,197,350,112,113,75,64,56,4
round_queries,228,411,1773,10150,9968,30397,62625,162368,432824,289740
round_k,1,4,14,44,134,417,1268,3864,11603,36217
round_shots,228,176,155,191,96,101,91,70,56,3
round_queries,228,528,1395,5157,8160,26361,74347,172690,423528,206973
round_k,1,4,13,42,130,408,1233,3781,11392,34495
round_shots,259,132,219,194,103,83,71,61,32
round_queries,259,396,1971,5626,11227,29299,76041,198677,969568
round_k,1,4,14,54,176,535,1628,4957,15149
round_shots,240,152,207,168,163,145,95,65,62,3
round_queries,240,456,1863,4536,13529,36685,72295,150605,433318,195579
round_k,1,4,13,41,126,380,1158,3494,10652,32596
round_shots,221,135,178,116,117,80,78,67,56,3
round_queries,221,405,1602,3132,9711,20240,59202,157919,400344,195501
round_k,1,4,13,41,126,379,1178,3574,10768,32583
round_shots,195,116,241,100,108,89,78,67,61,8
round_queries,195,348,2169,2900,9396,23585,63102,166093,457073,563976
round_k,1,4,14,43,132,404,1239,3746,11353,35248
round_shots,240,241,191,159,105,91,73,64,56,3
round_queries,240,723,1719,4611,9555,26117,63437,167616,443128,215931
round_k,1,4,14,45,143,434,1309,3956,11963,35988
round_shots,253,174,178,150,104,127,77,66,55,4
round_queries,253,522,1602,4350,9464,36449,68453,176550,443025,294484
round_k,1,4,14,45,143,444,1337,4027,12267,36810
round_shots,228,146,121,290,130,374,77,97,55,3
round_queries,228,438,1089,7830,11050,96866,63217,245507,417615,212853
round_k,1,4,13,42,129,410,1265,3796,11426,35475
round_shots,215,119,149,112,104,86,82,63,53,7
round_queries,215,357,1341,3248,9672,24682,71258,166131,423417,510811
round_k,1,4,14,46,143,434,1318,3994,12138,36486
round_shots,182,116,162,165,98,86,68,59,65
round_queries,182,348,1458,4785,10878,30186,72828,189567,1879605
round_k,1,4,14,55,175,535,1606,4819,14458
round_shots,215,119,236,130,94,94,71,94,69
round_queries,215,357,2124,3770,9494,28482,66243,264986,1782201
round_k,1,4,14,50,151,466,1409,4295,12914
round_shots,202,116,151,124,137,199,86,112,41
round_queries,202,348,1359,3596,13563,63481,83850,328720,1096791
round_k,1,4,14,49,159,487,1467,4436,13375
round_shots,146,169,110,170,334,99,100,68,57,3
round_queries,146,507,990,4590,27722,24849,83700,180404,453777,217461
round_k,1,4,13,41,125,418,1326,3980,11960,36243
round_shots,246,152,136,135,90,90,101,197,121,3
round_queries,246,456,1224,3915,8190,24570,84133,497819,940049,218133
round_k,1,4,14,45,136,416,1263,3884,11707,36355
round_shots,240,270,458,335,338,98,71,188,33
round_queries,240,810,5038,11055,39546,38710,84845,695412,1190739
round_k,1,5,16,58,197,597,1849,5936,18041
round_shots,154,165,122,292,106,96,70,92,126,6
round_queries,154,495,1098,7884,9010,24864,54670,215556,908838,404898
round_k,1,4,13,42,129,390,1171,3606,11218,33741
round_shots,221,163,122,134,138,104,74,65,69,8
round_queries,221,489,1098,3618,11178,25480,61198,161655,526953,552600
round_k,1,4,13,40,122,413,1243,3818,11502,34537
round_shots,234,140,118,141,146,104,125,72,79,3
round_queries,234,420,1062,3807,12118,30056,108875,188136,619439,216729
round_k,1,4,13,41,144,435,1306,3920,11957,36121
round_shots,240,127,114,120,148,79,76,64,63,4
round_queries,240,381,1026,3240,12284,22831,66348,174272,518427,299148
round_k,1,4,13,41,144,436,1361,4114,12433,37393
round_shots,259,203,188,241,156,97,77,64,52,3
round_queries,259,609,1692,6989,13884,26287,63371,159680,390572,202797
round_k,1,4,14,44,135,411,1247,3755,11266,33799
round_shots,154,165,156,121,98,88,109,71,53,6
round_queries,154,495,1404,3509,9114,24552,93195,185097,417799,434130
round_k,1,4,14,46,139,427,1303,3941,11862,36177
round_shots,154,121,180,347,125,90,75,68,77
round_queries,154,363,1620,10063,11875,30690,76875,212772,2209361
round_k,1,4,14,47,170,512,1564,4769,14346
round_shots,161,121,177,111,99,96,85,175,136,3
round_queries,161,363,1593,3219,8613,25632,70125,433125,1009800,212529
round_k,1,4,14,43,133,412,1237,3712,11451,35421
round_shots,289,132,106,197,171,88,77,126,33
round_queries,289,396,954,5319,14535,27896,77385,397530,973797
round_k,1,4,13,42,158,502,1577,4732,14754
round_shots,221,138,202,221,113,118,162,105,110,7
round_queries,221,414,1818,5967,9379,31742,137214,271845,854590,509845
round_k,1,4,13,41,134,423,1294,3884,11761,36417
round_shots,221,134,175,216,106,88,81,65,121,4
round_queries,221,402,1575,5832,9010,24024,68283,167115,935693,282364
round_k,1,4,13,42,136,421,1285,3866,11683,35295
round_shots,154,247,207,181,100,96,110,63,39
round_queries,154,741,1863,5249,11100,33696,116270,199773,1145625
round_k,1,4,14,55,175,528,1585,4810,14687
round_shots,154,129,132,172,104,112,151,78,52,9
round_queries,154,387,1188,4644,8632,28336,122461,198198,398788,635733
round_k,1,4,13,41,126,405,1270,3834,11512,35318
round_shots,208,210,218,262,139,102,141,119,50
round_queries,208,630,2398,9170,17097,38658,165393,418761,1587650
round_k,1,5,17,61,189,586,1759,5278,15876
round_shots,154,129,177,340,94,140,193,81,64,3
round_queries,154,387,1593,9180,8742,39900,165401,209223,501056,215037
round_k,1,4,13,46,142,428,1291,3914,11946,35839
round_shots,195,166,147,172,166,79,72,168,40
round_queries,195,498,1323,4644,14110,24569,67608,480312,1069720
round_k,1,4,13,42,155,469,1429,4395,13371
round_shots,182,240,170,155,97,86,158,172,55,3
round_queries,182,720,1530,4495,8827,23994,137302,468700,467995,229869
round_k,1,4,14,45,139,434,1362,4254,12770,38311
round_shots,306,124,119,188,122,128,75,67,52,7
round_queries,306,372,1071,5076,10126,37248,65475,177885,416988,507423
round_k,1,4,13,41,145,436,1327,4009,12065,36244
round_shots,228,148,150,255,150,119,82,180,135,4
round_queries,228,444,1350,6885,12750,33677,70930,484740,1134405,303740
round_k,1,4,13,42,141,432,1346,4201,12604,37967
round_shots,202,119,170,178,130,114,106,145,67,3
round_queries,202,357,1530,5162,11830,33630,96142,395995,548931,224319
round_k,1,4,14,45,147,453,1365,4096,12379,37386
round_shots,202,166,141,179,143,93,249,184,69
round_queries,202,498,1269,5191,12727,27993,225843,502872,1780407
round_k,1,4,14,44,150,453,1366,4220,12901
round_shots,208,143,198,168,107,83,72,80,53,3
round_queries,208,429,1782,4536,8881,21829,57672,192720,388755,204291
round_k,1,4,13,41,131,400,1204,3667,11095,34048
round_shots,182,124,231,411,297,93,73,61,52
round_queries,182,372,2079,11919,25839,30969,73219,186843,1459380
round_k,1,4,14,43,166,501,1531,4640,14032
round_shots,195,218,213,115,131,107,75,62,36
round_queries,195,654,2343,4025,13755,35417,77625,193998,1031148
round_k,1,5,17,52,165,517,1564,4767,14321
round_shots,215,126,114,123,105,176,165,68,55,7
round_queries,215,378,1026,3321,8505,43120,121605,150620,377795,451843
round_k,1,4,13,40,122,368,1107,3434,10481,32274
round_shots,215,177,111,114,121,231,72,87,58,3
round_queries,215,531,999,3078,9801,56595,54792,199665,428446,205521
round_k,1,4,13,40,122,380,1147,3693,11320,34253
round_shots,182,130,166,108,132,159,111,68,67,6
round_queries,182,390,1494,3132,11484,44043,95571,177140,530573,442242
round_k,1,4,14,43,138,430,1302,3959,12142,36853
round_shots,240,149,166,180,127,92,80,71,59,3
round_queries,240,447,1494,4860,10287,22724,60080,159963,398899,184845
round_k,1,4,13,40,123,375,1126,3380,10155,30807
round_shots,202,148,136,164,105,97,70,64,55,3
round_queries,202,444,1224,4428,8925,25123,58170,159552,412995,207747
round_k,1,4,13,42,129,415,1246,3754,11353,34624
round_shots,221,185,106,172,98,115,91,183,113,5
round_queries,221,555,954,4644,8134,28635,71617,436089,810549,338205
round_k,1,4,13,41,124,393,1191,3586,10759,33820
round_shots,195,116,147,133,103,120,77,66,95,6
round_queries,195,348,1323,3591,8549,30840,62447,162690,713545,413418
round_k,1,4,13,41,128,405,1232,3755,11299,34451
round_shots,259,215,246,141,102,83,72,66,41
round_queries,259,645,2214,4089,10098,25813,68040,188430,1089001
round_k,1,4,14,49,155,472,1427,4318,13280
round_shots,234,141,137,98,122,128,111,114,55,3
round_queries,234,423,1233,2842,10614,37248,97347,306090,449625,223083
round_k,1,4,14,43,145,438,1342,4087,12359,37180
round_shots,146,266,511,227,280,117,80,75,90,4
round_queries,146,798,5621,7491,27720,34749,72560,207225,755550,308036
round_k,1,5,16,49,148,453,1381,4197,12807,38504
round_shots,168,116,114,109,126,104,78,102,74,6
round_queries,168,348,1026,2943,10206,25272,57330,224910,494246,396366
round_k,1,4,13,40,121,367,1102,3339,10955,33030
round_shots,195,149,178,195,161,91,146,91,54,7
round_queries,195,447,1602,5265,15617,26663,128626,242333,436266,514955
round_k,1,4,13,48,146,440,1331,4039,12136,36782
round_shots,240,149,205,145,110,107,90,63,59,4
round_queries,240,447,1845,3915,9130,28783,75150,161091,456247,286060
round_k,1,4,13,41,134,417,1278,3866,11859,35757
round_shots,221,223,187,161,124,90,72,79,74,8
round_queries,221,669,1683,4347,10044,22230,54360,178935,508750,499192
round_k,1,4,13,40,123,377,1132,3437,10336,31199
round_shots,234,124,225,161,110,137,120,67,47
round_queries,234,372,2025,4669,10670,41237,108840,185791,1204751
round_k,1,4,14,48,150,453,1386,4191,12816
round_shots,253,259,154,138,105,82,72,62,40
round_queries,253,777,1386,4002,10605,26322,70776,183706,1074920
round_k,1,4,14,50,160,491,1481,4457,13436
round_shots,208,118,108,190,103,83,143,63,54,3
round_queries,208,354,972,5130,8755,22659,118833,160713,415314,212781
round_k,1,4,13,42,136,415,1275,3845,11658,35463
round_shots,182,189,136,158,102,83,68,64,56
round_queries,182,567,1224,4582,10710,26809,65892,186048,1514744
round_k,1,4,14,52,161,484,1453,4388,13524
round_shots,175,149,152,328,114,86,159,98,69
round_queries,175,447,1368,8856,11970,29154,164565,306642,1985475
round_k,1,4,13,52,169,517,1564,4710,14387
round_shots,246,166,184,171,166,87,79,88,57,3
round_queries,246,498,1656,4617,13446,21315,60435,207944,412167,199503
round_k,1,4,13,40,122,382,1181,3615,10877,33250
round_shots,228,186,202,144,108,87,104,103,14
