round_queries,600,1000,1700,5900,20500,323300
round_k,2,8,29,102,342,1616
round_shots,600,300,100,100,100,100
round_queries,600,1500,1900,6700,25500,617300
round_k,2,9,33,127,580,3086
round_shots,300,200,200,100,100,100
round_queries,300,1000,3400,8100,29300,748100
round_k,2,8,40,146,684,3740
round_shots,400,100,100,100,100,100
round_queries,400,500,1700,6100,22900,550300
round_k,2,8,30,114,525,2751
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7100,24100,576100
round_k,2,11,35,120,545,2880
round_shots,600,200,100,100,100
round_queries,600,1400,3100,10500,203700
round_k,3,15,52,216,1018
round_shots,700,200,200,100,100
round_queries,700,1400,5000,10100,150900
round_k,3,12,50,158,754
round_shots,600,200,200,100,100
round_queries,600,1400,4600,8500,150300
round_k,3,11,42,162,751
round_shots,600,200,100,100,100,100
round_queries,600,1400,2500,7900,31100,764900
round_k,3,12,39,155,707,3824
round_shots,500,200,100,100,100
round_queries,500,1400,3100,10100,165900
round_k,3,15,50,175,829
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8100,144900
round_k,2,11,40,156,724
round_shots,500,200,100,100,100
round_queries,500,1400,3100,10300,151300
round_k,3,15,51,191,756
round_shots,700,200,100,100,100,100
round_queries,700,1000,1700,5900,22300,494300
round_k,2,8,29,111,480,2471
round_shots,400,200,200,100,100
round_queries,400,1000,3400,8900,150900
round_k,2,8,44,158,754
round_shots,500,200,200,100,100
round_queries,500,1000,4600,10900,204900
round_k,2,11,54,213,1024
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,5900,20300,426900
round_k,2,9,29,101,418,2134
round_shots,700,200,100,100,100,100
round_queries,700,1400,2500,7700,29700,697500
round_k,3,12,38,148,660,3487
round_shots,600,200,200,100,100
round_queries,600,1400,6200,15300,315900
round_k,3,15,76,319,1579
round_shots,500,200,200,100,100
round_queries,500,1000,3800,9100,147300
round_k,2,9,45,154,736
round_shots,500,200,200,100,100,100
round_queries,500,1400,5800,11500,40300,726500
round_k,3,14,57,201,681,3632
round_shots,400,200,200,100,100
round_queries,400,1000,3400,8700,152700
round_k,2,8,43,160,763
round_shots,300,100,200,100,100,100
round_queries,300,500,3400,5900,18100,296900
round_k,2,8,29,90,401,1484
round_shots,600,200,100,100,100,100
round_queries,600,1400,2500,7900,32500,750500
round_k,3,12,39,162,689,3752
round_shots,500,200,200,100,100
round_queries,500,1000,3800,8700,154100
round_k,2,9,43,164,770
round_shots,300,100,200,100,100,100
round_queries,300,500,3400,5900,19700,331100
round_k,2,8,29,98,396,1655
round_shots,300,200,200,200,100,100
round_queries,300,1000,3400,12200,26900,360700
round_k,2,8,30,134,432,1803
round_shots,500,300,200,100,100
round_queries,500,1500,3800,9300,174300
round_k,2,9,46,181,871
round_shots,300,200,100,200,100
round_queries,300,1000,1900,13400,179300
round_k,2,9,33,196,896
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,8900,30900,769500
