round_shots,200,200,200,100,200,100,100
round_queries,200,600,2200,4500,29800,77500,1553300
round_k,1,5,22,74,387,1654,7766
round_shots,200,100,200,200,200,100,100,100
round_queries,200,300,1800,6200,21400,50500,197500,4716900
round_k,1,4,15,53,252,987,4485,23584
round_shots,200,100,200,400,200,100,100
round_queries,200,300,1800,14000,47800,125700,2792300
round_k,1,4,17,119,628,2776,13961
round_shots,100,200,200,100,100,100,100,100
round_queries,100,600,2200,3900,13500,52100,160100,3310500
round_k,1,5,19,67,260,800,2835,16552
round_shots,200,200,100,200,500,100,100
round_queries,200,600,900,5400,47500,79900,1528700
round_k,1,4,13,47,399,1619,7643
round_shots,200,200,100,500,200,100,100,100
round_queries,200,600,1300,20500,25800,60100,210100,5151500
round_k,1,6,20,64,300,1050,4858,25757
round_shots,100,100,100,200,200,100,100,100
round_queries,100,300,900,5400,19000,44100,165900,3810700
round_k,1,4,13,47,220,829,3711,19053
round_shots,100,200,100,200,100,100,100,100
round_queries,100,600,900,5800,9900,36700,144700,3162100
round_k,1,4,14,49,183,723,3126,15810
round_shots,100,200,200,100,100,300,100,100
round_queries,100,600,2200,3900,12300,129300,143300,2900500
round_k,1,5,19,61,215,716,3215,14502
round_shots,200,200,200,100,200,100,100,100
round_queries,200,600,1800,3700,24600,48500,175300,3922500
round_k,1,4,18,61,242,876,3951,19612
round_shots,200,200,100,200,100,100,100,100
round_queries,200,600,1100,6600,14700,49900,198500,3390100
round_k,1,5,16,73,249,992,3774,16950
round_shots,200,100,200,100,400,100,100
round_queries,200,300,1800,3300,41200,75500,1538500
round_k,1,4,16,51,377,1621,7692
round_shots,200,100,100,300,200,100,100,100
round_queries,200,300,900,8700,18200,40500,151100,3340300
round_k,1,4,14,45,202,755,3278,16701
round_shots,200,200,100,200,200,200,100,100
round_queries,200,600,900,5400,21000,86600,167300,3658500
round_k,1,4,13,52,216,836,3587,18292
round_shots,200,200,100,500,100,100,100,100
round_queries,200,600,900,13500,20900,69100,286900,7380300
round_k,1,4,13,104,345,1434,6795,36901
round_shots,200,300,100,200,100,100,100,100
round_queries,200,900,900,5400,11700,42900,154100,2293900
round_k,1,4,13,58,214,770,2607,11469
round_shots,100,200,200,200,200,100,100,100
round_queries,100,600,1800,6600,27800,73100,264300,6502700
round_k,1,4,16,69,365,1321,5984,32513
round_shots,100,100,100,200,100,200,100,100
round_queries,100,300,900,5400,9700,59400,167300,3809500
round_k,1,4,13,48,148,836,3717,19047
round_shots,100,100,200,400,100,100,100,100
round_queries,100,300,1800,10800,18100,59700,238300,5873100
round_k,1,4,13,90,298,1191,5512,29365
round_shots,200,200,200,100,200,100,100,100
round_queries,200,600,2200,4300,29800,45500,164900,3434300
round_k,1,5,21,74,227,824,3479,17171
round_shots,200,100,100,100,500,100,100,100
round_queries,200,300,900,2700,40500,24300,83100,1400300
round_k,1,4,13,40,121,415,1503,7001
round_shots,100,200,100,200,100,200,100,100
round_queries,100,600,1300,8600,13500,91400,211900,4508700
round_k,1,6,21,67,228,1059,4280,22543
round_shots,200,200,100,400,100,100,100,100
round_queries,200,600,1100,14000,10500,39900,147700,3229500
round_k,1,5,17,52,199,738,3182,16147
round_shots,100,200,100,300,100,100,100,100
round_queries,100,600,1100,9900,11300,40100,162700,3885300
round_k,1,5,16,56,200,813,3611,19426
round_shots,200,200,100,200,200,400,100
round_queries,200,600,1100,7400,29000,279600,2639300
round_k,1,5,18,72,349,2757,13196
round_shots,200,200,300,600,100,100,100,100
round_queries,200,600,2700,17400,8900,26700,96500,1990900
round_k,1,4,14,44,133,482,2064,9954
round_shots,200,200,100,300,100,300,100,100
round_queries,200,600,900,8100,10100,96900,201100,4269500
round_k,1,4,13,50,161,1005,4250,21347
round_shots,200,100,100,200,300,100,100,100
round_queries,200,300,900,5800,28500,59100,219300,5283300
round_k,1,4,14,47,295,1096,4968,26416
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,6600,11700,39700,127300,2710500
round_k,1,4,16,58,198,636,2738,13552
round_shots,200,200,100,100,200,200,100,100
round_queries,200,600,900,2700,17000,67800,173900,4041100
round_k,1,4,13,42,169,869,3885,20205
round_shots,200,200,100,200,400,100,100,100
round_queries,200,600,900,5400,47600,35700,178500,4135300
round_k,1,4,13,59,178,892,3988,20676
round_shots,200,100,100,100,200,200,100,100
round_queries,200,300,900,2700,18200,57800,162700,2847300
round_k,1,4,13,45,144,813,2939,14236
round_shots,200,100,100,100,200,100,200,100
round_queries,200,300,900,2700,18200,45500,327800,3554100
round_k,1,4,13,45,227,819,2781,17770
round_shots,200,200,100,200,200,200,100
round_queries,200,600,1100,6600,30600,125000,1587700
round_k,1,5,16,76,312,1812,7938
round_shots,200,200,100,100,300,100,100,100
round_queries,200,600,1100,3300,33900,72700,299700,7711100
round_k,1,5,16,56,363,1498,7040,38555
round_shots,100,100,100,200,200,100,100,100
round_queries,100,300,900,5400,18200,28900,111300,1664500
round_k,1,4,13,45,144,556,1842,8322
round_shots,200,300,300,500,100,100,100
round_queries,200,900,3300,16500,25900,81900,1639300
round_k,1,5,16,129,409,1714,8196
round_shots,200,100,100,300,100,100,100,100
round_queries,200,300,900,8700,9300,32900,115500,2443500
round_k,1,4,14,46,164,577,2469,12217
round_shots,100,200,200,200,500,100,100
round_queries,100,600,2200,7800,61500,94500,1803900
round_k,1,5,19,61,472,1907,9019
round_shots,200,200,200,100,300,100,100
round_queries,200,600,2200,4900,45300,90100,1484100
round_k,1,5,24,75,450,1630,7420
round_shots,200,100,300,300,100,100,100,100
round_queries,200,300,2700,9300,9500,32900,117100,2449700
round_k,1,4,15,47,164,585,2488,12248
round_shots,100,100,200,200,100,400,100,100
round_queries,100,300,1800,7000,13100,157200,285700,7124100
round_k,1,4,17,65,196,1428,6672,35620
round_shots,100,200,200,200,100,100,100
round_queries,100,600,2200,9000,22300,80700,1917900
round_k,1,5,22,111,403,1435,9589
round_shots,200,200,100,200,400,100,100,100
round_queries,200,600,900,5400,35600,66900,267700,6890300
round_k,1,4,13,44,334,1338,6297,34451
round_shots,200,200,100,500,200,100,100,100
round_queries,200,600,900,14500,19000,37700,137900,3050500
round_k,1,4,14,47,188,689,3027,15252
round_shots,200,100,300,500,100,100,100
round_queries,200,300,2700,18500,29700,111500,2356700
round_k,1,4,18,148,557,2393,11783
round_shots,200,200,100,100,500,100,100
round_queries,200,600,1100,3300,54500,85900,1615500
round_k,1,5,16,54,429,1676,8077
round_shots,200,100,100,200,200,100,100,100
round_queries,200,300,900,5800,21000,54300,187900,4280500
round_k,1,4,14,52,271,939,4126,21402
round_shots,100,200,100,200,400,100,100,100
round_queries,100,600,900,5800,38800,65900,278500,7079300
round_k,1,4,14,48,329,1392,6489,35396
round_shots,200,200,100,200,100,200,100,100
round_queries,200,600,900,5400,11300,75800,135700,2092700
round_k,1,4,13,56,189,678,2499,10463
round_shots,300,100,100,200,400,100,100
round_queries,300,300,900,5800,54800,102900,1831900
round_k,1,4,14,68,514,1884,9159
round_shots,100,200,200,200,100,100,100,100
round_queries,100,600,2200,7000,11900,37500,142500,3185100
round_k,1,5,17,59,187,712,3143,15925
round_shots,200,200,200,400,100,100,100,100
round_queries,200,600,2600,23600,18300,63900,255900,6387900
round_k,1,6,29,91,319,1279,5872,31939
round_shots,100,200,100,600,100,100,100
round_queries,100,600,1300,25800,36500,117700,2562100
round_k,1,6,21,182,588,2588,12810
round_shots,100,200,200,200,100,100,100
round_queries,100,600,2200,10200,22100,87100,1652100
round_k,1,5,25,110,435,1767,8260
round_shots,200,200,100,300,200,100,100,100
round_queries,200,600,900,8100,18200,42100,155900,3480100
round_k,1,4,13,45,210,779,3407,17400
round_shots,200,100,200,100,300,100,100,100
round_queries,200,300,1800,3500,34500,38900,147500,3020100
round_k,1,4,17,57,194,737,3002,15100
round_shots,200,200,100,400,200,100,100,100
round_queries,200,600,1100,13200,20200,52700,220500,5165900
round_k,1,5,16,50,263,1102,4905,25829
round_shots,100,100,100,100,200,300,100,100
round_queries,100,300,900,2900,18200,111900,242700,5525100
round_k,1,4,14,45,186,1213,5227,27625
round_shots,200,200,200,200,200,400,100
round_queries,200,600,2200,6600,25800,204400,1739900
round_k,1,5,16,64,255,1984,8699
round_shots,200,100,200,200,100,300,100,100
round_queries,200,300,1800,5800,8700,89700,193700,4397100
round_k,1,4,14,43,149,968,4284,21985
round_shots,200,200,200,100,100,100,300,100
round_queries,200,600,2200,3900,13500,45700,494100,6371900
round_k,1,5,19,67,228,823,5898,31859
round_shots,200,100,200,200,200,100,100,100
round_queries,200,300,1800,5400,19000,48300,163700,3624500
round_k,1,4,13,47,241,818,3545,18122
round_shots,200,200,200,100,300,300,100
round_queries,200,600,2200,4100,42300,146100,1525500
round_k,1,5,20,70,243,1644,7627
round_shots,100,200,200,200,100,100,100,100
round_queries,100,600,2200,7800,19300,71500,291300,7583900
round_k,1,5,19,96,357,1456,6854,37919
round_shots,300,200,100,100,100,300,100,100
round_queries,300,600,1100,3300,9900,95100,219100,4401500
round_k,1,5,16,49,158,1095,4375,22007
round_shots,100,100,100,100,600,100,100
round_queries,100,300,900,2900,54600,81100,1430700
round_k,1,4,14,45,405,1540,7153
round_shots,200,200,200,200,400,100,100
round_queries,200,600,2200,9000,55600,100900,2122100
round_k,1,5,22,69,504,2198,10610
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,1100,6600,21000,36500,141700,3001100
round_k,1,5,16,52,182,708,3007,15005
round_shots,200,100,100,200,300,100,100,100
round_queries,200,300,900,5800,33300,70700,280100,7074900
round_k,1,4,14,55,353,1400,6460,35374
round_shots,200,200,100,100,200,100,100,100
round_queries,200,600,1300,4300,29800,59300,226500,5421100
round_k,1,6,21,74,296,1132,5125,27105
round_shots,100,200,100,200,600,100,100
round_queries,100,600,1100,7000,78600,111500,2088700
round_k,1,5,17,65,557,2216,10443
round_shots,100,100,200,100,300,100,100,100
round_queries,100,300,1800,3900,42300,45300,156300,3244700
round_k,1,4,19,70,226,781,3277,16223
round_shots,200,200,100,100,100,200,100,100
round_queries,200,600,1100,3300,10900,76200,162300,3684500
round_k,1,5,16,54,190,811,3651,18422
round_shots,200,100,100,300,100,100,100,100
round_queries,200,300,900,8100,8100,28700,109300,2266700
round_k,1,4,13,40,143,546,2300,11333
round_shots,200,100,100,200,100,500,100,100
round_queries,200,300,900,5400,9100,171500,105100,1558900
round_k,1,4,13,45,171,525,1880,7794
round_shots,200,200,100,300,200,100,100,100
round_queries,200,600,1100,9900,21000,48100,185900,4350100
round_k,1,5,16,52,240,929,4191,21750
round_shots,200,100,200,600,100,100,100
round_queries,200,300,1800,19800,27300,97700,1976100
round_k,1,4,16,136,488,2034,9880
round_shots,100,100,200,200,500,100,100
round_queries,100,300,1800,5800,55500,90100,1448500
round_k,1,4,14,55,450,1575,7242
round_shots,200,100,200,200,200,200,100,100
round_queries,200,300,1800,6600,23400,70600,162900,3594700
round_k,1,4,16,58,176,814,3539,17973
round_shots,100,100,200,600,100,100,100,100
round_queries,100,300,1800,19800,10300,36500,138700,2997900
round_k,1,4,16,51,182,693,2969,14989
round_shots,200,100,100,200,300,100,100,100
round_queries,200,300,900,5400,28500,32900,133500,2542100
round_k,1,4,13,47,164,667,2557,12710
round_shots,100,200,100,200,200,300,100
round_queries,100,600,1300,8600,35800,168300,1926300
round_k,1,6,21,89,280,2028,9631
round_shots,200,100,200,100,100,100,100,100,100
round_queries,200,300,1800,3300,9900,31700,111900,336300,7478300
round_k,1,4,16,49,158,559,1681,6878,37391
round_shots,100,200,200,400,100,100,100
round_queries,100,600,2200,15600,24900,95300,1960300
round_k,1,5,19,124,476,2023,9801
round_shots,200,100,100,100,100,100,100,100
round_queries,200,300,900,2900,10300,31700,107300,1558500
round_k,1,4,14,51,158,536,1708,7792
round_shots,100,200,100,100,200,200,100,100
round_queries,100,600,1100,3300,19800,61800,138700,2601700
round_k,1,5,16,49,154,693,2601,13008
round_shots,100,100,100,100,600,100,100,100
round_queries,100,300,900,2900,59400,85500,289500,7152900
round_k,1,4,14,49,427,1447,6572,35764
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,7400,11900,44300,152700,3492700
round_k,1,4,18,59,221,763,3415,17463
round_shots,200,100,200,200,100,200,100,100
round_queries,200,300,1800,8600,14900,110600,296500,3860900
round_k,1,4,21,74,276,1482,4601,19304
round_shots,200,100,200,100,100,100,200,100
round_queries,200,300,1800,3900,14100,49900,306200,3713700
round_k,1,4,19,70,249,765,3620,18568
round_shots,100,100,200,100,300,200,100,100
round_queries,100,300,1800,4100,44700,93400,228300,4436300
round_k,1,4,20,74,233,1141,4262,22181
round_shots,200,200,100,100,100,200,100,100
round_queries,200,600,900,2700,8500,51800,137700,2300300
round_k,1,4,13,42,129,688,2432,11501
round_shots,200,100,100,200,200,100,100,100
round_queries,200,300,900,5800,23800,42700,160500,3487700
round_k,1,4,14,59,213,802,3438,17438
round_shots,200,200,100,600,100,100,100,100
round_queries,200,600,1100,19800,10300,35700,126500,2826700
round_k,1,5,16,51,178,632,2806,14133
round_shots,100,100,100,100,200,200,100,100
round_queries,100,300,900,2700,19000,82200,211700,5094100
round_k,1,4,13,47,205,1058,4841,25470
round_shots,200,200,100,500,100,100,100,100
round_queries,200,600,1100,16500,10100,34100,111100,2359300
round_k,1,5,16,50,170,555,2401,11796
round_shots,100,100,100,300,500,100,100,100
round_queries,100,300,900,8100,42500,68700,264900,6715300
round_k,1,4,13,42,343,1324,6195,33576
round_shots,200,200,200,200,200,100,100
round_queries,200,600,2200,9400,31800,78500,1577500
round_k,1,5,23,79,392,1669,7887
round_shots,100,200,100,500,100,100,100,100
round_queries,100,600,1300,20500,12700,47300,160300,3645300
round_k,1,6,20,63,236,801,3581,18226
round_shots,100,200,100,100,300,400,100
round_queries,100,600,1300,4100,40500,175600,1448500
round_k,1,6,20,67,219,1640,7242
round_shots,100,200,100,400,200,100,100,100
round_queries,100,600,1100,14800,23000,53500,201500,4621100
round_k,1,5,18,57,267,1007,4434,23105
round_shots,100,100,100,100,500,100,100,100
round_queries,100,300,900,2900,45500,68500,234300,5890500
round_k,1,4,14,45,342,1171,5467,29452
round_shots,200,200,200,400,100,100,100,100
round_queries,200,600,1800,14000,11100,41300,169500,3773900
round_k,1,4,17,55,206,847,3681,18869
round_shots,100,100,100,200,200,100,100,100
round_queries,100,300,900,5400,17400,40300,156500,3628100
round_k,1,4,13,43,201,782,3529,18140
round_shots,200,200,100,100,500,100,100,100
round_queries,200,600,1100,3300,56500,34300,123700,2397700
round_k,1,5,16,56,171,618,2433,11988
round_shots,200,200,200,500,100,100,100,100
round_queries,200,600,1800,18500,11700,44500,162100,3735300
round_k,1,4,18,58,222,810,3614,18676
round_shots,100,100,200,400,100,100,100,100
round_queries,100,300,1800,13200,10300,34900,122700,2640700
round_k,1,4,16,51,174,613,2639,13203
round_shots,200,200,200,100,500,100,100
round_queries,200,600,2200,3700,58500,95100,1948700
round_k,1,5,18,58,475,2070,9743
round_shots,200,100,200,300,200,100,100,100
round_queries,200,300,1800,9300,18600,42100,169900,3789700
round_k,1,4,15,46,210,849,3684,18948
round_shots,200,200,200,300,100,100,100,100
round_queries,200,600,2600,12900,13100,45500,178700,4110100
round_k,1,6,21,65,227,893,4010,20550
round_shots,200,100,200,200,200,200,100,100
round_queries,200,300,1800,5800,20600,70200,177900,3672300
round_k,1,4,14,51,175,889,3608,18361
round_shots,100,200,100,300,200,100,100,100
round_queries,100,600,1100,9900,21800,48100,183100,4252900
round_k,1,5,16,54,240,915,4102,21264
round_shots,300,200,200,400,100,100,100,100
round_queries,300,600,2200,17200,13100,41300,168500,3865100
round_k,1,5,21,65,206,842,3752,19325
