round_queries,300,1000,1900,6100,23700,572900
round_k,2,9,30,118,551,2864
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,25500,600700
round_k,2,9,30,127,569,3003
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,5700,21300,513100
round_k,2,9,28,106,488,2565
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,25500,627100
round_k,2,9,32,127,588,3135
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,25300,587100
round_k,2,9,32,126,559,2935
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,23300,545100
round_k,2,9,30,116,518,2725
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,29700,706500
round_k,2,11,39,148,655,3532
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,4700,18700,409700
round_k,2,7,23,93,396,2048
round_shots,400,200,100,100,100,100
round_queries,400,1000,2300,7300,28900,735500
round_k,2,11,36,144,668,3677
round_shots,300,300,100,100,100,100
round_queries,300,1500,2300,7300,28100,688700
round_k,2,11,36,140,636,3443
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,7900,29700,757900
round_k,2,11,39,148,697,3789
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,149100
round_k,2,11,39,163,745
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,24700,562900
round_k,2,9,32,123,527,2814
round_shots,400,100,100,100,100,100
round_queries,400,500,1500,4700,18900,427500
round_k,2,7,23,94,421,2137
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7900,150900
round_k,2,11,39,163,754
round_shots,400,100,200,100,100,100
round_queries,400,300,1800,3700,13900,282500
round_k,1,4,18,69,285,1412
round_shots,500,200,100,100,100
round_queries,500,1000,2300,7900,160300
round_k,2,11,39,168,801
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,6900,26700,667900
round_k,2,11,34,133,615,3339
round_shots,500,200,100,100,100,100
round_queries,500,1000,2300,7300,26900,659500
round_k,2,11,36,134,623,3297
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6500,22900,489100
round_k,2,9,32,114,472,2445
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,23900,494900
round_k,2,9,32,119,483,2474
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8300,156900
round_k,2,11,41,166,784
round_shots,300,300,100,100,100
round_queries,300,1500,2700,8700,166300
round_k,2,13,43,182,831
round_shots,400,200,100,100,100
round_queries,400,1000,2300,7700,143700
round_k,2,11,38,154,718
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,22500,517100
round_k,2,9,30,112,495,2585
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6500,24100,592700
round_k,2,9,32,120,556,2963
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,24900,586300
round_k,2,9,30,124,552,2931
round_shots,300,300,100,100,100
round_queries,300,1500,2300,7500,145700
round_k,2,11,37,154,728
round_shots,300,200,200,100,100
round_queries,300,1000,3800,9100,171900
round_k,2,9,45,182,859
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8700,155700
round_k,2,11,43,165,778
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,28700,703700
