round_queries,100,600,700,2300,9100,42100,212100,1061700,5320700,26874700
round_k,0,1,3,11,45,210,1060,5308,26603,134373
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12700,61500,309900,1565500,7878300,39832500
round_k,0,1,3,13,63,307,1549,7827,39391,199162
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,3100,15300,73300,359300,1801700,9081900,45772500
round_k,0,1,3,15,76,366,1796,9008,45409,228862
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,11100,53500,264300,1318300,6617500,33344900
round_k,0,1,3,13,55,267,1321,6591,33087,166724
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12300,57100,269300,1344900,6783900,34139500
round_k,0,1,3,14,61,285,1346,6724,33919,170697
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,13700,63900,308100,1547500,7820700,39583100
round_k,0,1,3,15,68,319,1540,7737,39103,197915
round_shots,100,100,200,100,100,100,100,100,100,100
round_queries,100,300,1400,3300,15500,74100,364900,1830500,9217500,46410700
round_k,0,1,3,16,77,370,1824,9152,46087,232053
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,12500,62300,314900,1577900,7958500,40126500
round_k,0,1,4,14,62,311,1574,7889,39792,200632
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10100,46300,227700,1137500,5690900,28806500
round_k,0,1,3,12,50,231,1138,5687,28454,144032
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2300,9700,44300,220100,1111300,5601500,28298900
round_k,0,1,3,11,48,221,1100,5556,28007,141494
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,3100,13100,60900,295900,1488100,7529700,38063100
round_k,0,1,3,15,65,304,1479,7440,37648,190315
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,14500,73100,356500,1794500,9049500,45857900
round_k,0,1,3,14,72,365,1782,8972,45247,229289
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,3100,12700,59700,291300,1475700,7427300,37556500
round_k,0,1,3,15,63,298,1456,7378,37136,187782
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,11500,53100,259700,1311300,6641100,33525300
round_k,0,1,3,14,57,265,1298,6556,33205,167626
round_shots,200,200,100,100,100,100,100,100,100,100
round_queries,200,600,700,2900,13100,59900,289100,1435300,7178900,36411700
round_k,0,1,3,14,65,299,1445,7176,35894,182058
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12300,59500,292300,1469100,7389500,37345900
round_k,0,1,3,13,61,297,1461,7345,36947,186729
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,14300,70900,353700,1770900,8864300,44875500
round_k,0,1,3,14,71,354,1768,8854,44321,224377
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12500,62100,291100,1455300,7307100,37111100
round_k,0,1,3,13,62,310,1455,7276,36535,185555
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12500,58100,280100,1417100,7166500,36276100
round_k,0,1,3,13,62,290,1400,7085,35832,181380
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12500,63300,311300,1552700,7718500,38996700
round_k,0,1,3,14,62,316,1556,7763,38592,194983
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2300,10700,49300,240300,1215900,6170100,31205900
round_k,0,1,3,11,53,246,1201,6079,30850,156029
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10900,49500,235500,1175700,5921500,29982100
round_k,0,1,3,12,54,247,1177,5878,29607,149910
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,11900,55500,270700,1320900,6663100,33687100
round_k,0,1,3,13,59,277,1353,6604,33315,168435
round_shots,200,200,100,100,100,100,100,100,100,100
round_queries,200,600,700,2500,10300,48300,232300,1163300,5859700,29584700
round_k,0,1,3,12,51,241,1161,5816,29298,147923
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12100,58500,290500,1442700,7344500,37139700
round_k,0,1,3,13,60,292,1452,7213,36722,185698
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,10500,48700,241900,1205500,6088500,30819500
round_k,0,1,3,13,52,243,1209,6027,30442,154097
round_shots,100,100,200,100,100,100,100,100,100,100
round_queries,100,300,1400,3700,16300,79900,397900,1982300,9956100,50235100
round_k,0,1,3,18,81,399,1989,9911,49780,251175
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7300,32700,159700,805900,4061500,20459900
round_k,0,1,9,36,163,798,4029,20307,102299
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13700,64700,303500,1505700,7608900,38450300
round_k,0,1,3,14,68,323,1517,7528,38044,192251
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,11500,53900,268500,1328100,6622300,33332500
round_k,0,1,3,12,57,269,1342,6640,33111,166662
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13500,63100,317900,1502500,7543300,38019300
round_k,0,1,3,14,67,315,1589,7512,37716,190096
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,13100,61700,310900,1546900,7803500,39573100
round_k,0,1,3,13,65,308,1554,7734,39017,197865
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12900,62700,313500,1564100,7939500,40180700
round_k,0,1,3,14,64,313,1567,7820,39697,200903
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,3100,13300,64900,318900,1594900,8069900,40567700
round_k,0,1,3,15,66,324,1594,7974,40349,202838
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,3300,16500,81100,405700,2046100,10388500,52449300
round_k,0,1,3,16,82,405,2028,10230,51942,262246
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7500,37500,187100,931700,4679900,23673900
round_k,0,1,9,37,187,935,4658,23399,118369
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,11500,57500,269700,1330100,6726100,33963300
round_k,0,1,3,12,57,287,1348,6650,33630,169816
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13500,65500,322900,1621700,8114300,41087900
round_k,0,1,3,14,67,327,1614,8108,40571,205439
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11700,57300,286500,1422300,7160300,36292100
round_k,0,1,3,13,58,286,1432,7111,35801,181460
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7300,35100,168100,840900,4254700,21576100
round_k,0,1,9,36,175,840,4204,21273,107880
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2900,14300,70100,345700,1733100,8769700,44362100
round_k,0,1,3,14,71,350,1728,8665,43848,221810
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,11900,53900,257500,1293900,6523700,33047300
round_k,0,1,4,14,59,269,1287,6469,32618,165236
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,11100,50900,249500,1249500,6233900,31563300
round_k,0,1,3,12,55,254,1247,6247,31169,157816
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10500,49100,243700,1209100,6088500,30547300
round_k,0,1,3,12,52,245,1218,6045,30442,152736
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7900,37700,181700,909300,4560100,23074300
round_k,0,1,9,39,188,908,4546,22800,115371
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12500,60700,301900,1493100,7532700,37936900
round_k,0,1,3,14,62,303,1509,7465,37663,189684
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10900,53300,264900,1334900,6704900,33933700
round_k,0,1,3,12,54,266,1324,6674,33524,169668
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,13300,61500,303100,1508100,7521100,38107900
round_k,0,1,3,14,66,307,1515,7540,37605,190539
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3500,16500,81900,406900,2054500,10331900,52335900
round_k,0,1,3,17,82,409,2034,10272,51659,261679
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10100,50500,239900,1157900,5820300,29307500
round_k,0,1,3,12,50,252,1199,5789,29101,146537
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2700,12100,55900,280900,1403700,7097300,35863100
round_k,0,1,3,13,60,279,1404,7018,35486,179315
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12700,59100,297500,1486500,7487900,37793100
round_k,0,1,3,14,63,295,1487,7432,37439,188965
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,3300,14100,67900,336900,1689300,8535500,43254500
round_k,0,1,3,16,70,339,1684,8446,42677,216272
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10500,49500,247700,1238100,6255100,31635300
round_k,0,1,3,12,52,247,1238,6190,31275,158176
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,14300,67500,338100,1689100,8449700,42649300
round_k,0,1,3,15,71,337,1690,8445,42248,213246
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,13500,64900,318900,1596700,8050500,40772500
round_k,0,1,3,15,67,324,1594,7983,40252,203862
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,9500,46700,233500,1171900,5929700,30075300
round_k,0,1,9,47,233,1167,5859,29648,150376
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,2100,9900,47700,233700,1164500,5882500,29782300
round_k,0,1,10,49,238,1168,5822,29412,148911
round_shots,200,100,100,100,100,100,100,100,100,100
round_queries,200,300,700,2900,12500,62500,304500,1495300,7444700,37506100
round_k,0,1,3,14,62,312,1522,7476,37223,187530
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12900,64100,313700,1554900,7845700,39656700
round_k,0,1,3,13,64,320,1568,7774,39228,198283
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11100,53900,266900,1348900,6768500,34270500
round_k,0,1,3,13,55,269,1334,6744,33842,171352
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,3100,13100,62900,305700,1539300,7785700,39460900
round_k,0,1,3,15,65,314,1528,7696,38928,197304
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7700,35500,171500,851500,4296300,21763300
round_k,0,1,9,38,177,857,4257,21481,108816
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1700,7700,37900,184300,921500,4628500,23514100
round_k,0,1,8,38,189,921,4607,23142,117570
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,12300,59900,301900,1513700,7558700,38137300
round_k,0,1,3,13,61,299,1509,7568,37793,190686
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12700,59500,295300,1445100,7062500,34829500
round_k,0,1,3,14,63,297,1476,7225,35312,174147
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,1900,7700,35700,176900,875300,4395900,22133700
round_k,0,1,9,38,178,884,4376,21979,110668
round_shots,100,200,100,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10700,48900,241500,1209900,6119100,31009900
