round_shots,1200,200,200,200,200,100,100,100
round_queries,1200,600,1800,6600,28200,60100,197300,2902700
round_k,1,4,16,70,300,986,3463,14513
round_shots,1000,300,200,200,100,300,100,100
round_queries,1000,2100,5000,19800,43300,398700,482700,6930100
round_k,3,12,49,216,664,2413,7670,34650
round_shots,1300,300,200,200,200,200,100
round_queries,1300,2700,6600,25800,115000,399800,2944900
round_k,4,16,64,287,999,3502,14724
round_shots,1596,288,192,192,96,288,96,96
round_queries,1596,2016,4800,19008,40224,382752,389088,4484640
round_k,3,12,49,209,664,2026,6796,23357
round_shots,1596,288,288,192,96,96,192,96
round_queries,1596,2016,6624,14400,23520,74592,515136,3631968
round_k,3,11,37,122,388,1341,4306,18916
round_shots,1000,300,200,200,200,100,100,100
round_queries,1000,2100,5000,17400,77800,168700,545500,7542700
round_k,3,12,43,194,843,2727,8793,37713
round_shots,900,300,200,100,100,100,100,100
round_queries,900,2100,5000,8500,26300,79100,274700,4044100
round_k,3,12,42,131,395,1373,5170,20220
round_shots,1200,300,200,200,200,100,200,100
round_queries,1200,2100,5000,16200,71400,155500,1101800,7512100
round_k,3,12,40,178,777,2754,9089,37560
round_shots,1400,300,200,200,100,100,100,100
round_queries,1400,2100,5000,16200,31500,107500,339900,5584100
round_k,3,12,40,157,537,1699,6371,27920
round_shots,1300,400,200,100,200,100,100
round_queries,1300,2800,5000,9300,57400,133100,2006100
round_k,3,12,46,143,665,2442,10030
round_shots,1300,300,200,100,100,100,200,100
round_queries,1300,2700,6600,13900,44100,147100,1001000,6093100
round_k,4,16,69,220,735,2502,7936,30465
round_shots,1300,300,200,200,100,200,100
round_queries,1300,2700,6200,22600,43100,260600,2106900
round_k,4,15,56,215,651,2586,10534
round_shots,1000,200,200,200,200,100,100
round_queries,1000,1400,4600,16200,64200,138900,1849300
round_k,3,11,40,160,694,2353,9246
round_shots,1000,200,200,300,100,100,200,100
round_queries,1000,600,1800,9300,13700,42700,271800,2326900
round_k,1,4,15,68,213,679,2978,11634
round_shots,1400,300,200,200,100,100,100,100
round_queries,1400,2100,5000,16200,35100,117500,386300,4786500
round_k,3,12,40,175,587,1931,7152,23932
round_shots,1500,400,200,200,200,100,100
round_queries,1500,2800,5000,18200,75000,164500,2308700
round_k,3,12,45,187,822,2793,11543
round_shots,1200,200,200,200,100,100,100,100
round_queries,1200,1400,5000,17800,32500,98100,349500,6074700
round_k,3,12,44,162,490,1747,6804,30373
round_shots,1500,200,200,200,200,100,100
round_queries,1500,1800,6600,23800,85000,208700,2611500
round_k,4,16,59,212,1043,3669,13057
round_shots,1200,300,300,200,100,200,100
round_queries,1200,2100,6900,18200,35100,225800,2077300
round_k,3,11,45,175,564,2549,10386
round_shots,800,300,200,200,300,100,100
round_queries,800,2100,5000,19400,128700,179700,3168300
round_k,3,12,48,214,898,3267,15841
round_shots,1400,300,200,200,100,200,100
round_queries,1400,2100,5000,19400,36500,248200,2004700
round_k,3,12,48,182,620,2490,10023
round_shots,1500,300,200,200,100,100,100
round_queries,1500,2100,5000,19400,40500,128100,1775900
round_k,3,12,48,202,640,2187,8879
round_shots,1300,300,300,200,200,200,100
round_queries,1300,2100,6900,17800,75400,342600,2066100
round_k,3,11,44,188,856,2661,10330
round_shots,1200,300,200,200,200,100,200,100
round_queries,1200,2100,5000,21400,71400,141700,1053800,7320900
round_k,3,12,53,178,708,2634,8139,36604
round_shots,1200,300,200,200,200,100,100
round_queries,1200,2100,5000,19400,87800,183100,2805100
round_k,3,12,48,219,915,3463,14025
round_shots,1500,300,200,200,100,100,100,100
round_queries,1500,2700,6200,22600,35900,111500,342100,5346900
round_k,4,15,56,179,557,1710,6191,26734
round_shots,1300,400,300,200,100,100,100,100
round_queries,1300,2800,8100,18200,31100,100900,325900,5305900
round_k,3,13,45,155,504,1629,6274,26529
round_shots,1300,300,300,200,200,100,100
round_queries,1300,2100,7500,24200,110200,233900,3685700
round_k,3,12,60,275,1169,4380,18428
round_shots,1200,200,200,200,100,100,100,100
round_queries,1200,1400,5000,18200,38100,118700,432300,5408700
round_k,3,12,45,190,593,2161,7361,27043
round_shots,1200,300,200,300,200,100,100
round_queries,1200,2700,6600,41100,82200,180300,2783100
round_k,4,16,68,205,901,3367,13915
round_shots,1300,300,300,200,100,100,100,100
round_queries,1300,2100,7500,17000,29100,89500,309900,4941100
round_k,3,12,42,145,447,1549,5881,24705
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,2100,5000,17800,34100,109700,373300,5314900
round_k,3,12,44,170,548,1866,6898,26574
round_shots,1000,400,300,200,200,100,200,100
round_queries,1000,2800,8100,18200,78200,152900,948200,5987300
round_k,3,13,45,195,764,2370,7157,29936
round_shots,1200,200,200,100,100,200,100,100
round_queries,1200,1400,5000,9100,27900,175000,331900,5290300
round_k,3,12,45,139,437,1659,6099,26451
round_shots,1300,300,200,200,100,200,100
round_queries,1300,2700,8600,29800,62500,416200,2592900
round_k,4,21,74,312,1040,3387,12964
round_shots,1300,400,200,200,100,100,100,100
round_queries,1300,2800,5000,16600,34700,114900,398100,6082300
round_k,3,12,41,173,574,1990,7509,30411
round_shots,1500,300,300,200,100,100,100,100
round_queries,1500,2700,11700,23400,42900,129100,475700,6002300
round_k,4,19,58,214,645,2378,8386,30011
round_shots,700,200,200,400,200,200,100,100
round_queries,700,600,1800,10800,16200,65400,150700,2181700
round_k,1,4,13,40,163,753,2804,10908
round_shots,1400,300,200,200,100,100,200,100
round_queries,1400,2100,5000,16200,30300,99300,705800,5865100
round_k,3,12,40,151,496,1764,6602,29325
round_shots,1500,300,200,200,200,200,100
round_queries,1500,2100,5000,17400,73400,265400,2273100
round_k,3,12,43,183,663,2969,11365
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,2100,5000,17000,35300,113700,400700,5469900
round_k,3,12,42,176,568,2003,8010,27349
round_shots,1100,300,200,200,100,100,200,100
round_queries,1100,2100,5000,18200,36100,110300,789800,6443300
round_k,3,12,45,180,551,1974,8387,32216
round_shots,1300,300,300,200,100,200,100,100
round_queries,1300,2700,9300,21400,45700,288200,442100,6644100
round_k,4,15,53,228,720,2210,8914,33220
round_shots,900,200,300,300,200,100,100,100,100
round_queries,900,600,2700,9300,19800,43500,135700,423100,7331300
round_k,1,4,15,49,217,678,2115,8114,36656
round_shots,900,200,200,200,200,100,200,100
round_queries,900,600,1800,6600,28200,61700,425000,3956300
round_k,1,4,16,70,308,1062,4624,19781
round_shots,1200,200,300,200,100,100,100,200,100
round_queries,1200,600,2700,6600,13300,39900,126900,935400,7301700
round_k,1,4,16,66,199,634,2338,9677,36508
round_shots,1100,300,300,100,100,100,100,100
round_queries,1100,2100,7500,9700,29100,93500,336300,5800300
round_k,3,12,48,145,467,1681,6511,29001
round_shots,1300,300,200,200,100,100,100,100
round_queries,1300,2100,5000,19800,37500,115500,411100,7463500
round_k,3,12,49,187,577,2055,8305,37317
round_shots,1596,288,192,192,96,192,96,96
round_queries,1596,2016,4800,17088,31968,197952,461088,7147104
round_k,3,12,44,166,515,2401,9434,37224
round_shots,1300,300,200,200,100,100,100
round_queries,1300,2700,8200,34200,79100,284700,4108500
round_k,4,20,85,395,1423,5370,20542
round_shots,1200,300,300,200,200,100,100
round_queries,1200,2100,7500,19400,70600,142900,2106900
round_k,3,12,48,176,714,2592,10534
round_shots,900,300,200,200,200,100,200,100
round_queries,900,2100,5000,19800,71800,137700,1018200,5456700
round_k,3,12,49,179,688,2545,7980,27283
