round_k,0,1,5,13,30,73,153,397,868,1951,4362,9715,22049,57126,147595,303207
round_shots,1400,1300,300,300,300,200,300,300,300,300,300,200,200,200,200,100
round_queries,1400,3900,3300,7500,18300,31000,96900,240300,599700,1517700,3872700,6837800,14905800,31366200,68585000,77588300
round_k,0,1,5,12,30,77,161,400,999,2529,6454,17094,37264,78415,171462,387941
round_shots,1700,1300,300,400,300,200,300,400,300,300,300,200,200,200,200,200
round_queries,1700,3900,3300,10000,17700,30600,92100,324400,569700,1151700,2390100,3511000,7682200,16934200,37952600,78617000
round_k,0,1,5,12,29,76,153,405,949,1919,3983,8777,19205,42335,94881,196542
round_shots,1100,1300,300,300,300,200,200,200,200,300,200,200,200,200,200,200
round_queries,1100,3900,3300,7500,18300,29000,58600,126600,263400,844500,1516600,3325400,7358200,16783800,35256600,76930600
round_k,0,1,5,12,30,72,146,316,658,1407,3791,8313,18395,41959,88141,192326
round_shots,1100,1200,400,200,300,300,300,300,300,200,200,200,200,200,200,200
round_queries,1100,3600,4400,5000,15300,37500,98700,249300,549300,829800,1768600,3981000,8921000,20099800,45805400,97878200
round_k,0,1,5,12,25,62,164,415,915,2074,4421,9952,22302,50249,114513,244695
round_shots,1500,1200,400,300,300,200,200,200,200,200,200,200,300,300,300,200
round_queries,1500,3600,4400,8100,18900,30600,63800,137800,308600,680600,1367000,2942600,9062100,19675500,44286900,78893000
round_k,0,1,5,13,31,76,159,344,771,1701,3417,7356,15103,32792,73811,197232
round_shots,2100,1300,400,400,300,200,200,200,300,300,200,300,300,200,200,200
round_queries,2100,3900,4400,10800,18300,29800,62200,131800,422100,992100,1483000,4989900,11777100,20594600,46152200,102664200
round_k,0,1,5,13,30,74,155,329,703,1653,3707,8316,19628,51486,115380,256660
round_shots,1300,1300,400,400,200,300,200,300,200,200,200,200,200,200,200,200
round_queries,1300,3900,4400,10800,12200,36900,63800,210300,365800,754200,1707400,3785400,8494600,19278600,43038200,94587800
round_k,0,1,5,13,30,61,159,350,914,1885,4268,9463,21236,48196,107595,236469
round_shots,1700,1200,300,400,200,300,200,200,300,200,200,200,200,200,200,200,100
round_queries,1700,3600,3300,10000,11800,36300,52600,112200,365100,618600,1275000,2810600,6131800,12281000,25425800,52975000,55891500
round_k,0,1,5,12,29,60,131,280,608,1546,3187,7026,15329,30702,63564,132437,279457
round_shots,1600,1200,400,400,300,200,200,200,200,300,300,300,300,300,300,200
round_queries,1600,3600,4400,10800,18300,27400,57400,129800,277400,846300,2068500,5124900,12278100,32483100,80853300,111265000
round_k,0,1,5,13,30,68,143,324,693,1410,3447,8541,20463,54138,134755,278162
round_shots,1700,1300,300,300,200,200,300,200,200,200,200,200,300,300,200,200
round_queries,1700,3900,3300,7500,11800,26200,85500,150200,321400,679000,1443400,3246600,11036700,29486100,49957800,108613800
round_k,0,1,5,12,29,65,142,375,803,1697,3608,8116,18394,49143,124894,271534
round_shots,1400,1300,400,400,300,200,200,200,200,300,200,300,200,200,300,100
round_queries,1400,3900,4400,10800,23100,39000,85400,176200,375800,1251300,2138200,6456300,11793800,24794600,75617100,59754300
round_k,0,1,5,13,38,97,213,440,939,2085,5345,10760,29484,61986,126028,298771
round_shots,900,1400,400,300,200,300,400,300,300,300,400,200,300,200,300,100
round_queries,900,4200,4400,8100,12600,38100,130800,269700,560100,1182900,3410000,4568200,13968900,23661400,71058900,61482500
round_k,0,1,5,13,31,63,163,449,933,1971,4262,11420,23281,59153,118431,307412
round_shots,1300,1500,300,300,200,200,200,200,300,300,200,300,200,200,200,200
round_queries,1300,4500,3300,7500,12600,27400,55400,113000,339900,878700,1519400,4881900,8338600,18701800,41966200,91619800
round_k,0,1,5,12,31,68,138,282,566,1464,3798,8136,20846,46754,104915,229049
