round_queries,3300,2800,6800,21500,34500,61400,68700
round_k,0,3,8,21,57,153,343
round_shots,3100,400,300,300,300,200,100
round_queries,3100,2800,5100,12300,35100,63000,70500
round_k,0,3,8,20,58,157,352
round_shots,2500,300,300,200,300,200,200
round_queries,2500,2100,5100,8200,26700,42200,97400
round_k,0,3,8,20,44,105,243
round_shots,2300,300,300,200,200,300,200
round_queries,2300,2100,5100,8200,17800,55500,83800
round_k,0,3,8,20,44,92,209
round_shots,2000,300,300,300,200,200,200,100
round_queries,2000,2100,4500,9300,14200,28600,66600,73900
round_k,0,3,7,15,35,71,166,369
round_shots,2900,400,200,200,200,200,100
round_queries,2900,3600,5000,10200,23800,52600,59300
round_k,0,4,12,25,59,131,296
round_shots,3700,400,300,300,200,200,300
round_queries,3700,2800,5100,12300,18200,36600,114300
round_k,0,3,8,20,45,91,190
round_shots,2800,300,300,200,300,200,200
round_queries,2800,2100,5100,8200,26700,47400,109400
round_k,0,3,8,20,44,118,273
round_shots,2200,400,400,300,200,200,200
round_queries,2200,2800,6800,14100,20600,42600,91400
round_k,0,3,8,23,51,106,228
round_shots,3200,400,300,200,200,200,200
round_queries,3200,2800,5100,8200,18200,41000,95400
round_k,0,3,8,20,45,102,238
round_shots,2400,300,400,300,300,200,200
round_queries,2400,2100,6000,9900,24300,45400,105400
round_k,0,3,7,16,40,113,263
round_shots,3500,400,300,200,200,200
round_queries,3500,3600,7500,13400,29800,67800
round_k,0,4,12,33,74,169
round_shots,2700,300,300,200,200,200,200
round_queries,2700,2100,5100,8200,16600,39800,89400
round_k,0,3,8,20,41,99,223
round_shots,2800,300,300,500,200,200,200
round_queries,2800,2100,5100,19500,17800,42200,95400
round_k,0,3,8,19,44,105,238
round_shots,2600,500,300,300,300,200,200
round_queries,2600,1500,2700,7500,22500,38600,87400
round_k,0,1,4,12,37,96,218
round_shots,3200,400,300,300,300,300
round_queries,3200,3600,6900,14700,38700,108900
round_k,0,4,11,24,64,181
round_shots,2500,400,300,300,200,300,200
round_queries,2500,2800,5100,12300,21400,66300,108600
round_k,0,3,8,20,53,110,271
round_shots,3100,400,400,200,200,200,100
round_queries,3100,2800,6800,11800,27000,60600,62500
round_k,0,3,8,29,67,151,312
round_shots,3500,400,400,300,300,300,100
round_queries,3500,2800,6800,12300,29100,71100,56900
round_k,0,3,8,20,48,118,284
round_shots,2500,300,300,200,200,200,200
round_queries,2500,2100,5100,8200,18200,37800,80600
round_k,0,3,8,20,45,94,201
round_shots,3100,400,300,300,200,200,200
round_queries,3100,2800,5100,12300,18200,39800,94600
round_k,0,3,8,20,45,99,236
round_shots,3100,400,400,200,200,200,200
round_queries,3100,2800,6800,9800,21000,48600,100200
round_k,0,3,8,24,52,121,250
round_shots,2100,300,400,400,200,300,200
round_queries,2100,2100,6000,13200,15800,47700,91800
round_k,0,3,7,16,39,79,229
round_shots,2500,500,300,300,200,200,200
round_queries,2500,3500,5100,12300,20200,41800,97000
round_k,0,3,8,20,50,104,242
round_shots,3200,400,300,300,200,300,200
round_queries,3200,2800,5100,12300,18200,62100,105400
round_k,0,3,8,20,45,103,263
round_shots,2100,300,400,200,300,200,100
round_queries,2100,2100,6800,11400,38700,58200,63100
round_k,0,3,8,28,64,145,315
round_shots,2500,400,400,300,300,200,100
round_queries,2500,2800,6800,11700,27900,46200,53300
round_k,0,3,8,19,46,115,266
round_shots,3600,400,300,200,200,200,200
round_queries,3600,2800,5100,8200,18200,43000,92600
round_k,0,3,8,20,45,107,231
round_shots,2100,400,400,300,200,200,100
