round_k,1,4,13,41,191
round_shots,200,200,100,200,100
round_queries,200,600,900,5800,31700
round_k,1,4,14,43,158
round_shots,100,200,200,200,100
round_queries,100,600,1800,7000,45500
round_k,1,4,17,58,227
round_shots,200,200,100,200
round_queries,200,600,1100,28200
round_k,1,5,17,70
round_shots,200,200,100,100,100
round_queries,200,600,1100,3700,44100
round_k,1,5,18,70,220
round_shots,200,100,100,400,100
round_queries,200,300,900,10800,65100
round_k,1,4,13,49,325
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,49500
round_k,1,4,13,50,247
round_shots,200,200,200,300,100
round_queries,200,600,2600,17100,67100
round_k,1,6,28,86,335
round_shots,200,100,200,400,100
round_queries,200,300,1800,18000,42300
round_k,1,4,22,70,211
round_shots,200,200,200,100
round_queries,200,600,2200,22300
round_k,1,5,23,111
round_shots,200,200,200,300,100
round_queries,200,600,2200,14700,47700
round_k,1,5,24,79,238
round_shots,200,100,200,200,100
round_queries,200,300,1800,6200,43100
round_k,1,4,15,54,215
round_shots,200,300,100,100,100
round_queries,200,900,1100,3500,45300
round_k,1,5,17,52,226
round_shots,200,200,100,100
round_queries,200,600,1300,22500
round_k,1,6,21,112
round_shots,200,100,200,200
round_queries,200,300,1800,25000
round_k,1,4,17,62
round_shots,200,100,300,100
round_queries,200,300,2700,21500
round_k,1,4,13,107
round_shots,100,200,100,100
round_queries,100,600,1300,32700
round_k,1,6,22,163
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,32300
round_k,1,4,13,52,161
round_shots,200,200,100,100,100
round_queries,200,600,900,3100,35700
round_k,1,4,15,55,178
round_shots,100,100,200,100,100
round_queries,100,300,1800,3500,67300
round_k,1,4,17,66,336
round_shots,200,100,200,200
round_queries,200,300,1800,43400
round_k,1,4,16,108
round_shots,200,100,200,100,100
round_queries,200,300,1800,3300,50100
round_k,1,4,16,56,250
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,34500
round_k,1,4,14,44,172
round_shots,200,100,100,300,100
round_queries,200,300,900,9900,30300
round_k,1,4,16,50,151
round_shots,200,200,100,100
round_queries,200,600,900,17700
round_k,1,4,15,88
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,55900
round_k,1,4,13,47,279
round_shots,100,200,100,300
round_queries,100,600,1100,42300
round_k,1,5,18,70
round_shots,200,200,200,400
round_queries,200,600,1800,41200
round_k,1,4,14,51
round_shots,200,200,100,200,100
round_queries,200,600,900,6600,33900
round_k,1,4,16,56,169
round_shots,200,200,100,200,100
round_queries,200,600,1100,7400,57700
round_k,1,5,18,56,288
round_shots,100,100,200,300,100
round_queries,100,300,1800,11100,35100
round_k,1,4,18,58,175
round_shots,200,200,200,200
round_queries,200,600,2600,44200
round_k,1,6,33,110
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,28900
round_k,1,4,14,46,144
round_shots,200,200,100,200
round_queries,200,600,1100,26600
round_k,1,5,17,66
round_shots,100,200,200,300
round_queries,100,600,1800,36300
round_k,1,4,15,60
round_shots,200,200,100,200
round_queries,200,600,1300,31400
round_k,1,6,19,78
round_shots,200,200,300,200
round_queries,200,600,3900,28200
round_k,1,6,20,70
round_shots,200,200,100,200,100
round_queries,200,600,1100,7000,46700
round_k,1,5,17,68,233
round_shots,200,100,200,200
round_queries,200,300,1800,38600
round_k,1,4,23,96
round_shots,200,100,300,100
round_queries,200,300,2700,32900
round_k,1,4,17,164
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,32100
round_k,1,4,13,52,160
round_shots,100,100,200,300
round_queries,100,300,1800,36300
round_k,1,4,15,60
round_shots,100,100,200,100,100
round_queries,100,300,1800,3500,46100
round_k,1,4,17,70,230
round_shots,200,100,100,200,100
round_queries,200,300,900,6200,46900
round_k,1,4,15,50,234
round_shots,200,200,100,100
round_queries,200,600,1300,31500
round_k,1,6,22,157
round_shots,200,200,200,200,100
round_queries,200,600,2600,11800,62100
round_k,1,6,29,92,310
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,31700
round_k,1,4,13,45,158
