round_queries,100,300,1300,6100,29700,156100
round_k,0,1,6,30,148,780
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,23700,116100,602900
round_k,0,1,5,23,118,580,3014
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1100,4700,21900,109100,572300
round_k,0,1,5,23,109,545,2861
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,30100,140100,727100
round_k,0,1,6,29,150,700,3635
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5100,24100,120700,627300
round_k,0,1,6,25,120,603,3136
round_shots,300,100,100,100,100,100
round_queries,300,300,1300,6100,30900,155300
round_k,0,1,6,30,154,776
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1500,6100,30700,148300,777100
round_k,0,1,7,30,153,741,3885
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,26100,134100,690900
round_k,0,1,6,26,130,670,3454
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6100,30100,151900
round_k,0,1,6,30,150,759
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,5100,24900,151300
round_k,0,1,6,25,124,756
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5900,27300,137100,724700
round_k,0,1,6,29,136,685,3623
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,29300,149700,768500
round_k,0,1,7,31,146,748,3842
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5100,24900,126300,656500
round_k,0,1,5,25,124,631,3282
round_shots,200,200,100,100,100,100
round_queries,200,600,1700,6700,31900,168100
round_k,0,1,8,33,159,840
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,6500,32900,167700
round_k,0,1,7,32,164,838
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,29500,152100
round_k,0,1,6,31,147,760
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,25700,131700,684300
round_k,0,1,6,25,128,658,3421
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,19100,98500,507900
round_k,0,1,5,20,95,492,2539
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,21900,100300,513100
round_k,0,1,5,24,109,501,2565
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,28100,140100,722300
round_k,0,1,6,30,140,700,3611
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,6100,28900,146100,759300
round_k,0,1,6,30,144,730,3796
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24300,121300,632100
round_k,0,1,6,25,121,606,3160
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,31900,164300
round_k,0,1,6,31,159,821
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,23900,124500,647700
round_k,0,1,6,25,119,622,3238
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,4900,23700,119100,617700
round_k,0,1,6,24,118,595,3088
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5500,24900,125300,647900
round_k,0,1,5,27,124,626,3239
round_shots,100,100,100,100,100,100
round_queries,100,300,1500,6300,29300,153900
round_k,0,1,7,31,146,769
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5700,26500,136300,710300
round_k,0,1,6,28,132,681,3551
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5700,26700,134900,686500
round_k,0,1,6,28,133,674,3432
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5300,26300,137300,719700
round_k,0,1,5,26,131,686,3598
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,5100,25700,157300
round_k,0,1,6,25,128,786
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,6100,28700,145100,740700
round_k,0,1,6,30,143,725,3703
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,23100,112500,592500
round_k,0,1,5,24,115,562,2962
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,25500,125700,646900
round_k,0,1,6,26,127,628,3234
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22700,112300,581700
round_k,0,1,5,24,113,561,2908
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,29500,150100
round_k,0,1,6,31,147,750
round_shots,100,100,100,100,100,100
round_queries,100,300,1500,6100,30900,153500
round_k,0,1,7,30,154,767
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,28900,150500
round_k,0,1,6,31,144,752
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24300,125100,652100
round_k,0,1,6,25,121,625,3260
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,30700,155700
round_k,0,1,6,31,153,778
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6300,31500,161700
round_k,0,1,7,31,157,808
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,24700,126900,660700
round_k,0,1,6,25,123,634,3303
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,26700,140500,725500
round_k,0,1,6,30,133,702,3627
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5300,25700,128100,670900
round_k,0,1,6,26,128,640,3354
round_shots,200,200,100,100,100,100
round_queries,200,600,1700,7500,38300,191700
round_k,0,1,8,37,191,958
round_shots,300,100,100,100,100,100
round_queries,300,300,1300,5300,27700,140900
round_k,0,1,6,26,138,704
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,29300,146700,769500
round_k,0,1,6,30,146,733,3847
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6700,32700,163300
round_k,0,1,6,33,163,816
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,28500,141900,731900
round_k,0,1,6,31,142,709,3659
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,5100,24500,125300,646500
round_k,0,1,5,25,122,626,3232
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,25700,129900,685500
round_k,0,1,6,25,128,649,3427
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,23900,105900,544700
round_k,0,1,5,24,119,529,2723
round_shots,200,200,100,100,100,100,100
round_queries,200,600,1300,5700,26900,135100,700100
round_k,0,1,6,28,134,675,3500
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,22300,114500,587900
round_k,0,1,5,24,111,572,2939
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6100,30900,160100
round_k,0,1,6,30,154,800
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,5900,28900,152500
round_k,0,1,6,29,144,762
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5100,26100,131900,680900
round_k,0,1,6,25,130,659,3404
round_shots,100,200,100,100,100,100
round_queries,100,600,1500,7100,35500,185300
round_k,0,1,7,35,177,926
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,31700,156700
round_k,0,1,6,31,158,783
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6700,34300,179900
round_k,0,1,7,33,171,899
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,6500,29700,148100,765500
round_k,0,1,6,32,148,740,3827
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,21700,96900,491900
round_k,0,1,5,23,108,484,2459
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,29100,149900
round_k,0,1,6,31,145,749
round_shots,300,200,100,100,100,100
round_queries,300,600,1500,6300,30900,156900
round_k,0,1,7,31,154,784
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5300,26300,131100,686300
round_k,0,1,6,26,131,655,3431
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,7100,37100,185300
round_k,0,1,7,35,185,926
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6300,30900,152100
round_k,0,1,6,31,154,760
round_shots,300,200,100,100,100,100
round_queries,300,600,1500,6300,30100,155700
round_k,0,1,7,31,150,778
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,29300,146100,750100
round_k,0,1,6,30,146,730,3750
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,32500,146900,747300
round_k,0,1,6,31,162,734,3736
round_shots,300,100,100,100,100,100
