round_k,1,4,13,43,137,412,1237,3822
round_shots,614,146,127,191,163,92,11
round_queries,614,730,2413,12415,32437,58052,64251
round_k,2,9,32,99,315,964,2920
round_shots,757,152,97,99,69,74,12
round_queries,757,760,1843,5643,13041,43734,64860
round_k,2,9,28,94,295,899,2702
round_shots,794,146,100,199,92,66,8
round_queries,794,730,1900,11343,16284,35442,43624
round_k,2,9,28,88,268,823,2726
round_shots,985,173,154,108,110,70,64,4
round_queries,985,519,1386,2916,9130,18550,51392,29588
round_k,1,4,13,41,132,401,1205,3698
round_shots,1033,119,118,99,82,72,57,4
round_queries,1033,357,1062,2673,6642,18216,43947,28668
round_k,1,4,13,40,126,385,1194,3583
round_shots,425,228,101,82,95,56,10
round_queries,425,1140,2323,5986,20805,37688,61870
round_k,2,11,36,109,336,1023,3093
round_shots,919,195,113,86,70,54,10
round_queries,919,975,2147,5590,14070,32562,54430
round_k,2,9,32,100,301,904,2721
round_shots,422,217,117,79,74,57,4
round_queries,422,1085,2223,4819,13838,33117,21348
round_k,2,9,30,93,290,876,2668
round_shots,708,195,142,89,81,59,13
round_queries,708,975,2698,5251,15147,33807,68679
round_k,2,9,29,93,286,864,2641
round_shots,800,287,127,84,90,55,3
round_queries,800,1435,2921,6636,22050,40425,21291
round_k,2,11,39,122,367,1104,3548
round_shots,515,183,120,79,118,90,4
round_queries,515,915,2280,5135,23482,53730,22340
round_k,2,9,32,99,298,915,2792
round_shots,452,102,154,81,82,109,24
round_queries,452,510,2310,3807,11562,46761,93960
round_k,2,7,23,70,214,646,1957
round_shots,557,154,138,86,73,78,8
round_queries,557,770,2622,5934,16425,54366,51400
round_k,2,9,34,112,348,1060,3212
round_shots,421,270,164,118,91,67,5
round_queries,421,1350,2788,6018,15379,36515,26025
round_k,2,8,25,84,272,825,2602
round_shots,729,146,144,95,68,119,9
round_queries,729,730,2736,6175,13668,72233,51795
round_k,2,9,32,100,303,921,2877
round_shots,455,146,151,84,62,62,13
round_queries,455,730,2869,5460,12586,37758,73593
round_k,2,9,32,101,304,940,2830
round_shots,899,140,151,191,82,71,95
round_queries,899,420,1359,5157,7298,19241,240065
round_k,1,4,13,44,135,418,1263
round_shots,880,247,115,101,81,194,6
round_queries,880,1235,2645,6969,16929,122026,33966
round_k,2,11,34,104,314,943,2830
round_shots,641,242,96,120,67,67,3
round_queries,641,1210,2208,8760,15477,46431,19461
round_k,2,11,36,115,346,1063,3243
round_shots,792,185,115,100,73,62,12
round_queries,792,925,2185,6500,14381,37138,66228
round_k,2,9,32,98,299,909,2759
round_shots,435,222,138,77,71,138,10
round_queries,435,1110,2622,5313,14697,86250,61710
round_k,2,9,34,103,312,955,3085
round_shots,1000,243,112,86,89,61,3
round_queries,1000,1215,2576,6106,19313,40443,18441
round_k,2,11,35,108,331,1024,3073
round_shots,446,133,146,89,101,61,23
round_queries,446,665,2190,4183,14847,27023,95519
round_k,2,7,23,73,221,685,2076
round_shots,634,108,198,100,173,123,19
round_queries,634,540,2970,5100,26815,58425,81605
round_k,2,7,25,77,237,712,2147
round_shots,648,92,198,101,64,80,15
round_queries,648,460,2970,5151,10176,38160,66555
round_k,2,7,25,79,238,723,2218
round_shots,1003,300,105,88,70,59,3
round_queries,1003,1500,2415,6952,16870,43011,20799
round_k,2,11,39,120,364,1097,3466
round_shots,707,153,200,86,74,64,17
round_queries,707,765,3000,4386,11618,30528,75667
round_k,2,7,25,78,238,734,2225
round_shots,784,317,267,119,83,112,5
round_queries,784,1585,4539,6545,13695,61040,25605
round_k,2,8,27,82,272,841,2560
round_shots,632,229,107,112,120,83,6
round_queries,632,1145,2461,8400,28440,59677,40950
round_k,2,11,37,118,359,1107,3412
round_shots,431,138,265,111,75,63,19
round_queries,431,690,3975,5661,11625,31059,86013
round_k,2,7,25,77,246,743,2263
round_shots,459,148,97,89,82,57,12
round_queries,459,740,1843,5429,15826,35511,68940
round_k,2,9,30,96,311,955,2872
round_shots,709,193,128,137,72,66,12
round_queries,709,965,2432,8083,13608,37686,63084
round_k,2,9,29,94,285,866,2628
round_shots,638,227,109,101,111,69,3
round_queries,638,1135,2507,7171,24975,49059,19839
round_k,2,11,35,112,355,1098,3306
round_shots,757,243,104,87,122,62,3
round_queries,757,1215,2392,6525,28426,44082,21201
round_k,2,11,37,116,355,1143,3533
round_shots,595,313,105,92,71,52,3
round_queries,595,1565,2415,7268,16969,39260,20595
round_k,2,11,39,119,377,1132,3432
round_shots,571,149,106,120,108,76,8
round_queries,571,745,2014,7080,21492,45980,44088
round_k,2,9,29,99,302,918,2755
round_shots,766,228,121,84,76,55,13
round_queries,766,1140,2299,5124,13908,32065,68757
