round_k,2,9,28
round_shots,326,29
round_queries,326,725
round_k,3,12
round_shots,254,55,3
round_queries,254,275,165
round_k,2,8,27
round_shots,286,51,1
round_queries,286,357,75
round_k,3,12,37
round_shots,254,48,5
round_queries,254,240,265
round_k,2,8,26
round_shots,171,66,5
round_queries,171,330,265
round_k,2,8,26
round_shots,288,60,4
round_queries,288,300,244
round_k,2,9,30
round_shots,368,86,4
round_queries,368,430,212
round_k,2,8,26
round_shots,308,71,5
round_queries,308,355,265
round_k,2,8,26
round_shots,277,60,4
round_queries,277,300,236
round_k,2,9,29
round_shots,145,69,5
round_queries,145,345,275
round_k,2,8,27
round_shots,170,50,4
round_queries,170,250,212
round_k,2,8,26
round_shots,198,48,5
round_queries,198,240,275
round_k,2,8,27
round_shots,243,67,3
round_queries,243,335,171
round_k,2,8,28
round_shots,276,75,2
round_queries,276,525,142
round_k,3,11,35
round_shots,195,56,5
round_queries,195,280,265
round_k,2,8,26
round_shots,195,95,3
round_queries,195,475,177
round_k,2,9,29
round_shots,260,66,5
round_queries,260,330,265
round_k,2,8,26
round_shots,240,95,4
round_queries,240,475,236
round_k,2,9,29
round_shots,276,88,2
round_queries,276,616,142
round_k,3,11,35
round_shots,259,23
round_queries,259,621
round_k,3,13
round_shots,315,81,3
round_queries,315,405,183
round_k,2,9,30
round_shots,294,71,4
round_queries,294,355,212
round_k,2,8,26
round_shots,156,74,4
round_queries,156,370,236
round_k,2,9,29
round_shots,291,78,2
round_queries,291,546,142
round_k,3,11,35
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,335,60,3
round_queries,335,300,183
round_k,2,9,30
round_shots,304,58,5
round_queries,304,290,275
round_k,2,8,27
round_shots,195,67,2
round_queries,195,335,134
round_k,2,9,33
round_shots,181,67,3
round_queries,181,335,177
round_k,2,9,29
round_shots,167,48,5
round_queries,167,240,275
round_k,2,8,27
round_shots,156,73,3
round_queries,156,365,165
round_k,2,8,27
round_shots,149,51,3
round_queries,149,255,165
round_k,2,8,27
round_shots,277,35
round_queries,277,805
round_k,3,11
round_shots,294,53,4
round_queries,294,265,212
round_k,2,8,26
round_shots,337,35
round_queries,337,805
round_k,3,11
round_shots,260,66,5
round_queries,260,330,265
round_k,2,8,26
round_shots,163,71,3
round_queries,163,355,183
round_k,2,9,30
round_shots,219,84,5
round_queries,219,420,275
round_k,2,8,27
round_shots,152,64,3
round_queries,152,320,183
round_k,2,9,30
round_shots,240,88,3
round_queries,240,440,183
round_k,2,9,30
round_shots,257,88,3
round_queries,257,440,183
round_k,2,9,30
round_shots,223,81,2
round_queries,223,405,134
round_k,2,9,33
round_shots,328,68,4
round_queries,328,340,212
round_k,2,8,26
round_shots,157,83,5
round_queries,157,415,265
round_k,2,8,26
round_shots,165,60,3
round_queries,165,300,183
round_k,2,9,30
round_shots,281,69,5
round_queries,281,345,265
round_k,2,8,26
round_shots,184,52,4
round_queries,184,260,212
round_k,2,8,26
round_shots,167,99,5
round_queries,167,495,275
round_k,2,8,27
round_shots,327,29
round_queries,327,725
round_k,3,12
round_shots,247,66,5
round_queries,247,330,275
round_k,2,8,27
round_shots,335,98,4
round_queries,335,490,244
round_k,2,9,30
round_shots,361,51,3
round_queries,361,255,165
round_k,2,8,27
