round_shots,48,60,19,16,7
round_queries,48,180,209,400,371
round_k,0,1,5,12,26
round_shots,91,85,23,13
round_queries,91,255,345,507
round_k,0,1,7,19
round_shots,143,50,25,16,8
round_queries,143,150,275,368,392
round_k,0,1,5,11,24
round_shots,39,66,14,18,4
round_queries,39,198,182,486,220
round_k,0,1,6,13,27
round_shots,80,80,28,11
round_queries,80,240,420,451
round_k,0,1,7,20
round_shots,63,45,14,17,7
round_queries,63,135,154,391,343
round_k,0,1,5,11,24
round_shots,57,45,17,22,5
round_queries,57,135,187,550,305
round_k,0,1,5,12,30
round_shots,122,80,12,16
round_queries,122,240,180,560
round_k,0,1,7,17
round_shots,69,66,17,19,4
round_queries,69,198,221,513,252
round_k,0,1,6,13,31
round_shots,170,35,19,20,10
round_queries,170,105,171,420,450
round_k,0,1,4,10,22
round_shots,47,62,14,21,4
round_queries,47,186,182,567,252
round_k,0,1,6,13,31
round_shots,147,62,20,21,5
round_queries,147,186,260,567,305
round_k,0,1,6,13,30
round_shots,66,50,19,18,6
round_queries,66,150,209,414,282
round_k,0,1,5,11,23
round_shots,30,48,14,19,8
round_queries,30,144,154,437,376
round_k,0,1,5,11,23
round_shots,184,80,23,15
round_queries,184,240,345,555
round_k,0,1,7,18
round_shots,53,80,28,13
round_queries,53,240,420,507
round_k,0,1,7,19
round_shots,82,66,16,11,3
round_queries,82,198,208,297,177
round_k,0,1,6,13,29
round_shots,39,45,17,22,3
round_queries,39,135,187,550,177
round_k,0,1,5,12,29
round_shots,161,62,14,22,2
round_queries,161,186,182,594,134
round_k,0,1,6,13,33
round_shots,262,29,21,3
round_queries,262,261,525,183
round_k,0,4,12,30
round_shots,101,80,23,13
round_queries,101,240,345,507
round_k,0,1,7,19
round_shots,78,66,17,23,4
round_queries,78,198,221,621,252
round_k,0,1,6,13,31
round_shots,57,42,23,14,9
round_queries,57,126,207,322,423
round_k,0,1,4,11,23
round_shots,218,86,27,15
round_queries,218,258,351,555
round_k,0,1,6,18
round_shots,123,55,17,15,8
round_queries,123,165,187,345,376
round_k,0,1,5,11,23
round_shots,44,78,25,16
round_queries,44,234,325,560
round_k,0,1,6,17
round_shots,66,63,17,19,3
round_queries,66,189,221,513,189
round_k,0,1,6,13,31
round_shots,144,87,24,13
round_queries,144,261,360,507
round_k,0,1,7,19
round_shots,48,74,29,16
round_queries,48,222,377,560
round_k,0,1,6,17
round_shots,68,45,18,18,7
round_queries,68,135,198,414,343
round_k,0,1,5,11,24
round_shots,71,35,27,16,5
round_queries,71,105,243,368,245
round_k,0,1,4,11,24
round_shots,101,105,25,14,3
round_queries,101,315,375,490,213
round_k,0,1,7,17,35
round_shots,157,62,26,14,3
round_queries,157,186,338,490,213
round_k,0,1,6,17,35
round_shots,66,48,20,23,4
round_queries,66,144,220,621,252
round_k,0,1,5,13,31
round_shots,35,35,27,18,8
round_queries,35,105,243,414,392
round_k,0,1,4,11,24
round_shots,107,66,27,15
round_queries,107,198,351,555
round_k,0,1,6,18
round_shots,81,66,25,16
round_queries,81,198,325,560
round_k,0,1,6,17
round_shots,48,42,28,21,4
round_queries,48,126,252,567,260
round_k,0,1,4,13,32
round_shots,32,66,29,14,2
round_queries,32,198,377,490,142
round_k,0,1,6,17,35
round_shots,30,62,20,21,3
round_queries,30,186,260,567,189
round_k,0,1,6,13,31
round_shots,174,47,18,17,7
round_queries,174,141,198,391,343
round_k,0,1,5,11,24
round_shots,42,46,22,16,7
round_queries,42,138,242,368,343
round_k,0,1,5,11,24
round_shots,38,65,16,17,7
round_queries,38,195,176,391,357
round_k,0,1,5,11,25
round_shots,69,78,28,21,5
round_queries,69,234,364,567,305
round_k,0,1,6,13,30
round_shots,44,28,27,16,9
round_queries,44,84,243,368,423
round_k,0,1,4,11,23
round_shots,33,87,12,16
round_queries,33,261,180,560
round_k,0,1,7,17
round_shots,39,98,26,15
round_queries,39,294,390,555
round_k,0,1,7,18
round_shots,134,45,19,18,5
round_queries,134,135,209,414,245
round_k,0,1,5,11,24
round_shots,113,50,22,22,7
round_queries,113,150,242,550,357
round_k,0,1,5,12,25
round_shots,30,55,14,16,9
round_queries,30,165,154,368,423
round_k,0,1,5,11,23
round_shots,236,45,14,17,9
round_queries,236,135,154,391,423
round_k,0,1,5,11,23
round_shots,212,28,27,16,9
round_queries,212,84,243,368,423
round_k,0,1,4,11,23
round_shots,106,74,26,16
round_queries,106,222,338,560
round_k,0,1,6,17
round_shots,205,50,14,15,8
round_queries,205,150,154,345,376
round_k,0,1,5,11,23
round_shots,85,47,16,16,5
round_queries,85,141,176,368,245
round_k,0,1,5,11,24
round_shots,171,65,20,21,5
round_queries,171,195,220,567,305
round_k,0,1,5,13,30
round_shots,171,35,28,20,4
round_queries,171,105,252,540,252
