round_queries,228,705,1431,3915,11067,40470,80445,223805,570024,2847075,4175362,5253160
round_k,1,4,14,46,142,432,1316,3958,11962,35994,109276,328322
round_shots,201,225,159,151,128,104,97,86,152,116,55,3
round_queries,201,675,1431,4379,12672,31304,88173,235210,1250808,2884108,4205685,2072943
round_k,1,4,14,49,150,454,1367,4114,12431,38233,114994,345490
round_shots,322,175,124,177,111,161,156,125,99,64,53,6
round_queries,322,525,1116,4779,8991,39123,114348,326875,801207,1588928,3981731,4142058
round_k,1,4,13,40,121,366,1307,4046,12413,37563,113594,345171
round_shots,303,194,136,229,108,113,96,88,71,63,53,3
round_queries,303,582,1224,6183,8964,28137,75744,214808,520927,1387449,3521161,1802469
round_k,1,4,13,41,124,394,1220,3668,11011,33218,99744,300411
round_shots,260,180,207,284,150,101,88,89,78,102,68,5
round_queries,260,540,1863,8236,13350,26967,70488,213867,568386,2255322,4609380,3119215
round_k,1,4,14,44,133,400,1201,3643,11055,33892,101921,311921
round_shots,187,212,224,156,204,134,105,80,76,76,61,5
round_queries,187,636,2016,4524,17748,35510,83895,195600,557460,1681196,4065833,3016185
round_k,1,4,14,43,132,399,1222,3667,11060,33326,100412,301618
round_shots,214,137,176,248,172,114,93,82,153,79,58,7
round_queries,214,411,1584,6696,14276,35226,86397,233126,1313505,2066245,4559322,5008045
round_k,1,4,13,41,154,464,1421,4292,13077,39304,118369,357717
round_shots,234,153,196,165,171,119,101,92,72,71,70,7
round_queries,234,459,1764,4455,14193,30107,82921,226780,532728,1583371,4738930,4452987
round_k,1,4,13,41,126,410,1232,3699,11150,33849,104365,318070
round_shots,234,195,184,190,140,159,90,83,84,74,52,4
round_queries,234,585,1656,5510,13580,51993,88650,246759,759108,2043510,4320108,3067668
round_k,1,4,14,48,163,492,1486,4518,13807,41539,125715,383458
round_shots,297,134,124,126,113,143,102,92,78,120,63,12
round_queries,297,402,1116,3402,9153,34749,76602,207460,530634,2528040,3998169,6963996
round_k,1,4,13,40,121,375,1127,3401,10533,31731,95792,290166
round_shots,194,134,317,191,168,185,101,95,119,63,41
round_queries,194,402,2853,5539,17304,60125,102919,294595,1120861,1832355,10844705
round_k,1,4,14,51,162,509,1550,4709,14542,43664,132252
round_shots,208,145,170,164,124,111,123,124,177,209,92,3
round_queries,208,435,1530,4428,10292,29637,103689,318556,1408035,4996563,7059068,2119623
round_k,1,4,13,41,133,421,1284,3977,11953,38364,117022,353270
round_shots,285,178,201,178,126,109,139,98,71,133,66,3
round_queries,285,534,1809,5162,13230,35861,138305,295274,643331,3622255,5430810,2263251
round_k,1,4,14,52,164,497,1506,4530,13617,41142,123427,377208
round_shots,208,158,183,156,135,98,122,108,80,76,57,7
round_queries,208,474,1647,4212,10935,23814,88938,240084,543920,1644108,3774939,4428921
round_k,1,4,13,40,121,364,1111,3399,10816,33113,102795,316351
round_shots,221,145,187,170,235,134,109,149,79,61,53,3
round_queries,221,435,1683,4930,21385,40602,100825,417647,678531,1580449,4136067,2139351
round_k,1,4,14,45,151,462,1401,4294,12954,39019,117401,356558
round_shots,234,169,174,172,164,121,117,87,270,147,96,3
round_queries,234,507,1566,4988,14924,34969,102609,228897,2158110,3804801,7606752,2207235
round_k,1,4,14,45,144,438,1315,3996,12941,39618,120552,367872
round_shots,221,136,254,211,173,110,116,80,106,65,58,3
round_queries,221,408,2286,5697,14705,31130,102196,214160,851286,1566045,4222110,1992951
round_k,1,4,13,42,141,440,1338,4015,12046,36397,109221,332158
round_shots,260,267,159,202,166,116,97,80,122,74,58,3
