round_queries,80,235,270,561,268
round_k,0,2,7,16,33
round_shots,80,55,23,20,6
round_queries,80,275,299,540,330
round_k,0,2,6,13,27
round_shots,103,48,21,21,9
round_queries,103,144,189,399,423
round_k,0,1,4,9,23
round_shots,54,28,30,17,9
round_queries,54,84,270,391,423
round_k,0,1,4,11,23
round_shots,129,23,23,21,4
round_queries,129,115,299,609,268
round_k,0,2,6,14,33
round_shots,91,31,18,21,5
round_queries,91,155,234,567,305
round_k,0,2,6,13,30
round_shots,80,51,22,9
round_queries,80,255,418,423
round_k,0,2,9,23
round_shots,80,47,25,18,3
round_queries,80,235,375,558,219
round_k,0,2,7,15,36
round_shots,114,28,22,24,8
round_queries,114,84,198,456,376
round_k,0,1,4,9,23
round_shots,126,48,25,9
round_queries,126,240,475,423
round_k,0,2,9,23
round_shots,98,42,15,22,11
round_queries,98,126,135,418,473
round_k,0,1,4,9,21
round_shots,95,17,18,15,8
round_queries,95,85,198,345,376
round_k,0,2,5,11,23
round_shots,139,41,26,8
round_queries,139,205,390,328
round_k,0,2,7,20
round_shots,85,33,22,15
round_queries,85,165,330,555
round_k,0,2,7,18
round_shots,80,37,13,17,3
round_queries,80,185,169,493,195
round_k,0,2,6,14,32
round_shots,98,21,18,21,6
round_queries,98,105,198,483,330
round_k,0,2,5,11,27
round_shots,93,45,22,15
round_queries,93,225,330,555
round_k,0,2,7,18
round_shots,86,58,17,10
round_queries,86,290,323,430
round_k,0,2,9,21
round_shots,80,30,18,18
round_queries,80,150,270,594
round_k,0,2,7,16
round_shots,60,28,15,15,13
round_queries,60,84,135,285,507
round_k,0,1,4,9,19
round_shots,84,25,23,21,4
round_queries,84,125,299,609,268
round_k,0,2,6,14,33
round_shots,102,23,18,13,2
round_queries,102,115,234,377,138
round_k,0,2,6,14,34
round_shots,140,32,18,18
round_queries,140,160,270,594
round_k,0,2,7,16
round_shots,116,18,20,20,3
round_queries,116,90,220,500,177
round_k,0,2,5,12,29
round_shots,160,53,26,15
round_queries,160,265,338,525
round_k,0,2,6,17
round_shots,105,48,24,15
round_queries,105,240,360,525
round_k,0,2,7,17
round_shots,99,50,23,18
round_queries,99,250,299,594
round_k,0,2,6,16
round_shots,144,20,19,23,9
round_queries,144,60,171,437,423
round_k,0,1,4,9,23
round_shots,80,45,25,18
round_queries,80,225,375,594
round_k,0,2,7,16
round_shots,54,28,19,19,12
round_queries,54,84,171,361,492
round_k,0,1,4,9,20
round_shots,93,23,16,17,5
round_queries,93,115,208,459,305
round_k,0,2,6,13,30
round_shots,80,30,22,17,2
round_queries,80,150,330,561,134
round_k,0,2,7,16,33
round_shots,87,44,17,21,3
round_queries,87,220,221,567,195
round_k,0,2,6,13,32
round_shots,86,35,13,15,5
round_queries,86,175,169,435,305
round_k,0,2,6,14,30
round_shots,60,35,19,24,5
round_queries,60,105,171,456,255
round_k,0,1,4,9,25
round_shots,112,48,18,17,4
round_queries,112,240,234,493,260
round_k,0,2,6,14,32
round_shots,71,35,15,21,8
round_queries,71,105,135,399,376
round_k,0,1,4,9,23
round_shots,105,30,21,15,2
round_queries,105,150,315,495,138
round_k,0,2,7,16,34
round_shots,102,31,18,20,4
round_queries,102,155,234,540,260
round_k,0,2,6,13,32
round_shots,80,38,18,17,4
round_queries,80,190,234,459,220
round_k,0,2,6,13,27
round_shots,86,58,23,9
round_queries,86,290,437,423
round_k,0,2,9,23
round_shots,94,42,26,11
round_queries,94,210,390,451
round_k,0,2,7,20
round_shots,150,48,24,7
round_queries,150,240,456,357
round_k,0,2,9,25
round_shots,109,20,21,21,8
round_queries,109,60,189,399,376
round_k,0,1,4,9,23
round_shots,149,23,16,18,6
round_queries,149,115,208,486,342
round_k,0,2,6,13,28
round_shots,97,48,18,13,3
round_queries,97,240,270,403,195
round_k,0,2,7,15,32
round_shots,87,41,22,15
round_queries,87,205,330,555
round_k,0,2,7,18
round_shots,132,24,18,17,4
round_queries,132,120,234,493,260
round_k,0,2,6,14,32
round_shots,113,28,13,18,4
round_queries,113,140,169,522,260
round_k,0,2,6,14,32
round_shots,87,52,19,12
round_queries,87,260,361,492
round_k,0,2,9,20
round_shots,35,20,23,14,6
round_queries,35,60,207,294,270
round_k,0,1,4,10,22
round_shots,71,28,26,19,6
round_queries,71,84,234,437,330
round_k,0,1,4,11,27
round_shots,105,28,26,17,3
round_queries,105,140,338,561,207
round_k,0,2,6,16,34
round_shots,28,28,21,18,7
round_queries,28,84,189,414,357
round_k,0,1,4,11,25
round_shots,80,29,18,15,9
round_queries,80,145,198,345,423
round_k,0,2,5,11,23
round_shots,129,28,15,18,10
round_queries,129,84,135,342,430
round_k,0,1,4,9,21
round_shots,80,26,19,17,6
round_queries,80,130,247,459,330
round_k,0,2,6,13,27
round_shots,109,55,27,17,5
round_queries,109,275,351,459,305
round_k,0,2,6,13,30
round_shots,139,42,18,11
round_queries,139,210,270,385
round_k,0,2,7,17
round_shots,85,35,23,18
round_queries,85,175,299,594
round_k,0,2,6,16
round_shots,100,48,21,11
round_queries,100,240,399,473
round_k,0,2,9,21
round_shots,87,44,25,15
round_queries,87,220,375,555
round_k,0,2,7,18
round_shots,108,23,20,17,5
round_queries,108,115,260,459,305
round_k,0,2,6,13,30
round_shots,107,23,18,18,2
round_queries,107,115,234,558,146
round_k,0,2,6,15,36
round_shots,84,33,22,14
round_queries,84,165,330,518
round_k,0,2,7,18
round_shots,102,38,18,18
round_queries,102,190,270,594
round_k,0,2,7,16
round_shots,20,42,21,15,8
round_queries,20,126,189,345,376
round_k,0,1,4,11,23
round_shots,87,28,21,15,12
round_queries,87,84,189,285,468
round_k,0,1,4,9,19
round_shots,140,30,23,14
round_queries,140,150,345,518
round_k,0,2,7,18
round_shots,82,42,19,19,9
round_queries,82,126,171,361,405
round_k,0,1,4,9,22
round_shots,98,20,25,19,6
round_queries,98,60,225,437,282
round_k,0,1,4,11,23
round_shots,167,48,17,12
round_queries,167,240,323,492
round_k,0,2,9,20
round_shots,71,20,15,19,12
round_queries,71,60,135,361,492
round_k,0,1,4,9,20
round_shots,95,23,16,15,4
round_queries,95,115,208,405,220
round_k,0,2,6,13,27
round_shots,94,28,17,12,4
round_queries,94,140,221,324,228
round_k,0,2,6,13,28
round_shots,136,30,18,17,2
round_queries,136,150,270,561,142
round_k,0,2,7,16,35
round_shots,87,24,17,15,4
round_queries,87,120,221,405,220
round_k,0,2,6,13,27
round_shots,139,20,16,22,12
round_queries,139,60,144,418,492
round_k,0,1,4,9,20
round_shots,138,26,13,13,3
round_queries,138,130,169,377,207
round_k,0,2,6,14,34
round_shots,93,48,23,15,2
round_queries,93,240,299,495,138
round_k,0,2,6,16,34
round_shots,84,25,29,18
round_queries,84,125,377,594
round_k,0,2,6,16
round_shots,116,30,16,13,6
round_queries,116,150,208,351,330
round_k,0,2,6,13,27
round_shots,117,44,16,17,3
round_queries,117,220,208,459,177
round_k,0,2,6,13,29
round_shots,87,55,23,9
round_queries,87,275,437,423
round_k,0,2,9,23
round_shots,105,57,27,17,6
round_queries,105,285,351,459,330
round_k,0,2,6,13,27
round_shots,80,55,18,13,3
round_queries,80,275,234,403,189
round_k,0,2,6,15,31
round_shots,126,35,28,20,3
round_queries,126,175,364,540,195
round_k,0,2,6,13,32
round_shots,20,20,25,15,9
round_queries,20,60,225,345,423
round_k,0,1,4,11,23
round_shots,101,23,13,15,3
round_queries,101,115,169,435,183
round_k,0,2,6,14,30
round_shots,109,23,17,17,3
round_queries,109,115,221,459,183
round_k,0,2,6,13,30
round_shots,120,42,26,15,4
round_queries,120,210,338,405,220
round_k,0,2,6,13,27
round_shots,112,37,24,17,4
round_queries,112,185,312,459,220
round_k,0,2,6,13,27
round_shots,105,17,23,15,5
round_queries,105,85,253,435,305
round_k,0,2,5,14,30
round_shots,102,44,16,18,4
round_queries,102,220,208,486,228
round_k,0,2,6,13,28
round_shots,87,48,26,9
round_queries,87,240,390,351
round_k,0,2,7,19
round_shots,103,42,17,19,12
round_queries,103,126,153,361,492
round_k,0,1,4,9,20
round_shots,95,22,18,19,8
round_queries,95,110,198,437,376
round_k,0,2,5,11,23
round_shots,109,23,26,16,3
round_queries,109,115,338,528,219
round_k,0,2,6,16,36
round_shots,136,52,21,9
round_queries,136,260,399,423
round_k,0,2,9,23
round_shots,119,20,15,17,11
round_queries,119,60,135,323,473
round_k,0,1,4,9,21
round_shots,130,26,22,18
round_queries,130,130,286,594
round_k,0,2,6,16
round_shots,126,50,18,18,2
round_queries,126,250,234,558,138
round_k,0,2,6,15,34
round_shots,98,30,21,18
round_queries,98,150,315,594
round_k,0,2,7,16
round_shots,80,23,27,17,5
round_queries,80,115,351,459,305
round_k,0,2,6,13,30
round_shots,114,20,15,24,7
round_queries,114,60,135,456,357
round_k,0,1,4,9,25
round_shots,134,49,21,8
round_queries,134,245,399,376
round_k,0,2,9,23
round_shots,86,46,20,12,4
round_queries,86,230,260,324,228
round_k,0,2,6,13,28
round_shots,80,55,23,23,2
round_queries,80,275,299,667,142
round_k,0,2,6,14,35
round_shots,139,42,23,20,6
round_queries,139,126,207,460,282
round_k,0,1,4,11,23
round_shots,103,20,15,24,9
round_queries,103,60,135,456,423
round_k,0,1,4,9,23
round_shots,102,40,17,18,3
round_queries,102,200,221,486,189
round_k,0,2,6,13,31
round_shots,77,20,21,26,7
round_queries,77,60,189,494,357
round_k,0,1,4,9,25
round_shots,87,47,27,13
round_queries,87,235,405,507
round_k,0,2,7,19
round_shots,140,17,18,22,5
round_queries,140,85,198,550,305
round_k,0,2,5,12,30
round_shots,123,30,24,15
round_queries,123,150,360,555
round_k,0,2,7,18
round_shots,84,53,17,18,3
round_queries,84,265,221,486,189
round_k,0,2,6,13,31
round_shots,149,77,38,16,3
round_queries,149,231,342,496,189
round_k,0,1,4,15,31
round_shots,28,28,25,15,9
round_queries,28,84,225,345,423
round_k,0,1,4,11,23
round_shots,129,48,17,20,3
round_queries,129,240,221,540,195
round_k,0,2,6,13,32
round_shots,87,35,15,19,11
round_queries,87,105,135,361,451
round_k,0,1,4,9,20
round_shots,98,36,25,14
round_queries,98,180,375,518
round_k,0,2,7,18
round_shots,82,48,15,17,11
round_queries,82,144,135,323,473
round_k,0,1,4,9,21
round_shots,42,20,18,21,9
round_queries,42,60,162,399,423
round_k,0,1,4,9,23
round_shots,95,26,18,13,6
round_queries,95,130,234,351,330
round_k,0,2,6,13,27
round_shots,85,23,20,13,4
round_queries,85,115,260,351,220
round_k,0,2,6,13,27
round_shots,158,36,22,14
round_queries,158,180,330,518
round_k,0,2,7,18
round_shots,177,28,16,17,6
round_queries,177,140,208,459,330
round_k,0,2,6,13,27
round_shots,84,35,21,18
round_queries,84,175,315,594
round_k,0,2,7,16
round_shots,87,44,22,18
round_queries,87,220,286,594
round_k,0,2,6,16
round_shots,107,23,20,13,6
round_queries,107,115,260,351,330
round_k,0,2,6,13,27
round_shots,157,40,26,20,3
round_queries,157,200,338,540,195
round_k,0,2,6,13,32
round_shots,91,29,26,16,7
round_queries,91,145,286,368,357
round_k,0,2,5,11,25
round_shots,60,42,17,17,12
round_queries,60,126,153,323,492
round_k,0,1,4,9,20
round_shots,91,25,19,17,3
round_queries,91,125,247,459,183
round_k,0,2,6,13,30
round_shots,154,28,19,18,12
round_queries,154,84,171,342,492
round_k,0,1,4,9,20
round_shots,84,35,17,20,3
round_queries,84,175,221,540,195
round_k,0,2,6,13,32
round_shots,84,28,26,18
round_queries,84,140,338,594
round_k,0,2,6,16
round_shots,102,17,26,17,9
round_queries,102,85,286,391,423
round_k,0,2,5,11,23
round_shots,122,33,18,18
round_queries,122,165,270,594
round_k,0,2,7,16
round_shots,87,23,16,17,6
round_queries,87,115,208,459,330
round_k,0,2,6,13,27
round_shots,87,26,18,15,8
round_queries,87,130,198,345,376
round_k,0,2,5,11,23
round_shots,93,26,23,19,3
round_queries,93,130,253,551,195
round_k,0,2,5,14,32
round_shots,84,52,24,7
round_queries,84,260,456,357
round_k,0,2,9,25
round_shots,132,39,20,16,3
round_queries,132,195,300,528,207
round_k,0,2,7,16,34
round_shots,97,33,23,17,5
round_queries,97,165,253,493,305
round_k,0,2,5,14,30
round_shots,94,28,17,21,3
round_queries,94,140,221,567,183
round_k,0,2,6,13,30
round_shots,80,33,22,14
round_queries,80,165,330,518
round_k,0,2,7,18
round_shots,112,36,28,15,3
round_queries,112,180,420,495,207
round_k,0,2,7,16,34
round_shots,109,23,17,20,4
round_queries,109,115,221,540,260
round_k,0,2,6,13,32
round_shots,126,25,16,21,3
round_queries,126,125,208,567,183
round_k,0,2,6,13,30
round_shots,80,40,22,18
round_queries,80,200,286,594
round_k,0,2,6,16
round_shots,140,40,16,20,4
round_queries,140,200,208,540,260
round_k,0,2,6,13,32
round_shots,28,48,15,17,12
round_queries,28,144,135,323,492
round_k,0,1,4,9,20
round_shots,119,30,18,18
round_queries,119,150,270,594
round_k,0,2,7,16
round_shots,84,48,19,17,5
round_queries,84,240,247,459,305
round_k,0,2,6,13,30
round_shots,80,52,19,8
round_queries,80,260,361,328
round_k,0,2,9,20
round_shots,113,31,25,21,3
round_queries,113,155,325,567,183
