round_shots,135,279,57,56,18
round_queries,135,837,513,1624,5634
round_k,1,4,14,50,156
round_shots,137,364,58,28
round_queries,137,1092,1334,7196
round_k,1,11,39,128
round_shots,137,409,60,36,1
round_queries,137,1227,1380,2916,741
round_k,1,11,40,123,370
round_shots,110,215,39,45,28
round_queries,110,645,351,1215,7140
round_k,1,4,13,42,127
round_shots,92,364,54,38,2
round_queries,92,1092,1242,2926,1410
round_k,1,11,38,117,352
round_shots,70,426,42,40,2
round_queries,70,1278,1050,3000,1426
round_k,1,12,37,117,356
round_shots,129,279,71,55,16
round_queries,129,837,639,1705,5232
round_k,1,4,15,53,163
round_shots,102,302,55,38,2
round_queries,102,906,1155,2622,1266
round_k,1,10,34,103,316
round_shots,69,473,55,44,25
round_queries,69,1419,495,1188,6625
round_k,1,4,13,40,132
round_shots,209,167,59,40,9
round_queries,209,501,885,1800,3771
round_k,1,7,22,67,209
round_shots,67,398,49,31
round_queries,67,1194,1127,7471
round_k,1,11,36,120
round_shots,269,365,45,44,2
round_queries,269,1095,1035,3036,1394
round_k,1,11,34,113,348
round_shots,122,314,60,37,2
round_queries,122,942,1260,2775,1406
round_k,1,10,37,115,351
round_shots,67,475,57,25
round_queries,67,1425,1425,6675
round_k,1,12,43,133
round_shots,165,453,48,41,1
round_queries,165,1359,1200,3075,755
round_k,1,12,37,118,377
round_shots,104,468,57,57,19
round_queries,104,1404,513,1653,5757
round_k,1,4,14,48,151
round_shots,92,183,66,50,18
round_queries,92,549,594,1550,5562
round_k,1,4,15,50,154
round_shots,80,484,45,42,1
round_queries,80,1452,1125,3150,773
round_k,1,12,37,121,386
round_shots,161,429,72,21
round_queries,161,1287,1800,6153
round_k,1,12,46,146
round_shots,75,299,63,38,3
round_queries,75,897,1323,2850,2055
round_k,1,10,37,112,342
round_shots,89,158,57,56,19
round_queries,89,474,513,1624,5795
round_k,1,4,14,49,152
round_shots,185,239,39,54,29
round_queries,185,717,351,1458,7221
round_k,1,4,13,40,124
round_shots,96,367,56,38,2
round_queries,96,1101,1176,2698,1358
round_k,1,10,35,109,339
round_shots,187,401,39,62,20
round_queries,187,1203,351,1674,5940
round_k,1,4,13,49,148
round_shots,69,428,47,41,1
round_queries,69,1284,1175,3157,757
round_k,1,12,38,123,378
round_shots,123,299,47,44,2
round_queries,123,897,987,2860,1282
round_k,1,10,32,105,320
round_shots,104,356,67,36,1
round_queries,104,1068,1407,2844,747
round_k,1,10,39,120,373
round_shots,73,309,70,42,2
round_queries,73,927,1330,2982,1406
round_k,1,9,35,115,351
round_shots,119,329,30,60,19
round_queries,119,987,270,1620,5757
round_k,1,4,13,48,151
round_shots,105,329,79,25
round_queries,105,987,1659,6725
round_k,1,10,42,134
round_shots,107,473,39,56,20
round_queries,107,1419,351,1512,5980
round_k,1,4,13,46,149
round_shots,96,317,53,42,2
round_queries,96,951,1113,2898,1350
round_k,1,10,34,112,337
round_shots,73,305,63,35,2
round_queries,73,915,1323,2625,1394
round_k,1,10,37,113,348
round_shots,76,364,45,23,2
round_queries,76,1092,1035,1587,1282
round_k,1,11,34,103,320
round_shots,64,301,30,59,22
round_queries,64,903,270,1593,6270
round_k,1,4,13,46,142
round_shots,70,278,55,64,19
round_queries,70,834,495,1728,5795
round_k,1,4,13,48,152
round_shots,132,317,71,26
round_queries,132,951,1491,6786
round_k,1,10,39,130
round_shots,62,465,47,63,20
round_queries,62,1395,423,1701,5980
round_k,1,4,13,49,149
round_shots,144,415,44,39,3
round_queries,144,1245,1012,2769,2061
round_k,1,11,35,111,343
round_shots,126,387,57,42,1
round_queries,126,1161,1311,3234,755
round_k,1,11,38,123,377
round_shots,105,284,65,34,2
round_queries,105,852,1235,2346,1262
round_k,1,9,34,103,315
round_shots,141,272,44,45,4
round_queries,141,816,836,2565,2356
round_k,1,9,28,95,294
round_shots,87,445,62,21
round_queries,87,1335,1550,6069
round_k,1,12,45,144
round_shots,135,312,66,47,17
round_queries,135,936,594,1457,5389
round_k,1,4,15,49,158
round_shots,72,398,58,36,2
round_queries,72,1194,1334,2772,1446
round_k,1,11,38,117,361
round_shots,138,90,55,60,20
round_queries,138,270,495,1620,5900
round_k,1,4,13,48,147
round_shots,99,308,79,25
round_queries,99,924,1659,6675
round_k,1,10,42,133
round_shots,110,336,30,40,39,1
round_queries,110,1008,270,1080,3159,747
round_k,1,4,13,40,122,373
round_shots,70,438,47,40,25
round_queries,70,1314,423,1080,6675
round_k,1,4,13,40,133
round_shots,62,381,44,39,2
round_queries,62,1143,1012,2769,1354
round_k,1,11,35,111,338
round_shots,196,302,53,34,2
round_queries,196,906,1113,2346,1250
round_k,1,10,34,103,312
round_shots,62,452,39,62,19
round_queries,62,1356,351,1674,5795
round_k,1,4,13,49,152
round_shots,101,255,65,47,3
round_queries,101,765,1235,2679,1683
round_k,1,9,28,93,280
round_shots,129,202,39,66,18
round_queries,129,606,351,1782,5562
round_k,1,4,13,49,154
round_shots,96,366,30,64,19
round_queries,96,1098,270,1728,5833
round_k,1,4,13,49,153
round_shots,86,451,44,34,2
round_queries,86,1353,1100,2618,1386
round_k,1,12,38,115,346
round_shots,62,409,57,55,18
round_queries,62,1227,513,1595,5562
round_k,1,4,14,49,154
round_shots,120,299,65,42,2
round_queries,120,897,1365,3150,1434
round_k,1,10,37,118,358
round_shots,67,147,47,56,20
round_queries,67,441,423,1512,5900
round_k,1,4,13,46,147
round_shots,73,421,63,27
round_queries,73,1263,1449,7047
round_k,1,11,41,130
round_shots,146,364,65,37,2
round_queries,146,1092,1495,2553,1270
