round_shots,88,491,149,44
round_queries,88,1473,3129,11484
round_k,1,10,39,130
round_shots,91,662,64,62,10
round_queries,91,1986,1472,4278,6410
round_k,1,11,34,106,320
round_shots,167,561,77,69,7
round_queries,167,1683,1771,5175,4963
round_k,1,11,37,117,354
round_shots,124,580,73,102,5
round_queries,124,1740,1679,7038,3495
round_k,1,11,34,111,349
round_shots,129,583,70,57,3
round_queries,129,1749,1610,3933,1941
round_k,1,11,34,105,323
round_shots,113,639,107,41
round_queries,113,1917,2675,11439
round_k,1,12,44,139
round_shots,113,495,118,77,49
round_queries,113,1485,1062,2079,13965
round_k,1,4,13,43,142
round_shots,194,536,125,96,50
round_queries,194,1608,1125,2592,12850
round_k,1,4,13,40,128
round_shots,266,599,131,91
round_queries,266,1797,2751,22659
round_k,1,10,38,124
round_shots,161,482,134,62,3
round_queries,161,1446,2814,4774,2079
round_k,1,10,38,115,346
round_shots,172,607,131,103,30
round_queries,172,1821,1179,2781,9510
round_k,1,4,13,50,158
round_shots,96,566,95,117,4
round_queries,96,1698,2185,9009,2916
round_k,1,11,38,118,364
round_shots,167,597,112,67,40
round_queries,167,1791,1008,1809,10920
round_k,1,4,13,41,136
round_shots,90,661,99,41
round_queries,90,1983,2475,11767
round_k,1,12,46,143
round_shots,209,592,118,71
round_queries,209,1776,2714,18815
round_k,1,11,41,132
round_shots,159,535,124,59,9
round_queries,159,1605,2604,4425,6273
round_k,1,10,37,112,348
round_shots,179,738,78,70
round_queries,179,2214,1950,17430
round_k,1,12,39,124
round_shots,130,595,112,64,50
round_queries,130,1785,1008,1728,13050
round_k,1,4,13,41,130
round_shots,233,325,98,98,77
round_queries,233,975,882,2646,23331
round_k,1,4,13,50,151
round_shots,277,556,113,79,6
round_queries,277,1668,2373,5925,4422
round_k,1,10,37,119,368
round_shots,115,218,112,69,92
round_queries,115,654,1008,1863,25484
round_k,1,4,13,42,138
round_shots,191,586,100,61
round_queries,191,1758,2300,15433
round_k,1,11,39,126
round_shots,88,569,84,109,3
