round_queries,1000,2000,7600,18200,69000,136700,881800,1739900,22965900
round_k,2,9,45,172,683,2204,8699,30637,114829
round_shots,900,400,300,200,200,200,100,100,100,100
round_queries,900,2000,5700,11800,36200,122600,214300,702500,2493300,40021300
round_k,2,9,29,90,306,1071,3512,12466,46294,200106
round_shots,1200,400,300,200,200,200,100,100,100,100
round_queries,1200,2000,5100,10600,39400,131400,256500,862500,3118900,47256300
round_k,2,8,26,98,328,1282,4312,15594,61829,236281
round_shots,1000,500,500,200,200,200,100,100,100,100
round_queries,1000,2500,8500,13400,53400,204600,365500,1220100,4387300,71739700
round_k,2,8,33,133,511,1827,6100,21936,83675,358698
round_shots,1400,500,300,200,200,200,200,100,100,100
round_queries,1400,2500,5700,12200,37400,151800,610200,965900,3514300,53484900
round_k,2,9,30,93,379,1525,4829,17571,60119,267424
round_shots,1200,500,400,300,400,200,300,100,200,100
round_queries,1200,2500,7600,17700,71600,129800,817500,954300,5922200,39874900
round_k,2,9,29,89,324,1362,4771,14805,64833,199374
round_shots,1100,500,300,200,200,200,100,200,100
round_queries,1100,3500,6900,17800,61800,253000,524700,3666600,28887500
round_k,3,11,44,154,632,2623,9166,35006,144437
round_shots,1000,500,300,200,100,200,200,100,100,100
round_queries,1000,2500,5100,10600,19700,118200,483400,1080500,3807900,66470900
round_k,2,8,26,98,295,1208,5402,19039,74850,332354
round_shots,600,200,200,200,200,100,100,100,100,100
round_queries,600,1000,3400,10600,42200,87900,278900,924700,3274700,58198100
round_k,2,8,26,105,439,1394,4623,16373,65347,290990
round_shots,900,400,300,200,200,100,100,100,100
round_queries,900,2000,5700,17400,61800,123300,387900,1325900,19251700
round_k,2,9,43,154,616,1939,6629,23621,96258
round_shots,1200,500,200,200,200,100,100,100,100,100
round_queries,1200,2500,3800,12200,39400,84900,265300,877300,3102700,36568100
round_k,2,9,30,98,424,1326,4386,15513,47567,182840
round_shots,1100,400,400,300,200,300,100,100,100,100
round_queries,1100,2000,7600,18300,48200,258900,366300,1134900,4072900,41974300
round_k,2,9,30,120,431,1831,5674,20364,62085,209871
round_shots,1000,500,200,200,200,100,100,100,100,100
round_queries,1000,2500,3400,10600,42600,84500,263500,794300,2851500,49113100
round_k,2,8,26,106,422,1317,3971,14257,56412,245565
round_shots,900,400,300,300,200,200,100,100,100,100
round_queries,900,2000,5100,15900,35800,120200,273100,931100,2800700,40095900
round_k,2,8,26,89,300,1365,4655,14003,46170,200479
round_shots,1300,500,300,200,200,200,100,100,100,100
round_queries,1300,2500,5700,12200,39800,161800,349100,1176500,4171700,68094900
round_k,2,9,30,99,404,1745,5882,20858,74463,340474
round_shots,1400,500,200,200,200,200,200,100,100
round_queries,1400,2500,3800,12200,37000,147800,620200,1391100,20350100
round_k,2,9,30,92,369,1550,6955,25309,101750
round_shots,700,600,200,300,200,200,200,100,100,100
round_queries,700,3000,3800,18300,44600,144200,549400,1165300,4292500,76921500
round_k,2,9,30,111,360,1373,5826,21462,87542,384607
round_shots,1000,600,300,200,200,300,100,100,100,100
round_queries,1000,3000,5700,13000,43000,234900,299500,940500,3434300,57964500
round_k,2,9,32,107,391,1497,4702,17171,68778,289822
round_shots,1400,400,300,600,200,200,100,100,100
round_queries,1400,2000,5700,39000,60600,189400,356300,1202900,18361100
round_k,2,9,32,151,473,1781,6014,22430,91805
round_shots,1400,500,400,200,200,200,100,100,200,100
round_queries,1400,2500,6800,11000,38600,126200,190300,603900,4227800,23517300
round_k,2,8,27,96,315,951,3019,10569,31708,117586
round_shots,1000,500,400,200,200,200,100,100,200,100
round_queries,1000,2500,7600,15800,57800,185000,277500,938500,6807400,67080100
round_k,2,9,39,144,462,1387,4692,17018,75418,335400
round_shots,1400,400,200,200,200,100,200,200,100,100
round_queries,1400,2800,5800,17800,57400,102500,617400,2178600,4542700,67087100
round_k,3,14,44,143,512,1543,5446,22713,79269,335435
round_shots,700,600,400,200,200,200,200,100,100,100
round_queries,700,3000,7600,15400,53400,208200,707000,1333700,4026900,58227100
round_k,2,9,38,133,520,1767,6668,20134,78809,291135
round_shots,1200,300,300,300,300,200,200,100,100,100
round_queries,1200,1500,5100,16500,50100,119000,436200,1033500,3709100,57177500
round_k,2,8,27,83,297,1090,5167,18545,64527,285887
round_shots,1000,500,300,300,200,200,200,100,100,100
round_queries,1000,2500,5100,16500,38200,148600,559000,1160900,3638900,57823500
round_k,2,8,27,95,371,1397,5804,18194,66858,289117
round_shots,900,400,300,200,200,100,100,100,200
round_queries,900,2000,6900,19800,72200,156100,497300,1712500,55037800
round_k,2,11,49,180,780,2486,8562,32625,137594
round_shots,1400,400,400,300,200,200,200,200,200,100
round_queries,1400,2000,7600,20100,51400,175000,560200,1918600,7862600,50197100
round_k,2,9,33,128,437,1400,4796,19656,60942,250985
round_shots,1200,400,200,200,200,200,100,100,100
round_queries,1200,2000,3800,13400,47800,203400,450700,1492500,20260900
round_k,2,9,33,119,508,2253,7462,27994,101304
round_shots,700,400,200,200,200,100,100,100,100,100
round_queries,700,2000,3800,13400,53400,111500,350300,1182900,4301500,67274900
round_k,2,9,33,133,557,1751,5914,21507,84058,336374
round_shots,1300,500,400,200,100,200,200,200,100
round_queries,1300,2500,6800,12200,22900,137400,487800,2158200,19448900
round_k,2,8,30,114,343,1219,5395,23631,97244
round_shots,1400,500,300,200,200,200,100,100,100
round_queries,1400,3500,7500,15800,49000,197400,436100,1510100,22914300
round_k,3,12,39,122,493,2180,7550,26780,114571
round_shots,700,600,300,200,200,200,100,100,100,100
round_queries,700,3000,5700,11800,37000,139000,305500,1029500,3486500,61640700
round_k,2,9,29,92,347,1527,5147,17432,68904,308203
round_shots,900,300,300,300,200,200,200,100,100
round_queries,900,1500,5100,15900,49800,199800,850600,1686300,23561300
round_k,2,8,26,124,499,2126,8431,28242,117806
round_shots,1300,300,200,200,200,100,100,100,200,100
round_queries,1300,2100,4600,15400,51000,95300,286900,940700,6603000,56449500
round_k,3,11,38,127,476,1434,4703,16507,71683,282247
round_shots,1100,400,300,300,200,200,200,100,100,100
round_queries,1100,2000,5100,18300,42200,132200,468200,1071500,3943100,53513900
round_k,2,8,30,105,330,1170,5357,19715,74519,267569
round_shots,900,300,400,200,200,200,100,100,100,100
round_queries,900,1500,6800,15400,47800,162200,330100,1114300,3920100,66353900
round_k,2,8,38,119,405,1650,5571,19600,73356,331769
round_shots,1100,400,400,300,200,200,200,200,100
round_queries,1100,2800,9200,25500,75800,293400,1147800,4862200,39991500
round_k,3,11,42,189,733,2869,12155,47623,199957
round_shots,800,500,400,200,200,300,100,200,100,100
round_queries,800,2500,6800,11800,38200,179700,224100,1352200,2876100,50058300
round_k,2,8,29,95,299,1120,3380,14380,56768,250291
round_shots,1100,500,200,200,200,400,100,100,100,100
round_queries,1100,2500,3800,12200,48600,348400,330300,1034900,3803300,45065700
round_k,2,9,30,121,435,1651,5174,19016,62573,225328
round_shots,1100,400,200,200,200,200,100,100,100,100
round_queries,1100,2000,3800,12200,39400,161000,350500,1133500,4201300,67269900
round_k,2,9,30,98,402,1752,5667,21006,83027,336349
round_shots,700,500,400,300,200,200,100,200,100,100
round_queries,700,2500,6800,17700,43400,145400,327300,1999000,4330300,47207300
round_k,2,8,29,108,363,1636,4997,21651,76331,236036
round_shots,900,400,300,200,200,200,100,100,100
round_queries,900,2000,5700,12200,45000,170600,367100,1229900,18684500
round_k,2,9,30,112,426,1835,6149,22941,93422
round_shots,1100,500,400,200,200,100,100,100,100,100
round_queries,1100,2500,6800,12200,48600,96100,295700,997300,3508700,43203100
round_k,2,8,30,121,480,1478,4986,17543,69470,216015
round_shots,1100,500,400,200,200,200,200,100,100
round_queries,1100,2500,7600,13400,45000,192200,823000,1658300,22635900
round_k,2,9,33,112,480,2057,8291,31504,113179
round_shots,1100,300,200,200,200,100,100,200,100,100
round_queries,1100,1500,3400,10600,36600,66100,198300,1189800,1784700,25094500
round_k,2,8,26,91,330,991,2974,8923,31903,125472
round_shots,700,500,400,200,200,200,100,100,100
round_queries,700,2500,7600,13000,52200,201000,427700,1476500,20343900
round_k,2,9,32,130,502,2138,7382,26286,101719
round_shots,1000,400,300,200,400,200,100,100,100,100
round_queries,1000,2000,5100,13000,78800,118200,229700,744300,2682900,46286700
round_k,2,8,32,98,295,1148,3721,13414,52799,231433
round_shots,700,500,200,300,400,300,300,200,100,100
round_queries,700,2500,3400,17700,83600,188100,601500,1233800,2626300,43486100
round_k,2,8,29,104,313,1002,3084,13131,51402,217430
round_shots,1000,400,200,200,200,100,100,100,200,100
round_queries,1000,2000,3800,12200,46200,84100,260900,851100,6022600,49864300
round_k,2,9,30,115,420,1304,4255,15056,59125,249321
round_shots,1300,400,200,200,200,100,100,100,100,100
round_queries,1300,2000,3800,12200,41400,83500,257700,866300,2967700,51374700
round_k,2,9,30,103,417,1288,4331,14838,58641,256873
round_shots,700,500,300,300,300,200,200,100,100,100
round_queries,700,2500,5700,19500,61500,187400,673400,1074100,3622900,51291900
round_k,2,9,32,102,468,1683,5370,18114,70259,256459
