round_queries,3600,4500,7500,13000,29400,61800,131800,286600,910500,2322300,5422500,8069000,8694700
round_k,0,4,12,32,73,154,329,716,1517,3870,9037,20172,43473
round_shots,2700,400,300,300,300,200,300,200,200,200,200,200,100
round_queries,2700,2800,5100,12300,34500,62200,208500,335800,743400,1689800,3817000,8562200,9363900
round_k,0,3,8,20,57,155,347,839,1858,4224,9542,21405,46819
round_shots,2800,400,400,400,200,300,200,300,200,200,200,200,100
round_queries,2800,2800,6800,15600,17800,55500,104600,325500,572600,1280200,2869000,6540600,6874900
round_k,0,3,8,19,44,92,261,542,1431,3200,7172,16351,34374
round_shots,3200,400,300,200,200,300,300,300,200,300,200,300,200
round_queries,3200,2800,5100,8200,16600,51900,124500,285300,452200,1385100,2181800,6611700,11322200
round_k,0,3,8,20,41,86,207,475,1130,2308,5454,11019,28305
round_shots,3300,400,400,400,200,300,200,300,200,200,300,200,200
round_queries,3300,2800,6800,16400,19400,60300,93400,301500,531000,1191000,3986100,6207400,13771800
round_k,0,3,8,20,48,100,233,502,1327,2977,6643,15518,34429
round_shots,2800,400,300,200,300,200,200,200,200,200,200,200,300,100
round_queries,2800,2800,5100,8200,24900,41400,91000,189000,402600,810600,1773400,4105400,13825500,9461900
round_k,0,3,8,20,41,103,227,472,1006,2026,4433,10263,23042,47309
round_shots,3700,400,300,300,300,300,200,200,200,200,200,200,200
round_queries,3700,2800,5100,12300,27300,60900,86600,199400,439400,951000,2133800,4807000,10316200
round_k,0,3,8,20,45,101,216,498,1098,2377,5334,12017,25790
round_shots,2600,400,300,300,300,200,300,300,300,300,200,200,200
round_queries,2600,2800,4500,9900,21900,33800,113100,269700,672300,1480500,2494200,5414600,12346200
round_k,0,3,7,16,36,84,188,449,1120,2467,6235,13536,30865
round_shots,2600,400,400,300,400,200,300,200,200,300,200,200,100
round_queries,2600,2800,6800,14700,48400,50600,161100,275400,615800,2096700,3693800,8471000,9121300
round_k,0,3,8,24,60,126,268,688,1539,3494,9234,21177,45606
round_shots,3800,500,300,300,200,200,200,200,200,200,200,200,200
