round_queries,100,500,1900,6100,17500,101000,245700,1144300,5875700
round_k,0,2,9,30,87,252,1228,5721,29378
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4900,38200,132900,616900,3056500
round_k,0,1,5,24,95,664,3084,15282
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,11700,50500,231500,1157900,5943900
round_k,0,1,4,20,58,252,1157,5789,29719
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4300,12300,46500,202900,1031500,5284100
round_k,0,1,6,21,61,232,1014,5157,26420
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,11500,48300,228900,1166700,5965300
round_k,0,1,4,21,57,241,1144,5833,29826
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6700,34500,103700,425300,1850900,9153500
round_k,0,1,6,33,172,518,2126,9254,45767
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5500,12100,48300,227500,1137900,5845100
round_k,0,1,5,27,60,241,1137,5689,29225
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4100,14500,118600,369500,1816900,9152300
round_k,0,1,5,20,72,296,1847,9084,45761
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,7700,29900,150500,755100,3864700
round_k,0,1,5,18,38,149,752,3775,19323
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3100,14900,64300,325700,1639300,8398300
round_k,0,1,4,15,74,321,1628,8196,41991
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2100,6500,28100,118100,526900,2626300
round_k,0,2,10,32,140,590,2634,13131
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,8900,36500,187100,931700,4790100
round_k,0,1,5,18,44,182,935,4658,23950
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,11900,24700,88700,393500,1982100
round_k,0,1,4,18,59,123,443,1967,9910
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,11700,41900,177900,900900,4594900
round_k,0,1,4,20,58,209,889,4504,22974
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1300,4500,21000,69500,322300,1655100,8509500
round_k,0,1,6,22,52,347,1611,8275,42547
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,18700,90500,455700,2079300
round_k,0,1,4,20,93,452,2278,10396
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,900,4100,27800,35700,124500,623500,3119100
round_k,0,1,4,20,69,178,622,3117,15595
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,11700,24300,99500,458900,2315700
round_k,0,1,4,20,58,121,497,2294,11578
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,3300,27000,79100,364900,1835500,9450700
round_k,0,1,5,16,67,395,1824,9177,47253
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,24500,63700,289300,1266700,6424100
round_k,0,1,6,31,122,318,1446,6333,32120
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,9000,28900,132500,662700,4067300
round_k,0,1,5,22,144,662,3313,20336
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,8700,35500,169100,855300,4351300
round_k,0,1,5,20,43,177,845,4276,21756
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,18300,47500,161100,806700,4047900
round_k,0,1,6,29,91,237,805,4033,20239
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,4100,18600,58700,273700,1370900,6972100
round_k,0,1,5,20,46,293,1368,6854,34860
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,9300,40100,182900,924100,4723900
round_k,0,1,4,20,46,200,914,4620,23619
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,7500,29100,137900,692700,3524100
round_k,0,1,4,14,37,145,689,3463,17620
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,15100,42100,216900,1105900,5651100
round_k,0,1,5,20,75,210,1084,5529,28255
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5500,15900,57100,261900,1309900,6708900
round_k,0,1,5,27,79,285,1309,6549,33544
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,3900,25400,76700,364900,1846300,9448700
round_k,0,1,5,19,63,383,1824,9231,47243
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,2300,4700,19700,86300,426900,2174100
round_k,0,1,5,11,23,98,431,2134,10870
round_shots,100,100,100,200,100,100,100,100
round_queries,100,500,2300,17800,52100,227300,1154100,5902500
round_k,0,2,11,44,260,1136,5770,29512
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,2100,10100,43500,113100,383500,1859100,9500500
round_k,0,2,10,50,217,565,1917,9295,47502
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,18900,38300,178500,804300,4091700
round_k,0,1,7,31,94,191,892,4021,20458
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,22300,110900,552500,2826100
round_k,0,1,6,29,111,554,2762,14130
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,23300,53100,190700,899300,4612900
round_k,0,1,6,31,116,265,953,4496,23064
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,2900,11700,43500,99300,366500,1857300,9350100
round_k,0,1,5,14,58,217,496,1832,9286,46750
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,1100,4700,22700,147800,490100,2023500
round_k,0,1,5,23,113,369,2450,10117
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4300,11500,53500,243100,1245100,6387500
round_k,0,1,4,21,57,267,1215,6225,31937
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,14700,30700,100900,447700,2214900
round_k,0,1,6,27,73,153,504,2238,11074
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,13900,48500,204700,1027300,5273100
round_k,0,1,6,29,69,242,1023,5136,26365
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3500,11700,53300,111300,492900,2376300
round_k,0,1,5,17,58,266,556,2464,11881
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,10700,42700,200300,999900,5150300
round_k,0,1,6,24,53,213,1001,4999,25751
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4900,42200,142100,648300,3219100
round_k,0,1,5,24,105,710,3241,16095
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,19100,72300,337100,1726900,8867700
round_k,0,1,6,23,95,361,1685,8634,44338
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2100,8100,39100,140300,702500,3505300
round_k,0,2,10,40,195,701,3512,17526
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4300,19500,52500,204300,990300,4953500
round_k,0,1,6,21,97,262,1021,4951,24767
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12500,64500,167700,802100,3311700
round_k,0,1,3,14,62,322,838,4010,16558
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,13100,39300,109700,551100,2759500
round_k,0,1,5,18,65,196,548,2755,13797
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,7700,23100,54300,173100,812100,4084700
round_k,0,1,7,38,115,271,865,4060,20423
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,900,8200,22500,107700,536700,2742100
round_k,0,1,4,20,112,538,2683,13710
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,12100,50900,238700,1216700,6220100
round_k,0,1,6,26,60,254,1193,6083,31100
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6300,28700,61700,221500,1061900,5270900
round_k,0,1,7,31,143,308,1107,5309,26354
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1500,6300,29400,94300,416100,2120700
round_k,0,1,7,31,73,471,2080,10603
