round_queries,200,600,1800,5800,12700,42700,165500,702100,18009500
round_k,1,4,14,63,213,827,3510,16517,90047
round_shots,100,300,200,200,100,100,100,100,100
round_queries,100,900,1800,5400,11500,40100,147500,609500,15002500
round_k,1,4,13,57,200,737,3047,14065,75012
round_shots,200,200,200,100,200,100,100,100,100
round_queries,200,600,1800,3300,20600,44700,168900,707100,18212100
round_k,1,4,16,51,223,844,3535,16541,91060
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7800,18500,64700,248900,5247700
round_k,1,4,19,92,323,1244,5340,26238
round_shots,200,100,200,200,100,100,100,100,100
round_queries,200,300,1800,5400,12100,42300,162300,687100,17785900
round_k,1,4,13,60,211,811,3435,16186,88929
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,8200,19500,69300,273700,5929700
round_k,1,4,20,97,346,1368,6001,29648
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,15500,54300,209700,4266700
round_k,1,4,17,77,271,1048,4445,21333
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,11100,35300,133300,554900,13662100
round_k,1,4,17,55,176,666,2774,12779,68310
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,2900,8900,30100,113500,462500,10957900
round_k,1,4,14,44,150,567,2312,10451,54789
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,5400,19800,46300,163700,689100,17719300
round_k,1,4,13,49,231,818,3445,16226,88596
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,3500,11100,36500,139300,581300,14238500
round_k,1,4,17,55,182,696,2906,13308,71192
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,8200,16900,60500,233700,4907500
round_k,1,4,20,84,302,1168,5085,24537
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3300,10900,39100,147100,602500,15017500
round_k,1,4,16,54,195,735,3012,13948,75087
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3300,10700,34500,131700,543500,13447500
round_k,1,4,16,53,172,658,2717,12649,67237
round_shots,200,200,100,200,100,100,100,100,100
round_queries,200,600,900,5400,9300,28700,106100,428100,10410700
round_k,1,4,13,46,143,530,2140,9641,52053
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,7000,16700,57900,221300,4574500
round_k,1,4,17,83,289,1106,4778,22872
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,8200,16100,56700,215500,4357500
round_k,1,4,20,80,283,1077,4501,21787
round_shots,200,100,200,200,100,100,100,100,100
round_queries,200,300,1800,5400,10700,33500,123700,503700,12190900
round_k,1,4,13,53,167,618,2518,11564,60954
round_shots,100,200,200,200,100,100,100,100
round_queries,100,600,1800,5800,13500,46500,180300,3599300
round_k,1,4,14,67,232,901,3783,17996
round_shots,100,100,200,200,100,100,100,100,100
round_queries,100,300,1800,5400,12300,42700,160300,675300,17245300
round_k,1,4,13,61,213,801,3376,15797,86226
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,3500,11100,37700,139300,579500,14373700
round_k,1,4,17,55,188,696,2897,13375,71868
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,900,2700,8700,29900,113500,457700,10884700
round_k,1,4,13,43,149,567,2288,10408,54423
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,12100,43300,165700,694500,17941500
round_k,1,4,13,60,216,828,3472,16381,89707
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,3500,11500,39100,149900,626100,15843900
round_k,1,4,17,57,195,749,3130,14652,79219
round_shots,100,300,100,200,100,100,100,100,100
round_queries,100,900,900,5400,10500,32100,97100,399500,9217700
round_k,1,4,13,52,160,485,1997,8961,46088
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5800,11700,38500,147100,610500,15221300
round_k,1,4,14,58,192,735,3052,14151,76106
round_shots,100,100,200,200,100,100,100,100,100
round_queries,100,300,1800,7000,12500,43500,162100,683500,17461500
round_k,1,4,17,62,217,810,3417,15945,87307
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,10700,36900,134100,537900,13182900
round_k,1,4,17,53,184,670,2689,12396,65914
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,2900,8900,30700,116500,470100,11163300
round_k,1,4,14,44,153,582,2350,10608,55816
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,3500,10500,33500,127100,515900,12169700
round_k,1,4,17,52,167,635,2579,11640,60848
round_shots,100,100,100,200,200,100,100,100,100
round_queries,100,300,900,5400,21000,46100,171500,704500,18257900
round_k,1,4,13,52,230,857,3522,16579,91289
round_shots,200,200,100,200,100,100,100,100,100
round_queries,200,600,900,5400,10300,31300,117500,473700,11325700
round_k,1,4,13,51,156,587,2368,10816,56628
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5800,11700,39100,150300,635100,16219100
round_k,1,4,14,58,195,751,3175,14929,81095
round_shots,100,100,200,200,100,100,100,100,100
round_queries,100,300,1800,5800,12100,41500,153700,640100,16379700
round_k,1,4,14,60,207,768,3200,15048,81898
round_shots,200,200,200,100,200,200,100,100,100
round_queries,200,600,1800,2700,16200,57000,110500,446900,10296700
round_k,1,4,13,40,142,552,2234,9881,51483
round_shots,100,200,200,100,100,100,100,100,100
round_queries,100,600,1800,3300,10500,36700,131100,545500,13312300
round_k,1,4,16,52,183,655,2727,12531,66561
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,11700,40500,154900,646500,16504300
round_k,1,4,17,58,202,774,3232,15163,82521
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,2700,9100,28300,102500,416900,9719900
round_k,1,4,13,45,141,512,2084,9395,48599
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,2200,3500,11300,38100,141900,584300,14319500
round_k,1,5,17,56,190,709,2921,13480,71597
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,11100,35500,130900,537100,13216500
round_k,1,4,17,55,177,654,2685,12379,66082
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3300,10100,32900,120700,488100,11732900
round_k,1,4,16,50,164,603,2440,11135,58664
round_shots,200,300,200,200,100,100,100,100
round_queries,200,900,1800,7000,15500,54500,211900,4394700
round_k,1,4,17,77,272,1059,4543,21973
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,11500,38100,143100,588900,14557700
round_k,1,4,13,57,190,715,2944,13689,72788
round_shots,200,200,200,100,100,100,100,100,100
