round_shots,200,200,200,200,700,100,100,100,100
round_queries,200,600,1800,5800,66500,84900,283900,1154100,28737300
round_k,1,4,14,47,424,1419,5770,26772,143686
round_shots,200,200,200,200,100,200,100,100,100
round_queries,200,600,1800,7800,13500,92200,240900,902500,21291300
round_k,1,4,19,67,230,1204,4512,20378,106456
round_shots,200,200,200,200,100,300,100,100
round_queries,200,600,2200,9400,16900,174900,375500,7504100
round_k,1,5,23,84,291,1877,8017,37520
round_shots,200,300,100,300,300,100,100,100,100
round_queries,200,900,900,8100,26700,51900,161300,644500,14354700
round_k,1,4,13,44,259,806,3222,14270,71773
round_shots,200,200,100,100,200,200,100,100,100
round_queries,200,600,1100,3300,21000,69400,171300,590300,12802100
round_k,1,5,16,52,173,856,2951,12998,64010
round_shots,200,200,200,100,200,100,100,100,100
round_queries,200,600,1800,2900,19000,44300,163300,642700,14331700
round_k,1,4,14,47,221,816,3213,14249,71658
round_shots,200,200,300,200,300,300,100,100,100
round_queries,200,600,2700,7400,38700,119100,246300,810500,17873700
round_k,1,4,18,64,198,1231,4052,17556,89368
round_shots,200,200,200,200,400,100,100,100
round_queries,200,600,2200,9400,75600,126700,400900,8188500
round_k,1,5,23,94,633,2004,8497,40942
round_shots,200,200,300,600,200,100,100,100
round_queries,200,600,2700,19800,51400,125900,499900,10640500
round_k,1,4,16,128,629,2499,10807,53202
round_shots,200,200,200,700,100,100,100,100
round_queries,200,600,2200,32900,41300,131900,494300,10352500
round_k,1,5,23,206,659,2471,10557,51762
round_shots,200,100,200,300,300,100,100,100,100
round_queries,200,300,1800,11700,44700,83500,256300,1012900,24587700
round_k,1,4,19,74,417,1281,5064,23172,122938
round_shots,200,200,300,200,200,100,100,100,100
round_queries,200,600,3300,7800,23800,44700,146900,577300,12526300
round_k,1,5,19,59,223,734,2886,12580,62631
round_shots,200,200,200,200,400,100,100,100,100
round_queries,200,600,1800,6200,48400,81900,314700,1319500,33781700
round_k,1,4,15,60,409,1573,6597,30934,168908
round_shots,200,200,200,500,100,100,100,100,100
round_queries,200,600,2200,24500,15100,54100,191500,757500,17620300
round_k,1,5,24,75,270,957,3787,17124,88101
round_shots,200,200,200,200,300,200,100,100,100
round_queries,200,600,1800,6200,38700,81800,194700,663700,14285300
round_k,1,4,15,64,204,973,3318,14188,71426
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,2200,9000,27400,56500,183900,710300,16258500
round_k,1,5,22,68,282,919,3551,15899,81292
round_shots,200,200,100,400,100,100,100,100,100
round_queries,200,600,1100,14000,21900,71700,272300,1133500,28244700
round_k,1,5,17,109,358,1361,5667,26313,141223
round_shots,200,100,200,200,400,100,100,100,100
round_queries,200,300,1800,6200,37200,61700,232900,945500,22228900
round_k,1,4,15,46,308,1164,4727,21420,111144
round_shots,200,200,200,400,200,100,100,100,100
round_queries,200,600,2200,14800,23800,50300,174100,681300,15204700
round_k,1,5,18,59,251,870,3406,15015,76023
round_shots,200,200,200,200,400,100,100,100,100
round_queries,200,600,1800,6200,42000,35900,113100,423900,8755700
round_k,1,4,15,52,179,565,2119,9087,43778
round_shots,200,200,100,200,300,100,100,100,100
round_queries,200,600,1100,6600,31500,34900,129300,503500,10251500
round_k,1,5,16,52,174,646,2517,10468,51257
round_shots,200,100,200,200,300,100,100,100,100
round_queries,200,300,1800,7000,36900,66700,253100,1030900,25052900
round_k,1,4,17,61,333,1265,5154,23611,125264
round_shots,200,200,300,600,200,100,100,100,100
round_queries,200,600,3300,19800,20200,39500,135100,535500,11528500
round_k,1,5,16,50,197,675,2677,11655,57642
round_shots,200,200,200,200,600,100,100,100,100
round_queries,200,600,1800,7800,79800,108900,338500,1361500,34593500
round_k,1,4,19,66,544,1692,6807,31594,172967
round_shots,200,200,200,300,100,100,100,100,100
round_queries,200,600,1800,9300,16700,56500,212100,868100,20465500
round_k,1,4,15,83,282,1060,4340,19645,102327
round_shots,200,200,200,400,300,100,100,100,100
round_queries,200,600,1800,12400,29100,54500,197100,770100,17652500
round_k,1,4,15,48,272,985,3850,17182,88262
round_shots,200,200,100,200,700,100,100,100,100
round_queries,200,600,900,5400,69300,86900,337500,1391300,36095100
round_k,1,4,13,49,434,1687,6956,32726,180475
round_shots,200,200,200,100,200,100,100,100,100
round_queries,200,600,2200,3900,23400,48100,182300,710900,16070500
round_k,1,5,19,58,240,911,3554,15870,80352
round_shots,200,200,200,100,300,100,100,100,100
round_queries,200,600,2200,4700,42300,86100,303900,1246100,31522300
round_k,1,5,23,70,430,1519,6230,29058,157611
round_shots,200,200,200,200,300,200,100,100,100
round_queries,200,600,2200,8200,47100,105800,240100,984100,23417100
round_k,1,5,20,78,264,1200,4920,22223,117085
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,2200,7400,25800,53900,164900,663900,14914900
round_k,1,5,18,64,269,824,3319,14712,74574
round_shots,200,200,200,100,100,200,300,100,100
round_queries,200,600,2200,3700,11900,77400,439500,866700,18208300
round_k,1,5,18,59,193,732,4333,17778,91041
round_shots,200,300,200,700,200,100,100,100
round_queries,200,900,2200,31500,74600,180700,726700,16527900
round_k,1,5,22,186,903,3633,16194,82639
round_shots,200,200,200,100,400,200,100,100
round_queries,200,600,2200,4100,53200,181800,392100,7904900
round_k,1,5,20,66,454,1960,8310,39524
round_shots,200,200,200,200,100,100,300,100,100
round_queries,200,600,1800,6200,11700,36500,332700,745500,15265300
round_k,1,4,15,58,182,554,3727,15188,76326
round_shots,200,200,200,100,200,300,100,100,100
round_queries,200,600,2200,3700,23000,119700,252700,1004700,23278500
round_k,1,5,18,57,199,1263,5023,22145,116392
round_shots,200,200,200,700,100,100,100,100
round_queries,200,600,2200,31500,38300,138700,538700,11554700
round_k,1,5,22,191,693,2693,11655,57773
round_shots,200,200,200,100,100,200,200,100,100
round_queries,200,600,2200,4300,13300,87000,283000,668700,12492900
round_k,1,5,21,66,217,707,3343,12883,62464
round_shots,200,200,100,300,500,100,100,100,100
round_queries,200,600,1100,10500,54500,82100,283300,1134900,27946900
round_k,1,5,17,54,410,1416,5674,26276,139734
round_shots,200,200,200,100,100,200,200,100,100
round_queries,200,600,1800,3500,10700,69400,233800,620900,12527100
round_k,1,4,17,53,173,584,3104,12941,62635
round_shots,200,200,200,300,200,100,100,100,100
round_queries,200,600,1800,10500,22200,50500,157100,634100,14135900
round_k,1,4,17,55,252,785,3170,14043,70679
round_shots,200,200,200,200,400,100,100,100,100
round_queries,200,600,2200,7400,50000,83900,260300,1036900,25547300
round_k,1,5,18,62,419,1301,5184,24017,127736
round_shots,200,200,200,700,200,100,100,100,100
round_queries,200,600,2200,25900,23400,44700,156300,597500,13131300
round_k,1,5,18,58,223,781,2987,13148,65656
round_shots,200,200,200,100,200,200,200,100,100
round_queries,200,600,2200,4700,31800,135400,420600,1113700,20657500
round_k,1,5,23,79,338,1051,5568,20182,103287
round_shots,200,100,200,500,100,100,100,100
round_queries,200,300,1800,18500,26700,96100,378500,7706500
round_k,1,4,18,133,480,1892,8034,38532
round_shots,200,200,200,200,400,100,100,100,100
round_queries,200,600,2200,9400,57200,43300,133500,451700,9180100
round_k,1,5,23,71,216,667,2258,9432,45900
round_shots,200,200,200,700,100,100,100,100
round_queries,200,600,2200,32900,41500,144300,543100,11737300
round_k,1,5,23,207,721,2715,11890,58686
round_shots,200,200,100,200,200,100,100,100,100
