round_shots,200,200,300,100,100,100,100,100,100,100
round_queries,200,600,2700,4100,12500,39300,135900,499300,2055100,50527300
round_k,1,4,20,62,196,679,2496,10275,47562,252636
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,20600,44300,157500,605100,2466500,62615100
round_k,1,4,13,51,221,787,3025,12332,57758,313075
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,14300,47500,163100,632700,2665100,68579300
round_k,1,4,17,71,237,815,3163,13325,62816,342896
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7800,15700,49100,176100,677100,2838300,73808100
round_k,1,4,19,78,245,880,3385,14191,67308,369040
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,7000,15100,49100,176500,689100,2927300,76835900
round_k,1,4,17,75,245,882,3445,14636,69540,384179
round_shots,100,200,300,200,100,100,100,100,100,100
round_queries,100,600,2700,7000,15300,50900,179700,697300,2868900,75013100
round_k,1,4,17,76,254,898,3486,14344,68053,375065
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5400,10700,34700,118500,442500,1828900,43609100
round_k,1,4,13,53,173,592,2212,9144,41618,218045
round_shots,300,200,200,200,100,100,100,100,100,100
round_queries,300,600,1800,7000,12700,40500,144700,547300,2273500,56944500
round_k,1,4,17,63,202,723,2736,11367,52928,284722
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,6600,19800,43100,148100,561700,2361100,58823900
round_k,1,4,16,49,215,740,2808,11805,55010,294119
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,12900,41500,147100,562500,2359900,59359900
round_k,1,4,17,64,207,735,2812,11799,55122,296799
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5400,11500,37500,129100,490500,2046500,50151500
round_k,1,4,13,57,187,645,2452,10232,47192,250757
round_shots,200,200,200,200,200,100,100,100,100
round_queries,200,600,1800,6600,27000,62500,220900,858500,17977900
round_k,1,4,16,67,312,1104,4292,18542,89889
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,2900,9100,27900,91500,333300,1354700,30345700
round_k,1,4,14,45,139,457,1666,6773,30123,151728
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,19000,39900,134700,516500,2150300,52858500
round_k,1,4,13,47,199,673,2582,10751,49565,264292
round_shots,200,200,200,100,100,100,100,100,100,100
