round_k,0,1,4,21,97,442,1890,9664
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,14700,72100,306100,1525500
round_k,0,1,5,26,73,360,1530,7627
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,15700,78900,337100,1709500
round_k,0,1,6,29,78,394,1685,8547
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3500,24600,73100,352300,1795900
round_k,0,1,4,17,61,365,1761,8979
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,15100,55700,278900,1412700,7175500
round_k,0,1,5,19,75,278,1394,7063,35877
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,4100,27800,40500,183900,849900,4251500
round_k,0,1,5,20,69,202,919,4249,21257
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3500,9700,43900,194500,999500,5110500
round_k,0,1,6,17,48,219,972,4997,25552
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6100,24900,99500,448900,2259700
round_k,0,1,7,30,124,497,2244,11298
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4700,38200,128700,546700,2729900
round_k,0,1,5,23,95,643,2733,13649
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3500,9300,19900,85900,432700,2226300
round_k,0,1,5,17,46,99,429,2163,11131
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,10300,51700,252500,1296500,6668900
round_k,0,1,6,23,51,258,1262,6482,33344
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,14500,49100,228700,1133700,5710900
round_k,0,1,5,19,72,245,1143,5668,28554
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,16500,72900,309500,1553300
round_k,0,1,5,26,82,364,1547,7766
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,12700,51900,255700,1288100,6560100
round_k,0,1,5,19,63,259,1278,6440,32800
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,15700,32700,141100,723300,3652100
round_k,0,1,6,31,78,163,705,3616,18260
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5500,26500,73900,295300,1392500,7062700
round_k,0,1,5,27,132,369,1476,6962,35313
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,2100,7100,32300,81100,274900,1299100,6543900
round_k,0,2,10,35,161,405,1374,6495,32719
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,5300,34200,86700,402100,2041900
round_k,0,1,6,26,85,433,2010,10209
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2300,7300,18900,85700,401900,1998100
round_k,0,2,11,36,94,428,2009,9990
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,1100,4900,19100,135400,415500,2093300
round_k,0,1,5,24,95,338,2077,10466
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,3300,15900,45900,225100,1148300,5751900
round_k,0,1,3,16,79,229,1125,5741,28759
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,16900,52700,168100,846900,4185700
round_k,0,1,5,16,84,263,840,4234,20928
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2500,9700,44300,172500,746100,3777700
round_k,0,2,12,48,221,862,3730,18888
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4100,10500,51500,227100,1161900,5960300
round_k,0,1,6,20,52,257,1135,5809,29801
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,14700,70300,318900,1612900
round_k,0,1,5,23,73,351,1594,8064
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,900,3500,13500,110600,324300,1543500
round_k,0,1,4,17,67,276,1621,7717
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1500,12200,43900,185300,941500,4809300
round_k,0,1,7,30,219,926,4707,24046
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,17100,66500,332900,1695300
round_k,0,1,6,27,85,332,1664,8476
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,20100,80300,384900,1913900
round_k,0,1,5,19,100,401,1924,9569
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,1900,7700,28500,136300,656700,3249300
round_k,0,2,9,38,142,681,3283,16246
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,1100,3900,20100,116200,361900,1588100
round_k,0,1,5,19,100,290,1809,7940
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,26500,130500,665900,3407700
round_k,0,1,5,26,132,652,3329,17038
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,19700,49500,219100,1092300,5463700
round_k,0,1,5,26,98,247,1095,5461,27318
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4500,18300,49300,254100,1276100,6529100
round_k,0,1,4,22,91,246,1270,6380,32645
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,9900,49700,240900,1201500,6079700
round_k,0,1,4,20,49,248,1204,6007,30398
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,10600,36300,181900,916300,4681700
round_k,0,1,5,26,181,909,4581,23408
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,16500,72900,313300,1584100
round_k,0,1,5,26,82,364,1566,7920
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,23100,52700,194500,979900,4958100
round_k,0,1,5,22,115,263,972,4899,24790
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3100,13300,27700,138500,655300,3366500
round_k,0,1,4,15,66,138,692,3276,16832
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1700,8700,28300,110300,268500,1383900,6854500
round_k,0,2,8,43,141,551,1342,6919,34272
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3500,9100,37300,184900,931300,4770900
round_k,0,1,6,17,45,186,924,4656,23854
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,3100,26600,79100,400300,2036700
round_k,0,1,5,15,66,395,2001,10183
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3300,13500,35100,129500,568100,2917500
round_k,0,1,4,16,67,175,647,2840,14587
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,11000,33100,168700,865300,4417900
round_k,0,1,5,27,165,843,4326,22089
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3300,27000,76900,375700,1921100
round_k,0,1,4,16,67,384,1878,9605
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,10500,34500,152100,773300,3936900
round_k,0,1,6,24,52,172,760,3866,19684
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,13900,69700,328500,1671100
round_k,0,1,4,14,69,348,1642,8355
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,15900,65100,327900,1677500
round_k,0,1,6,27,79,325,1639,8387
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,14700,72100,324900,1676900
round_k,0,1,5,23,73,360,1624,8384
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3900,12100,25900,111700,559300,2868900
round_k,0,1,6,19,60,129,558,2796,14344
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3700,17900,53700,237700,1120900,5628500
round_k,0,1,4,18,89,268,1188,5604,28142
round_shots,100,100,100,100,100,100,200,100,100
round_queries,100,300,1100,5300,21700,80500,356600,1046100,4933500
round_k,0,1,5,26,108,402,891,5230,24667
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6100,14300,46900,224700,1146900,5855500
round_k,0,1,7,30,71,234,1123,5734,29277
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,8900,23100,92300,470500,2383100
round_k,0,1,4,14,44,115,461,2352,11915
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,4100,11700,44300,202100,1033900,5305500
round_k,0,1,7,20,58,221,1010,5169,26527
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,13300,51700,265100,1306900,6725300
round_k,0,1,6,27,66,258,1325,6534,33626
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2300,6500,27900,124500,630900,3218900
round_k,0,2,11,32,139,622,3154,16094
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,900,4500,19800,57100,284500,1435700,7347100
round_k,0,1,4,22,49,285,1422,7178,36735
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,5300,41000,127700,608900,3123300
round_k,0,1,6,26,102,638,3044,15616
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,8100,34900,150900,472100,1886900
round_k,0,1,3,13,40,174,754,2360,9434
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3900,13700,29300,150900,735900,3782500
round_k,0,1,6,19,68,146,754,3679,18912
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,7700,28300,140300,695100,3558300
round_k,0,1,4,14,38,141,701,3475,17791
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,900,3500,21800,69900,298100,1452900,7411500
round_k,0,1,4,17,54,349,1490,7264,37057
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4700,40600,146100,647500,3287300
round_k,0,1,5,23,101,730,3237,16436
