round_k,1,4,15,47,153,576,2498,12396
round_shots,200,200,100,100,200,200,100,100
round_queries,200,600,1100,3700,24600,84200,245700,5047300
round_k,1,5,18,61,210,1228,4886,25236
round_shots,100,200,200,300,100,100,100,100
round_queries,100,600,2200,12300,13900,48300,159700,3490300
round_k,1,5,20,69,241,798,3397,17451
round_shots,200,100,100,200,200,100,100,100
round_queries,200,300,900,5800,21400,51700,200100,4853100
round_k,1,4,14,53,258,1000,4590,24265
round_shots,100,200,200,400,300,100,100,100
round_queries,100,600,2200,14800,34500,70300,290300,7507900
round_k,1,5,18,57,351,1451,6834,37539
round_shots,200,100,200,200,200,100,100,100
round_queries,200,300,1800,6600,19800,45900,150100,3408700
round_k,1,4,16,49,229,750,3359,17043
round_shots,200,100,100,100,500,100,100,100
round_queries,200,300,900,2900,51500,31500,113500,2092500
round_k,1,4,14,51,157,567,2148,10462
round_shots,200,200,300,400,100,100,100
round_queries,200,600,3300,17200,30300,120700,2547300
round_k,1,5,21,151,603,2567,12736
round_shots,100,200,200,200,200,100,100,100
round_queries,100,600,2600,9000,31800,74500,296900,7647900
round_k,1,6,22,79,372,1484,6956,38239
round_shots,200,100,100,200,200,100,100,100
round_queries,200,300,900,5400,17800,42300,140700,2965500
round_k,1,4,13,44,211,703,2965,14827
round_shots,200,100,100,100,200,500,100,100
round_queries,200,300,900,2700,17000,146500,244300,6020100
round_k,1,4,13,42,146,1221,5622,30100
round_shots,200,100,100,200,100,400,100,100
round_queries,200,300,900,5400,10700,142800,290700,6688300
round_k,1,4,13,53,178,1453,6353,33441
round_shots,200,200,200,300,100,100,100,100
round_queries,200,600,2200,14100,15300,55900,217500,5080900
round_k,1,5,23,76,279,1087,4798,25404
round_shots,100,200,200,100,100,200,200,100
round_queries,100,600,2200,4900,15700,107000,340600,3858500
round_k,1,5,24,78,267,851,4203,19292
round_shots,200,200,200,100,200,100,200,100
round_queries,200,600,2600,5300,37000,59100,432200,3257100
round_k,1,6,26,92,295,1080,3406,16285
round_shots,100,100,200,200,600,100,100
round_queries,100,300,1800,7800,94200,141300,2495900
round_k,1,4,19,78,706,2514,12479
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,1800,7800,23800,53300,201900,4898300
round_k,1,4,19,59,266,1009,4639,24491
round_shots,100,100,100,200,300,100,100,100
round_queries,100,300,900,5800,27300,50700,165900,3785700
