round_queries,700,1500,3400,14200,27700,91500,349900,1473300,38767300
round_k,2,8,35,138,457,1749,7366,34948,193836
round_shots,800,300,200,100,100,100,100,100,100
round_queries,800,1500,3400,6700,21900,70700,263500,1080300,26524100
round_k,2,8,33,109,353,1317,5401,24818,132620
round_shots,800,200,200,100,100,100,100,100,100
round_queries,800,1000,3800,6700,21900,73900,281100,1169700,29261100
round_k,2,9,33,109,369,1405,5848,27168,146305
round_shots,500,300,100,200,100,100,100,100,100
round_queries,500,1500,1700,10600,18900,60300,228900,934300,22339100
round_k,2,8,26,94,301,1144,4671,21270,111695
round_shots,800,200,200,200,100,100,100,100
round_queries,800,1000,3800,13400,30900,110300,426100,8926100
round_k,2,9,33,154,551,2130,9201,44630
round_shots,700,200,100,100,100,100,100,100,100
round_queries,700,1000,1900,5700,17900,60100,225500,910700,21704300
round_k,2,9,28,89,300,1127,4553,20688,108521
round_shots,700,300,200,100,100,100,100,100
round_queries,700,2100,5000,9700,30500,106300,386500,7829900
round_k,3,12,48,152,531,1932,8182,39149
round_shots,500,200,200,200,200,100,100,100
round_queries,500,1000,3400,11800,41800,97500,369500,7526100
round_k,2,8,29,104,487,1847,7891,37630
round_shots,500,300,200,200,100,100,100,100,100
round_queries,500,1500,3400,11000,20300,69300,240100,992700,24130500
round_k,2,8,27,101,346,1200,4963,22784,120652
round_shots,600,300,200,100,100,100,100,100,100
round_queries,600,1500,3400,7300,23100,80100,302100,1250300,33803700
round_k,2,8,36,115,400,1510,6251,31445,169018
round_shots,500,300,300,100,100,100,100,100,100
round_queries,500,1500,5100,6100,19300,64900,243300,989300,23711500
round_k,2,8,30,96,324,1216,4946,22643,118557
round_shots,600,300,200,200,100,100,100,100
round_queries,600,2100,5000,19400,42300,156500,628900,13920500
round_k,3,12,48,211,782,3144,13874,69602
round_shots,700,200,100,200,100,100,100,100
round_queries,700,1400,2500,15800,33300,122100,472700,9892100
round_k,3,12,39,166,610,2363,10136,49460
round_shots,600,200,300,200,100,100,100,100
round_queries,600,1000,5100,14600,33900,106900,414500,8614500
round_k,2,8,36,169,534,2072,8944,43072
round_shots,400,300,200,200,100,100,100,100,100
round_queries,400,1500,3400,14600,24100,78300,298700,1245700,31703300
round_k,2,8,36,120,391,1493,6228,29140,158516
round_shots,700,200,200,200,100,100,100,100
round_queries,700,1400,5800,23800,53700,175100,680100,15163100
round_k,3,14,59,268,875,3400,15029,75815
round_shots,800,200,200,100,100,100,100,100
round_queries,800,1400,4600,8900,28500,97100,371700,7501700
round_k,3,11,44,142,485,1858,7870,37508
round_shots,700,300,200,200,100,100,100,100,100
round_queries,700,1500,3800,12200,23300,77100,298100,1240500,31220300
round_k,2,9,30,116,385,1490,6202,28962,156101
round_shots,800,300,200,200,100,100,100,100,100
round_queries,800,1500,3400,11800,20300,62500,223900,922500,21944700
round_k,2,8,29,101,312,1119,4612,20917,109723
round_shots,600,200,300,100,100,100,100,100,100
round_queries,600,1000,5100,6700,21500,70500,240100,986900,23956700
round_k,2,8,33,107,352,1200,4934,22755,119783
round_shots,800,300,100,100,100,100,100,100,100
round_queries,800,1500,1900,5700,18900,64300,242300,1006700,24251100
round_k,2,9,28,94,321,1211,5033,22922,121255
round_shots,700,200,200,200,100,100,100,100,100
round_queries,700,1000,3400,11800,25100,79900,297300,1248700,31664900
round_k,2,8,29,125,399,1486,6243,29131,158324
round_shots,800,300,200,200,100,100,100,100
round_queries,800,1500,3800,14600,28700,102100,388700,8274300
round_k,2,9,36,143,510,1943,8619,41371
round_shots,500,300,100,200,100,100,100,100
round_queries,500,1500,1900,12200,28100,96500,368900,7454900
round_k,2,9,30,140,482,1844,7842,37274
round_shots,700,300,100,100,100,100,100,100,100
round_queries,700,1500,1900,6100,18900,62500,237100,969100,23249500
round_k,2,9,30,94,312,1185,4845,22110,116247
round_shots,600,300,200,100,100,100,100,100,100
round_queries,600,1500,3800,6700,21500,73900,279100,1158900,29002100
round_k,2,9,33,107,369,1395,5794,26888,145010
round_shots,700,300,100,200,100,100,100,100,100
round_queries,700,1500,1900,12200,25300,86700,314500,1286900,32894500
round_k,2,9,30,126,433,1572,6434,30190,164472
round_shots,800,200,200,200,100,100,100,100
round_queries,800,1000,3800,15800,35300,118500,468900,9874300
round_k,2,9,39,176,592,2344,10141,49371
round_shots,600,200,100,200,100,100,100,100,100
round_queries,600,1000,1700,10600,24300,77100,285100,1184900,29875300
round_k,2,8,26,121,385,1425,5924,27707,149376
round_shots,600,300,100,200,100,100,100,100
round_queries,600,1500,2500,15400,29100,102700,401300,8182500
round_k,2,12,38,145,513,2006,8552,40912
round_shots,800,200,200,100,100,100,100,100,100
round_queries,800,1000,3400,5900,18500,58900,225500,914500,21732700
round_k,2,8,29,92,294,1127,4572,20787,108663
round_shots,800,300,200,200,100,100,100,100
round_queries,800,1500,3800,13400,30300,111900,443500,9180100
round_k,2,9,33,151,559,2217,9507,45900
round_shots,500,300,200,100,100,100,100,100,100
round_queries,500,1500,3800,6500,20300,69300,247300,1000300,24142500
round_k,2,9,32,101,346,1236,5001,22856,120712
round_shots,500,200,200,200,100,100,100,100
round_queries,500,1000,3400,13000,26900,93500,357500,7210700
round_k,2,8,32,134,467,1787,7578,36053
round_shots,700,300,200,200,200,100,100,100
round_queries,700,1500,3800,15400,53800,123500,485900,10322500
round_k,2,9,38,134,617,2429,10531,51612
