round_queries,200,500,1700,6900,32700,161700,807900,4136100,21102700
round_k,0,2,8,34,163,808,4039,20680,105513
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,10700,54100,255100,1235900,6300300
round_k,0,2,11,53,270,1275,6179,31501
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8300,37700,187500,943500,4786900,24460700
round_k,0,2,9,41,188,937,4717,23934,122303
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,9300,43700,220900,1117300,5711500
round_k,0,2,11,46,218,1104,5586,28557
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,900,3300,14500,62900,315500,1582900,8089100
round_k,0,1,4,16,72,314,1577,7914,40445
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,500,2300,9700,45700,208100,984100,4977300,25452500
round_k,0,2,11,48,228,1040,4920,24886,127262
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1300,5100,23500,114900,580100,2941100,15013300
round_k,0,2,6,25,117,574,2900,14705,75066
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1900,8500,40500,203900,1026900,5211900
round_k,0,2,9,42,202,1019,5134,26059
round_shots,300,100,100,100,100,100,100,100,100
round_queries,300,500,1300,5100,24700,112700,557900,2830300,14471500
round_k,0,2,6,25,123,563,2789,14151,72357
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,7900,33900,168300,838700,4293500,21863100
round_k,0,2,9,39,169,841,4193,21467,109315
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,9300,42100,214500,1062900,5402900
round_k,0,2,11,46,210,1072,5314,27014
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,28500,137100,699500,3544100,18140100
round_k,0,1,6,30,142,685,3497,17720,90700
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,2300,10700,51900,254300,1289900,6582100
round_k,0,2,11,53,259,1271,6449,32910
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1900,8900,42900,205300,989300,4519500,22301100
round_k,0,2,9,44,214,1026,4946,22597,111505
round_shots,300,100,100,100,100,100,100,100
round_queries,300,500,2300,9900,47100,233100,1181100,6018900
round_k,0,2,11,49,235,1165,5905,30094
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1900,7900,33900,169300,857500,4383500,22262900
round_k,0,2,9,39,169,846,4287,21917,111314
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,500,1700,7900,38300,180300,877100,4429300,22613900
round_k,0,2,8,39,191,901,4385,22146,113069
round_shots,300,100,100,100,100,100,100,100
round_queries,300,500,1900,9500,44900,221100,1130500,5735500
round_k,0,2,9,47,224,1105,5652,28677
round_shots,200,100,100,100,100,100,100,100
round_queries,200,500,1900,8900,45100,229100,1165900,5941700
round_k,0,2,9,44,225,1145,5829,29708
round_shots,200,100,100,100,100,100,100,100
