round_k,0,1,3,12,25,51,128,281,578,1218,2758,5847,12659,28883,64938
round_shots,400,1700,1300,500,300,300,200,300,200,200,200,200,200,200,200
round_queries,400,5100,9100,9500,14700,33900,55800,182100,273400,571000,1290600,2901000,6600600,15025800,34559000
round_k,0,1,3,9,24,56,139,303,683,1427,3226,7252,16501,37564,86397
round_shots,600,1200,1400,400,300,200,400,200,200,300,200,200,200,200,200
round_queries,600,3600,9800,8400,15900,25400,110800,143400,306200,951300,1286200,2716600,6092600,13982600,32137800
round_k,0,1,3,10,26,63,138,358,765,1585,3215,6791,15231,34956,80344
round_shots,500,1800,1500,400,300,200,300,200,200,200,300,300,200,200,100
round_queries,500,5400,10500,8400,15300,24600,74100,132200,289400,641800,2110500,5151900,8884600,19115800,21522100
round_k,0,1,3,10,25,61,123,330,723,1604,3517,8586,22211,47789,107610
round_shots,600,1000,1400,300,300,300,200,200,300,200,200,200,300,200,100
round_queries,600,3000,9800,6900,15900,38100,71000,152200,501300,882600,1993400,4132600,13046100,23250600,25406300
round_k,0,1,3,11,26,63,177,380,835,2206,4983,10331,21743,58126,127031
round_shots,700,1000,1200,300,300,200,300,300,300,300,200,200,200,200
round_queries,700,3000,8400,8100,17700,28600,94500,220500,562500,1317300,2291000,4864200,11168600,25557000
round_k,0,1,3,13,29,71,157,367,937,2195,5727,12160,27921,63892
round_shots,700,1000,1500,300,300,300,200,200,200,200,200,200,200,200,100
round_queries,700,3000,10500,6900,16500,39300,67400,140200,306200,664200,1509800,3340600,7588600,17314600,19941900
round_k,0,1,3,11,27,65,168,350,765,1660,3774,8351,18971,43286,99709
round_shots,700,900,1300,300,300,400,400,400,300,200,200,200,200,200,100
round_queries,700,2700,9100,6900,16500,50000,106000,237200,467700,788200,1742200,4023800,8902200,20521400,23489500
round_k,0,1,3,11,27,62,132,296,779,1970,4355,10059,22255,51303,117447
round_shots,600,1700,900,600,300,200,200,300,400,200,300,200,200,200,100
round_queries,600,5100,6300,11400,14700,22600,46200,145500,505200,668200,2226300,3801000,8008600,18090200,20734900
round_k,0,1,3,9,24,56,115,242,631,1670,3710,9502,20021,45225,103674
round_shots,600,1000,1200,300,300,200,200,200,200,200,200,200,200,200,200
round_queries,600,3000,8400,7500,16500,26200,52600,115800,257800,579000,1311000,2985000,6481800,14126200,30407000
round_k,0,1,3,12,27,65,131,289,644,1447,3277,7462,16204,35315,76017
round_shots,600,1000,1500,800,400,200,200,300,200,300,300,300,200,200,100
round_queries,600,3000,10500,15200,21200,24200,49000,162300,283800,926100,2393700,5436900,9167400,20901400,23416500
round_k,0,1,3,9,26,60,122,270,709,1543,3989,9061,22918,52253,117082
round_shots,800,1600,1600,400,300,300,200,300,400,300,300,400,300,200
round_queries,800,4800,11200,8400,15300,36900,62600,210300,642000,1024500,2400900,7756400,15906900,28282200
round_k,0,1,3,10,25,61,156,350,802,1707,4001,9695,26511,70705
round_shots,600,1900,1300,400,300,400,400,200,200,300,300,300,200,200,100
round_queries,600,5700,9100,8400,15900,50000,115600,144600,311000,969900,2516700,5565900,9457000,21030200,21344100
