round_shots,800,400,200,100,200,200,100,100
round_queries,800,2000,4600,7300,44600,189800,440900,6483900
round_k,2,11,36,111,474,2204,8579,32419
round_shots,600,300,200,200,100,200,100,100
round_queries,600,1500,4600,15800,30300,185400,358300,5830100
round_k,2,11,39,151,463,1791,7135,29150
round_shots,1100,300,200,200,100,100,100,100
round_queries,1100,1500,3800,13800,27300,82700,290700,4687500
round_k,2,9,34,136,413,1453,5635,23437
round_shots,1100,300,200,200,100,100,100,100
round_queries,1100,1500,4600,15800,33100,99700,354500,5566300
round_k,2,11,39,165,498,1772,6357,27831
round_shots,1000,400,200,200,200,200,100,100
round_queries,1000,2000,4600,16600,51400,223800,418100,7142500
round_k,2,11,41,128,559,2090,8345,35712
round_shots,1000,200,200,200,100,100,100,100
round_queries,1000,1000,3800,12200,26300,81700,293500,4645300
round_k,2,9,30,131,408,1467,5312,23226
round_shots,1300,200,200,200,200,100,100,100
round_queries,1300,600,1800,6600,23400,47900,161100,1818300
round_k,1,4,16,58,239,805,2577,9091
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,1500,4600,16600,36500,119100,388900,6462300
round_k,2,11,41,182,595,1944,7865,32311
round_shots,800,300,200,200,200,100,100
round_queries,800,1500,4600,17000,74200,160900,1827300
round_k,2,11,42,185,804,2849,9136
round_shots,1200,200,300,100,100,100,100,100
round_queries,1200,1000,4500,4700,14100,42900,141300,2091300
round_k,2,7,23,70,214,706,2560,10456
round_shots,900,300,200,200,100,100,100,100
round_queries,900,1500,4600,16600,36100,116100,421300,7552100
round_k,2,11,41,180,580,2106,8497,37760
round_shots,600,300,200,200,100,100,100,100
round_queries,600,1500,3800,13000,25700,80900,278300,4278300
round_k,2,9,32,128,404,1391,5167,21391
round_shots,900,300,200,200,100,100,100,100
round_queries,900,1500,4600,15000,28700,94100,338700,5416500
round_k,2,11,37,143,470,1693,6547,27082
round_shots,1100,300,200,200,100,100,100,100
round_queries,1100,1500,3800,12200,23100,76900,273100,4363300
round_k,2,9,30,115,384,1365,5088,21816
round_shots,700,300,200,100,100,100,100,100
round_queries,700,1500,4600,8500,25900,83700,296300,2954900
round_k,2,11,42,129,418,1481,4824,14774
round_shots,1200,200,400,200,100,100,100,100
